,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
1,121,108,76,-199.70703,370.60547,921.38672,-0.10687,0.62595,0.22901,38.10000,19.50000,-9.30000,-209.47266,378.41797,929.19922,-1.51145,3.59542,-0.12977,38.10000,19.50000,-9.30000,-194.82422,365.72266,925.29297,-0.51908,-0.16031,-2.87786,38.10000,19.50000,-9.30000,
5468,111,115,83,-197.26562,356.93359,919.43359,-2.87023,1.60305,-0.72519,38.10000,19.50000,-9.30000,-202.63672,379.88281,918.45703,-0.15267,2.22137,-3.93130,38.10000,19.50000,-9.30000,-198.73047,364.74609,927.73437,-0.44275,2.96947,-2.15267,38.10000,19.50000,-9.30000,
10533,117,111,77,-204.10156,366.21094,907.22656,1.22137,-0.98473,-2.38931,38.10000,19.50000,-9.30000,-199.70703,366.69922,926.75781,0.83969,-0.00763,-0.37405,38.10000,19.50000,-9.30000,-208.00781,377.92969,925.29297,-2.24427,1.69466,-0.09160,38.10000,19.50000,-9.30000,
15549,108,109,79,-193.84766,374.51172,925.29297,0.12977,-0.65649,2.07634,37.50000,20.70000,-8.70000,-188.47656,364.25781,919.43359,1.32061,0.14504,2.51145,37.50000,20.70000,-8.70000,-201.17187,371.09375,918.94531,-2.48855,1.74809,0.58015,37.50000,20.70000,-8.70000,
20534,107,108,73,-211.42578,362.79297,923.82812,-2.80153,1.24427,-0.00763,37.50000,20.70000,-8.70000,-195.31250,369.62891,933.10547,1.64122,-4.21374,0.75573,37.50000,20.70000,-8.70000,-210.44922,367.18750,920.41016,0.71756,-1.45802,-1.09924,37.50000,20.70000,-8.70000,
25549,107,102,80,-201.66016,371.58203,927.24609,-0.81679,3.50382,-3.19084,37.50000,19.95000,-7.20000,-186.03516,373.04687,925.78125,0.04580,1.32061,-2.05344,37.50000,19.95000,-7.20000,-208.00781,369.14062,915.03906,1.58015,-2.73282,2.83969,37.50000,19.95000,-7.20000,
30535,107,106,85,-195.80078,372.07031,923.33984,1.22901,-0.18321,0.00763,37.50000,19.95000,-7.20000,-195.80078,369.14062,918.94531,-1.31298,1.23664,-0.83969,37.50000,19.95000,-7.20000,-202.14844,370.11719,926.26953,-2.92366,1.68702,-2.54198,37.50000,19.95000,-7.20000,
35521,112,102,82,-190.42969,363.76953,928.71094,1.00000,-0.87023,2.86260,36.15000,20.85000,-7.05000,-208.98437,372.07031,923.33984,0.79389,-0.16031,1.60305,36.15000,20.85000,-7.05000,-196.77734,368.16406,926.75781,-1.61832,2.25191,-0.70229,36.15000,20.85000,-7.05000,
40506,117,100,75,-206.54297,381.83594,917.48047,-1.60305,-0.75573,0.05344,36.15000,20.85000,-7.05000,-201.66016,369.14062,922.36328,0.70992,-2.40458,-1.59542,36.15000,20.85000,-7.05000,-195.80078,372.55859,928.22266,0.04580,-2.56489,-0.42748,36.45000,21.45000,-8.70000,
45527,110,99,74,-198.24219,373.53516,925.29297,-0.07634,-0.53435,-1.62595,36.45000,21.45000,-8.70000,-203.61328,361.81641,933.59375,-2.70992,1.29008,-0.20611,36.45000,21.45000,-8.70000,-189.45312,378.41797,928.71094,0.21374,-2.86260,-2.58015,36.45000,21.45000,-8.70000,
105016,110,107,83,-205.56641,364.25781,930.17578,-1.64122,0.58779,1.28244,36.45000,18.00000,-8.70000,-196.77734,367.18750,917.48047,0.60305,-2.00000,-1.23664,36.45000,18.00000,-8.70000,-209.47266,362.30469,923.33984,-1.08397,0.47328,-2.10687,36.45000,18.00000,-8.70000,
110380,112,106,84,-202.14844,361.81641,914.55078,0.10687,0.06870,-1.01527,36.45000,18.00000,-8.70000,-196.28906,374.02344,912.10937,0.96183,-2.66412,1.48855,36.45000,18.00000,-8.70000,-196.28906,360.35156,930.66406,0.70992,0.49618,4.03817,37.65000,19.35000,-7.50000,
115392,111,100,75,-190.42969,363.76953,929.19922,0.80153,0.48855,1.61069,37.65000,19.35000,-7.50000,-191.89453,373.53516,924.80469,-2.35115,2.81679,-0.14504,37.65000,19.35000,-7.50000,-207.51953,362.30469,911.62109,0.74809,1.51908,1.00763,37.65000,19.35000,-7.50000,
120414,110,101,83,-204.10156,373.53516,937.50000,0.51908,-2.20611,0.29008,37.65000,19.35000,-7.50000,-202.63672,372.55859,925.78125,-0.99237,1.53435,0.08397,37.65000,19.35000,-7.50000,-185.54687,382.32422,930.17578,-2.17557,1.59542,-0.19084,38.85000,19.95000,-7.95000,
125417,118,102,80,-187.98828,360.35156,927.24609,0.16031,-3.00763,3.09924,38.85000,19.95000,-7.95000,-203.61328,354.00391,924.31641,1.09924,-0.67939,1.12977,38.85000,19.95000,-7.95000,-200.68359,359.37500,921.87500,-1.66412,0.45038,-0.48855,38.85000,19.95000,-7.95000,
130450,106,95,88,-199.21875,362.30469,926.26953,1.61832,-1.45802,1.94656,38.85000,19.95000,-7.95000,-207.03125,377.44141,924.80469,1.26718,-1.23664,2.80153,38.85000,19.95000,-7.95000,-196.77734,374.51172,940.91797,-0.84733,1.08397,-4.19084,36.45000,19.95000,-9.75000,
135443,105,99,83,-204.10156,361.32812,914.55078,-1.76336,0.52672,-0.09924,36.45000,19.95000,-9.75000,-201.17187,360.35156,932.12891,1.96183,-0.86260,-0.86260,36.45000,19.95000,-9.75000,-197.75391,379.88281,925.78125,0.95420,-0.28244,1.00763,36.45000,19.95000,-9.75000,
140434,106,94,78,-208.98437,372.55859,924.80469,1.80916,-0.43511,1.01527,36.45000,19.95000,-9.75000,-191.89453,376.46484,927.24609,-2.94656,0.54198,-0.50382,35.70000,19.95000,-9.75000,-201.17187,372.07031,922.36328,0.03053,1.32824,-3.26718,35.70000,21.45000,-9.00000,
145429,111,95,77,-191.40625,368.16406,916.50391,1.17557,-2.14504,0.40458,35.70000,21.45000,-9.00000,-213.86719,368.65234,921.87500,2.48855,0.66412,-0.45038,35.70000,21.45000,-9.00000,-203.12500,366.21094,931.15234,-3.03053,0.86260,-0.68702,35.70000,21.45000,-9.00000,
