,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
2,115,119,72,-8.78906,5.37109,1014.16016,0.99237,2.38931,0.77099,-46.05000,-21.90000,9.60000,28.32031,419.92187,917.48047,2.25954,-0.03053,3.22137,15.60000,-75.60000,55.35000,-5.85937,-188.47656,1006.34766,-0.32061,1.58015,-3.03053,-22.05000,42.75000,19.50000,
5467,110,117,76,-2.44141,14.16016,1014.64844,0.29008,1.61832,-2.21374,-46.05000,-21.90000,9.60000,49.31641,410.15625,910.64453,2.75573,-0.62595,3.10687,15.60000,-75.60000,55.35000,-8.78906,-186.52344,1003.41797,1.48092,1.12214,0.61069,-20.55000,44.25000,19.50000,
10533,115,110,78,-20.01953,5.85937,1022.94922,0.93130,-1.59542,1.64885,-46.05000,-21.90000,9.60000,33.20313,423.33984,912.59766,-0.13740,1.61069,0.20611,15.60000,-75.60000,55.35000,-17.57813,-185.05859,1017.08984,0.20611,0.48092,1.22137,-20.55000,44.25000,19.50000,
15555,117,115,83,-4.39453,1.95312,1010.74219,1.18321,-1.39695,0.00763,-45.75000,-21.90000,10.95000,26.36719,426.26953,918.94531,-0.14504,1.40458,3.70229,15.60000,-75.60000,55.35000,0.00000,-194.33594,1023.43750,0.95420,1.24427,-0.89313,-20.70000,42.15000,18.15000,
20550,110,111,75,-1.46484,6.83594,1018.55469,-0.96947,-1.85496,2.12214,-45.75000,-21.90000,10.95000,24.90234,416.50391,922.36328,-0.73282,-1.82443,0.38931,15.60000,-76.65000,55.65000,-11.71875,-193.84766,1000.48828,0.00763,1.48855,0.12977,-20.70000,42.15000,18.15000,
25581,109,107,74,-15.13672,8.30078,1030.76172,-1.59542,2.28244,-1.16794,-46.80000,-22.35000,10.95000,37.10938,419.92187,916.99219,-1.03053,1.29771,0.77863,15.60000,-76.65000,55.65000,0.97656,-191.40625,1006.34766,0.91603,-0.81679,0.70992,-22.65000,43.80000,16.95000,
30580,109,111,72,-7.81250,5.37109,1028.80859,-0.98473,-0.10687,0.63359,-46.80000,-22.35000,10.95000,28.32031,429.19922,929.68750,-0.35878,1.78626,-0.18321,14.85000,-75.15000,56.40000,0.48828,-190.42969,1008.78906,-0.90076,0.18321,-0.89313,-22.65000,43.80000,16.95000,
35575,109,102,76,-2.92969,2.44141,1024.90234,0.29771,-2.14504,0.71756,-45.90000,-21.00000,10.35000,31.73828,419.43359,923.82812,1.41221,1.77099,1.96183,14.85000,-75.15000,56.40000,-15.62500,-196.28906,1002.44141,-1.09924,4.87786,-1.41221,-21.45000,43.20000,20.25000,
40574,107,101,75,-7.81250,0.00000,1019.04297,0.91603,-1.74809,0.09924,-45.90000,-21.00000,10.35000,37.59766,428.22266,925.29297,2.48092,0.00000,-1.77099,16.95000,-75.00000,56.25000,-13.67187,-199.21875,1001.95312,0.09160,-0.11450,-3.00763,-21.45000,43.20000,20.25000,
45599,105,100,76,5.85937,-4.39453,1010.25391,-1.21374,0.97710,-1.56489,-46.65000,-21.00000,11.10000,25.87891,424.31641,914.06250,0.94656,0.83969,0.22901,16.95000,-75.00000,56.25000,-9.27734,-191.89453,1003.41797,-1.51145,0.54962,1.62595,-21.75000,42.90000,19.95000,
50592,114,100,78,-9.27734,-3.41797,1022.46094,-0.84733,-0.17557,-1.26718,-46.65000,-21.00000,11.10000,44.43359,412.59766,912.59766,0.99237,1.33588,1.09160,16.05000,-76.65000,55.65000,-4.88281,-201.17187,1000.48828,-0.34351,-0.67939,-1.70992,-21.75000,42.90000,19.95000,
55587,111,98,78,-11.71875,7.32422,1023.43750,0.01527,0.22137,1.22137,-46.65000,-21.00000,11.10000,45.41016,418.45703,929.19922,0.47328,2.54962,0.72519,16.05000,-76.65000,55.65000,-13.67187,-189.45312,1011.71875,0.33588,-0.54962,-1.51908,-21.45000,43.95000,19.20000,
60584,115,90,81,-21.48438,9.27734,1013.18359,0.70229,-1.55725,1.34351,-46.65000,-21.00000,11.10000,29.29688,424.31641,918.94531,1.35878,0.14504,-0.71756,15.75000,-75.75000,55.50000,-0.48828,-194.33594,1006.83594,-0.37405,2.73282,-2.31298,-21.45000,43.95000,19.20000,
