IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-818.35937,138.18359,467.77344,-0.14015918918018025,0.006261892290305255,-0.05928796202562137,11.55,32.1,52.65,274.41406,110.83984,989.74609,-0.08486838020747627,-0.04223434990438478,-0.04836289903983767,54.3,12.15,93.75,-545.41016,262.69531,847.65625,0.08713329397778931,-0.0369049870334201,-0.09299533133646266,50.85,27.75,37.5
-863.28125,153.80859,484.86328,-0.06315159739076123,0.008659974682545464,0.06861412888365308,11.55,32.1,52.65,263.18359,97.65625,997.55859,-0.07394331722169258,-0.02011788668896304,-0.030909606519894377,55.65,13.35,93.15,-558.10547,264.64844,816.40625,0.01025887081029747,-0.02011788668896304,-0.06861412888365308,50.7,27.45,36.6
-871.58203,172.85156,461.91406,-0.11644417890285688,-0.05169368538434365,0.053292581512095656,10.65,31.95,53.55,246.58203,126.95313,988.28125,-0.05342575013402282,-0.015321547371557422,-0.0182526533173567,55.5,12.45,92.55,-566.89453,263.18359,812.01172,-0.011857592405124276,-0.006794741310939124,-0.05369226191080236,50.7,27.9,37.65
-907.71484,175.78125,447.75391,-0.15188361296337732,-0.06928032105913931,0.00186523337160634,10.65,31.2,52.8,246.58203,133.30078,969.72656,-0.05462479133014293,-0.05875493847206231,-0.031708967317307775,55.65,11.4,93.15,-555.66406,295.89844,815.42969,-0.06661555235719438,-0.05915461887076901,-0.10245484134934674,50.7,27.9,37.65
-904.29687,176.26953,455.07812,-0.18465845285487806,-0.08833233517390941,-0.0022649137703130416,11.1,31.65,52.5,259.27734,154.78516,978.02734,-0.05875493847206231,-0.0831363154577971,0.0373046674321268,55.5,12.45,93.6,-560.54687,280.27344,826.66016,-0.11764322009897699,-0.045032112695331694,-0.03823737138439257,50.1,27.0,37.2
-879.88281,187.01172,482.42187,-0.15987757000336178,-0.14695410502404457,0.04303371070179819,10.5,31.05,53.7,265.625,145.50781,987.30469,-0.08100457030941122,-0.07567538197137175,0.03677181841149293,56.55,13.5,92.85,-550.78125,270.50781,859.86328,-0.13189889489634146,-0.03277483989150072,-0.09379486666680127,50.1,27.0,37.2
-837.89062,158.20312,491.21094,-0.18945479217228367,-0.21476869857735903,0.08686678220100978,10.5,31.05,53.7,272.46094,134.27734,996.58203,-0.1248376418086228,-0.094860564708069,0.07967236049136395,54.75,12.45,92.55,-550.78125,234.375,833.00781,-0.11178100820737844,-0.07767378396490525,-0.034373736019252726,50.85,28.05,37.2
-800.29297,132.8125,486.81641,-0.2752557017991005,-0.13043334192344183,0.0013323843509724712,10.65,31.65,53.85,260.74219,109.375,982.42187,-0.14975186781499147,-0.03823737138439257,0.05142717360756412,54.75,12.45,92.55,-561.03516,223.63281,827.14844,-0.1057856276938527,-0.0811377389313384,-0.04916225983725108,51.6,28.05,37.95
-824.70703,133.30078,469.72656,-0.23368754407020198,-0.00652840406708479,0.048496242194690044,11.55,31.35,54.0,270.99609,97.16797,960.44922,-0.11671051614671123,-0.0863337586474507,0.09352835489002174,56.4,12.15,91.95,-540.03906,234.86328,841.79687,-0.14682076186919218,-0.05209336578305035,-0.05169368538434365,51.0,28.65,38.7
-873.04687,136.23047,477.53906,-0.1317657262744143,-0.10352071392353968,0.017586461141870464,11.25,31.8,53.4,269.53125,90.82031,965.82031,-0.11337972980220523,-0.09446088430936231,0.08500154882940344,56.1,12.6,92.7,-534.17969,200.68359,804.19922,-0.16001073862528895,-0.09219597053904927,-0.009059655081252166,50.7,28.2,37.65
