IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-952.63672,3.90625,-347.16797,-0.1309663654770009,-0.25260638956304493,-0.03597245761407953,-1.05,29.85,27.9,-525.87891,-32.22656,834.47266,0.06075351499852101,0.04836289903983767,-0.0291777163031404,87.15,6.15,70.35,-984.375,-22.46094,159.17969,0.15814550525368262,0.08660027042423024,0.05395859915465669,56.4,21.9,0.15
-957.51953,7.8125,-349.12109,-0.13922665976083967,-0.24874275419790506,-0.10538594729514601,-1.05,29.85,27.9,-533.20312,-33.20313,835.44922,0.0632847660126884,0.05968764242432808,-0.0863337586474507,86.4,4.65,69.9,-997.07031,-15.625,142.08984,0.17466609382136014,0.09006439992358858,0.03224199087086685,56.4,21.9,0.15
-942.38281,4.39453,-352.05078,-0.10805054146416575,-0.3077642044467469,-0.1103154552344788,-0.75,30.9,27.3,-543.45703,-30.76172,854.49219,0.03970292435729221,0.020650910242522108,-0.09659262945774817,86.7,4.65,70.95,-1013.18359,-16.11328,176.75781,0.1700030976588069,0.05036147556629638,0.02331550441154185,58.05,22.5,1.35
-930.66406,34.17969,-358.39844,-0.06501683076236757,-0.3009692886028826,-0.037171498810199634,-3.0,28.95,29.1,-559.57031,-16.60156,854.98047,0.023048992634762316,0.006794741310939124,-0.15681312090271013,85.95,4.95,70.35,-1001.95312,-1.46484,183.59375,0.1418912539298594,0.03224199087086685,-0.00039968039870670147,56.1,21.6,0.75
-916.50391,48.33984,-354.00391,-0.0656830229378538,-0.2925758256971166,-0.02571358680378206,-1.5,30.9,28.8,-571.77734,-9.27734,870.11719,-0.01638741994575036,0.010525208054151804,-0.12803525953120162,86.25,4.8,70.05,-1007.32422,19.04297,183.59375,0.1950504922871027,0.08380250763328333,-0.015188378749630253,56.25,21.45,1.05
-993.16406,50.78125,-367.67578,-0.12030781426799673,-0.23768452259019418,0.010791719830931338,-1.35,29.85,27.15,-614.74609,-32.22656,875.48828,-0.008526806060618296,0.0369049870334201,-0.08886518419454328,86.85,6.3,69.45,-1013.18359,24.41406,199.21875,0.14921901879435762,0.11551147495059111,0.030376757499260505,55.8,22.95,1.35
-1057.61719,41.50391,-337.89062,-0.16533992696332844,-0.31442577713575887,-0.009059655081252166,-1.35,29.85,27.15,-616.21094,-21.48438,866.21094,-0.0186523337160634,0.04236751852631195,-0.08713329397778931,87.45,5.4,69.6,-1038.08594,29.78516,174.80469,0.17826339194264562,0.1272358987337882,-0.07287744464749962,58.2,23.1,0.45
-1051.75781,29.29688,-316.89453,-0.12883462032861503,-0.44805656224885426,-0.009992359033517936,-1.65,30.6,28.5,-612.79297,-39.55078,872.55859,0.05742272865401504,-0.07940584871458442,-0.11497862592995724,87.45,5.4,69.6,-1047.85156,27.34375,161.62109,0.1508177403891844,0.0843353566539172,-0.03557277721537283,56.55,21.0,2.1
-991.21094,20.01953,-303.71094,-0.16613928776074183,-0.4733706431868549,0.014655355196071187,-0.15,32.4,28.35,-615.23437,-51.75781,883.78906,0.0466310088230837,-0.07087904265396612,-0.04036911653277844,87.45,5.4,69.6,-1021.97266,37.10938,180.17578,0.1990474708070949,-0.037171498810199634,0.028777861371508503,56.55,21.0,2.1
-1006.83594,8.78906,-294.92187,-0.21663393194896538,-0.39423130624904995,0.031442630073453444,-0.15,31.2,28.35,-601.07422,-59.08203,888.18359,0.06075351499852101,-0.11737670832219745,-0.07087904265396612,87.3,5.25,70.5,-1019.53125,36.13281,173.33984,0.18559115680714383,-0.03623896939085906,0.03024341434440814,56.55,21.0,2.1
-996.58203,15.625,-278.32031,-0.158944866051096,-0.4270061461405507,0.0011990411961201044,-0.3,31.2,29.4,-562.5,-75.68359,852.05078,0.024914226006368657,-0.14335680690275904,-0.08446852527584436,86.25,6.0,69.75,-1016.11328,31.73828,200.19531,0.24168150111018638,-0.0019984019935335075,0.0017320647496791726,55.5,21.75,1.05
-999.51172,20.01953,-254.88281,-0.11884226129509709,-0.41861250870185956,-0.04236751852631195,-0.3,30.6,28.5,-560.54687,-48.33984,830.56641,0.06341810916754076,-0.10951609443706539,-0.0839356762552105,87.3,4.05,69.45,-1004.88281,41.01563,196.28906,0.21063855143543964,0.017053612121236593,0.05142717360756412,55.5,21.75,1.05
-1003.41797,19.04297,-234.86328,-0.1204409828899239,-0.3530628289188581,-0.10511943551836647,-0.3,30.6,28.5,-547.85156,-39.55078,839.84375,0.08220361150553133,-0.08753297437649601,-0.04902909121532391,87.3,4.05,69.45,-981.93359,50.29297,173.33984,0.2892450393526107,0.026246610357341126,0.0019984019935335075,56.25,21.75,0.3
-1006.83594,46.38672,-234.86328,-0.15215012474015688,-0.3281486029124895,0.019451694513476805,-0.3,29.55,29.25,-523.92578,-21.97266,853.02734,0.11777638872090417,-0.061819213039788753,-0.07594189374815126,86.25,4.8,70.05,-978.02734,28.32031,171.38672,0.28018520973843325,0.026246610357341126,-0.021716608283789844,56.25,22.2,1.35
-1015.13672,36.62109,-215.82031,-0.07567538197137175,-0.33787445016922785,-0.028111843728947466,-0.15,30.9,28.35,-534.66797,-44.43359,830.56641,0.09632611768096865,-0.0847350370526239,-0.06395095818817463,86.55,6.3,70.5,-948.73047,38.57422,178.71094,0.24381324625857226,0.002664594169019743,-0.03424039286440035,57.15,21.15,0.75
-1023.4375,22.46094,-208.98437,-0.16027725040206847,-0.29843803758871523,-0.01958503766832917,-0.3,31.35,30.0,-536.62109,-32.71484,835.44922,0.10125580015322662,-0.0684807857288007,-0.0462311538914518,86.55,6.3,70.5,-971.67969,43.94531,171.875,0.19971366298258114,0.01025887081029747,0.021849951438642212,55.65,21.6,0.45
-1000.97656,0.97656,-203.61328,-0.11711019654541792,-0.37771054314844726,0.019451694513476805,-0.15,29.7,29.85,-507.32422,-45.89844,840.33203,0.0030642745677264445,-0.07047936225525941,-0.02145027103993551,86.85,5.55,69.75,-960.44922,51.75781,168.94531,0.17906275274005903,0.027845331952167932,-0.02424803383088242,55.65,22.35,1.5
-976.07422,-5.37109,-189.94141,-0.06941348968106648,-0.3214870302234775,0.00013316862192716734,-0.15,29.7,29.85,-504.39453,-25.39063,828.125,0.026379778979268294,-0.04196783812760525,-0.031442630073453444,86.25,5.55,69.75,-958.00781,45.89844,167.48047,0.18359258028068512,0.05049464418822355,0.012656953202537678,55.8,21.75,1.05
-980.46875,-12.69531,-183.10547,-0.07940584871458442,-0.32388511261571773,-0.00746093348642536,-0.75,31.65,29.85,-504.88281,-19.04297,821.28906,0.06421746996495417,-0.11551147495059111,-0.009059655081252166,85.8,5.55,69.45,-948.73047,49.31641,187.98828,0.1963828766380752,-0.02411486520895525,0.02145027103993551,55.8,21.75,1.05
-956.54297,-1.95312,-178.22266,-0.04010260475599891,-0.2859142530081047,-0.03983609297921937,-0.3,30.6,29.55,-486.81641,-4.39453,823.73047,0.025047394628295826,-0.09339518626809457,-0.01065855120900417,85.8,5.55,69.45,-965.82031,42.48047,206.05469,0.14921901879435762,-0.023582016188321384,0.0283781809728018,55.5,21.45,0.6
-919.92187,15.13672,-166.50391,-0.0093261668580317,-0.26979334483913386,0.041301645952119014,1.05,31.35,30.3,-501.46484,-1.46484,830.56641,0.0381042027624654,-0.05129400498563695,-0.030376757499260505,85.8,5.55,69.0,-965.82031,44.43359,212.40234,0.14722044226789888,0.009859190411590769,0.030509926121187674,55.5,21.45,0.6
-933.59375,23.92578,-158.69141,-0.04556513624889076,-0.15867835427431645,-0.013323145378023914,0.0,30.6,31.35,-529.78516,-1.95312,839.84375,0.03623896939085906,-0.03357420068891412,0.005329188338039486,86.25,4.8,69.75,-960.9375,41.01563,204.58984,0.1119141768293056,0.06128636401915488,-0.009992359033517936,57.45,21.6,0.15
-940.91797,36.62109,-170.41016,-0.0644839817417337,-0.0936615235119489,0.02744565155346123,0.0,30.6,31.35,-514.64844,-17.08984,851.5625,-0.019451694513476805,-0.31202752021059343,-0.003463954966433146,86.4,3.9,69.9,-970.70312,36.62109,208.00781,0.09272899409260832,0.10032309620096086,-0.02424803383088242,54.9,21.6,0.75
-958.98437,41.01563,-179.6875,-0.021716608283789844,-0.14202442255178657,0.09086376072100198,0.15,30.45,29.85,-517.57812,-21.97266,910.15625,0.02038439846574257,-0.04343339110050489,-0.007194421709645826,87.3,4.8,69.75,-977.53906,48.33984,197.75391,0.07927250555973205,0.06101985224237535,-0.02331550441154185,55.5,21.0,-0.6
-965.82031,39.55078,-187.5,-0.05555749528240869,-0.030110245722480975,0.13363095964602065,0.75,31.65,31.2,-551.26953,-49.31641,863.76953,-0.10565245907192554,-0.14162474215307985,0.019451694513476805,86.7,5.7,69.6,-993.65234,45.89844,198.24219,0.04290054207987102,0.07927250555973205,-0.03903673218180597,56.55,21.45,-0.3
-975.58594,43.94531,-193.35937,-0.08140425070811792,-0.09659262945774817,0.10671815711319327,0.3,29.25,32.4,-533.20312,-59.57031,854.98047,-0.017453292519943295,-0.09352835489002174,-0.037171498810199634,87.15,4.2,68.85,-998.04687,46.875,210.9375,0.07567538197137175,0.0486294108166172,-0.06128636401915488,56.4,19.35,1.8
-990.23437,49.31641,-205.07812,-0.05462479133014293,-0.09472739608614184,0.1524164619840112,0.3,29.25,32.4,-532.71484,-29.29688,868.65234,0.018385996472209065,0.00746093348642536,-0.031975479094087315,87.15,4.2,68.85,-1010.25391,34.66797,196.28906,0.023981696587028086,0.031708967317307775,-0.09912405500484074,56.4,20.85,0.45
-992.67578,37.10938,-203.61328,-0.09792501380872065,-0.011591080628344743,0.09792501380872065,-0.15,31.2,31.2,-521.48437,-12.20703,874.51172,0.03304135166828025,0.004929507939332785,-0.03290818304635308,86.7,4.65,70.35,-991.21094,26.36719,188.47656,0.0038636353651398474,0.05209336578305035,-0.04290054207987102,56.4,20.85,0.45
-991.69922,36.62109,-216.79687,-0.05275955795853659,-0.05995397966818241,0.11657734752478405,-0.75,32.4,30.15,-545.41016,6.83594,886.23047,-0.01119140022963804,0.0069280844657914915,-0.022915824012835147,87.3,5.25,69.75,-1023.4375,19.04297,199.21875,-0.02224963183734891,-0.007727445263204894,-0.05688970510045597,55.8,22.2,0.3
-994.62891,27.34375,-235.83984,-0.028111843728947466,-0.023582016188321384,0.06475031898558803,-0.3,30.6,31.05,-546.38672,3.41797,881.34766,-0.02038439846574257,-0.03863705178309927,-0.00559570011481902,87.6,4.8,71.25,-1002.92969,23.92578,198.24219,-0.009059655081252166,0.011058231607710873,-0.025447249559927724,55.8,22.2,0.3
