IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-964.35547,12.20703,-103.51563,-0.05982081104625525,-0.29710565323774274,0.009992359033517936,1.8,22.35,29.1,311.03516,-118.16406,937.98828,-0.12390511238928224,0.08020520951199782,0.09419454706550798,53.85,3.9,94.2,-599.12109,-117.1875,826.66016,-0.05649002470174927,0.06355127778946792,-0.00839363743869113,52.65,21.75,41.1
-965.33203,12.20703,-91.30859,-0.0567565364785288,-0.29310867471775054,-0.04476577545147736,2.25,21.9,28.8,292.96875,-87.40234,953.61328,-0.08207044288360416,0.11750987694412462,0.08180393110682463,53.85,3.9,94.2,-604.49219,-102.05078,827.63672,-0.014655355196071187,0.06381778956624745,0.04156815772889855,52.65,21.75,41.1
-951.66016,-0.97656,-85.44922,-0.0754088701945922,-0.24314705408308604,-0.13842729896342626,2.25,21.9,28.8,270.01953,-53.22266,946.28906,-0.13722825776730616,0.034373736019252726,0.059421130647548545,53.85,3.45,94.8,-604.98047,-89.35547,849.60937,0.009059655081252166,0.010791719830931338,-0.001065872574192937,52.05,20.55,40.5
-935.54687,-1.95312,-72.75391,-0.07873965653909817,-0.18172734690907877,-0.14149157353115271,2.55,23.1,30.15,282.22656,-46.38672,932.12891,-0.12643636340344963,-0.0058622118915985545,0.10418690609902591,53.85,3.9,94.5,-595.21484,-61.03516,814.94141,-0.05102749320885741,-0.005995380513525721,0.03224199087086685,53.25,20.55,41.55
-925.78125,-16.11328,-67.87109,-0.05369226191080236,-0.15468155028724945,-0.17839656056457281,2.55,23.1,29.4,282.71484,-65.91797,929.19922,-0.10232167272741956,-0.005995380513525721,0.07101221127589329,54.9,4.95,95.25,-581.54297,-64.45313,821.28906,-0.1033873707686873,-0.05808874629657607,0.03290818304635308,53.25,20.55,41.55
-929.6875,-16.11328,-60.05859,-0.010525208054151804,-0.1077840296873862,-0.18106132926651775,3.0,24.15,29.1,323.73047,-146.97266,930.17578,-0.01771980429672283,0.014788698350923554,0.03224199087086685,54.9,4.95,95.25,-573.24219,-83.98438,828.61328,-0.0932618431132422,-0.04796321864113097,-0.04156815772889855,51.15,19.2,41.7
-954.10156,-45.89844,-67.38281,0.03543943406052046,-0.11617766712607734,-0.15468155028724945,2.4,22.5,28.95,331.05469,-166.99219,927.73437,0.04476577545147736,-0.02145027103993551,-0.011724423783197109,54.3,3.9,95.25,-564.94141,-112.79297,840.33203,-0.09979024718032699,-0.0656830229378538,0.015987739547043658,51.15,20.25,41.4
-960.9375,-65.91797,-71.28906,0.019185357269622467,-0.06621587195848767,-0.11671051614671123,2.4,22.5,28.95,318.84766,-121.58203,917.48047,0.1540153581117632,0.03264167126957355,-0.027712163330240767,53.7,3.75,93.6,-558.59375,-145.01953,839.35547,-0.06275191699205453,-0.03916990080373314,-0.03344103206698695,51.9,19.2,41.4
-944.33594,-57.61719,-60.54688,0.025846929958634426,-0.06754825630946014,-0.1698697545039545,2.4,22.95,29.55,312.01172,-83.00781,919.43359,0.16587295051688747,-0.04196783812760525,-0.012923464979317213,53.7,3.75,93.6,-571.28906,-131.34766,809.08203,0.015055210127703087,0.04036911653277844,0.021849951438642212,51.6,20.25,42.45
-963.37891,-57.12891,-72.75391,0.10884990226157916,-0.09259565093775597,-0.08286980368101757,2.25,21.15,29.85,326.17187,-36.13281,929.6875,0.12110717506541013,0.017053612121236593,-0.05502447172884963,54.6,4.2,93.75,-557.61719,-115.23438,818.84766,0.026912627999902163,0.002664594169019743,0.01252378458061051,51.6,20.25,42.45
-964.35547,-48.33984,-82.03125,0.12976714974795558,-0.06208572481656829,-0.01958503766832917,4.05,21.6,28.05,296.38672,-20.50781,937.01172,0.06861412888365308,-0.023582016188321384,-0.03916990080373314,53.85,4.2,95.25,-566.40625,-96.19141,785.15625,0.052226708937902724,-0.00186523337160634,-0.028644692749581334,51.45,19.8,40.5
-972.65625,-18.55469,-97.16797,0.053558918755949994,0.007860613885132062,-0.02464771422958912,3.0,23.1,28.8,290.03906,2.92969,949.21875,0.06355127778946792,-0.06301842876883405,-0.04476577545147736,54.75,4.05,95.1,-588.86719,-87.89063,788.57422,0.017852972918649995,0.024381376985734785,-0.008926486459324997,51.45,19.8,40.5
-973.14453,-24.90234,-115.23438,0.07794029574168478,-0.05555749528240869,0.06541651116107426,3.0,23.1,28.8,269.53125,-13.67187,940.91797,0.05449162270821576,-0.07527570157266503,-0.035839288992152364,54.75,4.05,95.1,-608.39844,-94.72656,792.48047,0.07034601910040704,-0.07034601910040704,0.017586461141870464,51.75,19.35,41.55
-1007.32422,5.85937,-135.25391,0.07634157414685798,-0.014389017952216851,0.07527570157266503,4.2,23.7,29.25,277.34375,-14.64844,954.10156,0.04423275189791829,-0.02891120452636087,-0.0069280844657914915,54.45,4.8,94.65,-622.07031,-76.66016,814.94141,0.006261892290305255,-0.07420982899847209,-0.02518073778314819,51.0,20.85,40.95
-1034.17969,19.53125,-148.92578,0.014655355196071187,-0.00279793732387211,0.04796321864113097,3.15,22.2,29.55,280.27344,-57.61719,986.81641,0.03450690464117989,-0.02278248085798278,-0.06368444641139509,56.55,3.75,94.65,-631.83594,-64.45313,833.98437,-0.0011990411961201044,-0.06461715036366086,-0.02851152412765417,51.15,21.0,41.4
-1041.99219,22.94922,-138.67187,0.021316927885083145,0.015987739547043658,0.04929560299210344,3.45,22.95,28.95,281.25,-68.84766,984.86328,0.035839288992152364,-0.03490658503988659,-0.031575798695380616,54.75,4.05,95.1,-632.32422,-82.03125,853.51562,0.011724423783197109,-0.10272135312612628,-0.04836289903983767,52.65,20.7,41.7
-1015.13672,16.60156,-134.76562,0.008260294283838763,-0.07301078780235198,0.06954665830299364,3.15,21.75,30.3,276.36719,-83.00781,982.91016,0.01678710034445706,-0.0009327039522657697,-0.0458314734927451,53.55,3.9,95.55,-632.32422,-71.28906,827.63672,0.08020520951199782,-0.114312433754471,-0.05995397966818241,52.8,20.85,42.6
-1000.97656,14.16016,-125.97656,0.021583439661862675,-0.04489894407340452,0.019718206290256335,3.15,21.75,30.3,291.01562,-75.19531,1004.39453,0.04689734606693803,-0.023582016188321384,-0.12643636340344963,53.1,3.15,93.75,-635.74219,-79.58984,853.51562,0.04463243229662499,-0.08180393110682463,-0.031708967317307775,51.9,19.95,41.7
-990.23437,-2.92969,-110.35156,-0.05702304825530834,0.013989337553510148,0.005329188338039486,2.7,21.75,28.5,282.71484,-76.66016,1000.97656,0.05702304825530834,-0.047430369620497105,-0.11897542991702426,54.6,4.65,94.5,-651.36719,-94.23828,852.05078,0.028111843728947466,-0.0458314734927451,-0.015188378749630253,51.9,19.95,41.7
-1007.32422,-18.06641,-115.23438,0.05049464418822355,-0.00186523337160634,0.009859190411590769,3.0,22.65,29.1,278.32031,-66.89453,1007.8125,0.05475795995207009,-0.0648836621404404,-0.13030017330151467,54.6,4.65,94.5,-619.62891,-101.07422,844.23828,0.09832469420742734,-0.08193727426167699,-0.004796339317405617,51.45,20.55,42.3
-990.23437,-1.46484,-118.65234,0.030643269276040042,-0.045032112695331694,-0.05116083636370978,3.45,21.45,27.45,279.78516,-51.26953,1000.97656,0.09765850203194111,-0.045032112695331694,-0.09885754322806121,54.45,3.75,94.35,-632.32422,-117.1875,838.37891,0.09739199025516157,-0.07181157207330668,0.021716608283789844,51.45,20.55,42.3
-999.51172,-27.83203,-121.09375,0.0182526533173567,0.014655355196071187,-0.05475795995207009,3.3,22.65,30.15,284.66797,-48.82813,991.21094,0.09779167065386828,-0.08620059002552354,-0.13309793609246157,55.5,4.05,95.1,-589.35547,-98.14453,821.28906,0.14975186781499147,-0.11324656118027807,0.02051756708766974,52.95,19.2,42.15
-1029.78516,-16.11328,-138.18359,0.05475795995207009,-0.0035972981212855125,-0.04463243229662499,3.3,22.65,30.15,322.26562,-41.01563,972.65625,0.05742272865401504,-0.11671051614671123,-0.1325650870718277,54.0,3.0,94.05,-577.14844,-84.96094,831.54297,0.14042570095695978,-0.1276355791324949,0.013189976756096747,53.4,20.7,42.15
-1052.73438,-37.59766,-138.18359,0.07314395642427915,-0.0385038831611721,-0.013456313999951081,4.05,21.15,29.4,316.89453,-44.92188,964.35547,0.08513471745133061,-0.04996179516758968,-0.10152213739708096,54.0,3.0,94.05,-562.98828,-88.86719,855.46875,0.12923430072732173,-0.114312433754471,0.0093261668580317,52.05,19.05,42.3
-1046.875,-46.38672,-118.65234,0.0722112524720134,-0.04809656179598333,-0.05116083636370978,3.45,21.75,29.55,335.9375,-51.26953,979.00391,0.05782240905272174,-0.02331550441154185,-0.12830177130798115,53.85,3.45,95.25,-562.5,-90.82031,840.82031,0.09019756854551575,-0.10831705324094529,0.017053612121236593,51.75,19.35,41.55
-1024.41406,-30.76172,-97.16797,0.09885754322806121,-0.055690663904335864,-0.05076115596500308,2.25,22.35,29.1,324.70703,-46.38672,960.44922,0.08593407824874401,0.0279785005740951,-0.08193727426167699,54.45,5.55,95.25,-574.70703,-89.84375,828.125,0.11084847878803786,-0.06501683076236757,-0.026912627999902163,52.5,20.55,41.25
-1030.76172,-31.73828,-94.23828,0.09659262945774817,-0.06781476808623968,-0.037171498810199634,2.25,22.35,29.1,352.53906,-69.82422,974.60937,0.09019756854551575,-0.03677181841149293,-0.12377176923442987,54.45,5.55,93.6,-565.91797,-92.28516,844.72656,0.12577034576088858,-0.05129400498563695,0.0025314255470925756,51.45,20.1,42.3
-1053.22266,-2.44141,-71.77734,0.09033073716744291,-0.026912627999902163,-0.03224199087086685,2.25,22.35,29.1,340.82031,-40.03906,973.14453,0.08446852527584436,-0.010525208054151804,-0.1540153581117632,54.45,5.55,93.6,-564.45312,-110.35156,846.19141,0.17906275274005903,-0.05489130310692246,-0.022516143614128445,51.45,20.1,42.3
-1034.17969,15.13672,-67.38281,0.07740727218812571,-0.07580855059329891,0.01678710034445706,2.25,22.35,29.1,330.56641,-28.32031,957.03125,0.08047172128877735,-0.0567565364785288,-0.15588059148336955,54.75,4.8,95.1,-570.3125,-95.70313,863.28125,0.2407487971579206,-0.06395095818817463,-0.03823737138439257,51.45,20.1,42.3
-1031.25,-21.48438,-53.22266,0.05062781281015071,-0.05928796202562137,0.030909606519894377,2.4,21.75,29.25,363.28125,-52.73438,965.33203,0.08247012328231085,-0.0470306892217904,-0.16573960736203514,55.2,3.3,95.4,-570.80078,-79.10156,878.41797,0.18266005086134454,-0.09832469420742734,-0.02198312006056938,52.65,20.25,42.15
-1014.16016,-25.39063,-48.33984,0.01625425132382319,0.009459335479958867,0.002398082392240209,3.3,23.1,29.4,345.21484,-21.48438,977.05078,0.12950081250410125,-0.06075351499852101,-0.14682076186919218,55.5,4.8,93.3,-564.94141,-90.33203,826.66016,0.21876567709735123,-0.045698304870817934,-0.023048992634762316,52.65,20.25,42.15
-1024.90234,-26.36719,-53.71094,0.06208572481656829,0.04276719892501865,0.04076879693148514,1.8,21.9,29.1,338.86719,-0.97656,968.75,0.04676417744501087,-0.05515781488370199,-0.16640579953752135,55.5,4.8,93.3,-572.75391,-70.3125,843.26172,0.21303680836060507,-0.02931088492506757,-0.02091724748637644,51.15,20.7,42.15
-1055.66406,-16.60156,-49.31641,0.05449162270821576,0.0839356762552105,0.01119140022963804,1.8,21.9,29.1,347.16797,-5.37109,967.28516,0.002664594169019743,-0.02224963183734891,-0.08926486459324998,53.85,3.9,94.8,-573.73047,-52.73438,855.95703,0.24208118150889307,-0.005728868736746187,-0.0936615235119489,51.45,20.55,42.6
-1068.35938,4.39453,-42.96875,0.05742272865401504,0.0652833425391471,0.04343339110050489,2.55,22.35,29.85,344.23828,-20.99609,955.07812,-0.013989337553510148,-0.07341046820105869,-0.14269061472727282,54.6,3.45,95.25,-562.5,-57.61719,853.02734,0.2547381347114308,-0.04183466950567808,-0.07434299762039927,51.75,19.8,41.25
-1043.45703,8.30078,-43.94531,-0.058488601228207975,0.13083302232214852,-0.003996978519992214,3.3,22.65,29.4,365.23437,-26.85547,987.30469,-0.0190520141147701,-0.005995380513525721,-0.1033873707686873,53.85,4.65,94.5,-551.75781,-35.15625,879.88281,0.1950504922871027,0.013456313999951081,-0.09752533341001395,53.25,20.85,43.05
-1001.95312,11.71875,-37.59766,-0.006794741310939124,0.13629555381504038,0.07674125454556469,3.45,21.45,29.25,333.00781,-21.97266,982.42187,-0.01252378458061051,-0.03677181841149293,-0.12390511238928224,53.4,3.75,92.85,-547.85156,-53.22266,858.88672,0.1325650870718277,-0.012656953202537678,-0.14402299907824528,51.75,19.8,42.0
-979.00391,5.85937,-36.13281,-0.02651294760119546,0.16773818388849382,0.06554985431592662,4.95,22.95,29.25,333.00781,-41.99219,979.98047,-0.02238280045927608,-0.059421130647548545,-0.13123270272085524,53.1,5.4,96.0,-554.6875,-57.12891,860.35156,0.18479179600973042,-0.005062851094185151,-0.11018228661255162,51.6,20.7,41.7
