IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-825.68359,106.93359,-522.94922,-0.07807346436361194,0.022649312236055614,-0.003996978519992214,-15.3,29.4,13.65,-413.08594,81.05469,939.94141,-0.026779459377974997,-0.0863337586474507,0.08899852734939565,85.05,3.75,76.5,-946.28906,101.5625,387.20703,-0.1398928519363259,-0.01851916509413623,0.04183466950567808,59.25,23.1,10.35
-842.28516,98.14453,-524.41406,-0.056356856079822104,-0.06022049144496195,0.0291777163031404,-14.25,27.15,15.45,-402.83203,81.54297,941.40625,0.007194421709645826,-0.11551147495059111,0.08620059002552354,86.25,5.25,76.2,-917.96875,86.91406,353.02734,-0.1726676918278266,0.01305663360124438,0.07740727218812571,59.25,23.1,10.35
-843.26172,89.35547,-509.76562,-0.032375159492794015,-0.021849951438642212,-0.04116847733019184,-14.25,27.15,15.45,-416.99219,73.24219,934.57031,0.00013316862192716734,-0.15881169742916884,0.09899088638291359,86.25,5.25,76.2,-934.57031,83.00781,343.75,-0.17386673302394673,0.015721227770264124,0.03210864771601448,59.85,24.75,10.05
-839.84375,106.93359,-504.88281,-0.06461715036366086,-0.01025887081029747,0.0013323843509724712,-14.55,28.95,13.35,-408.69141,92.77344,920.89844,-0.05915461887076901,-0.09512707648484854,0.08167076248489745,88.2,4.65,76.35,-930.66406,67.38281,343.26172,-0.21796631629993785,-0.011591080628344743,0.07141189167459998,59.85,25.05,10.5
-836.42578,117.67578,-519.53125,-0.06981317007977318,-0.02558041818185489,-0.04969528339081014,-14.4,28.5,13.95,-398.92578,74.21875,923.33984,-0.053558918755949994,-0.1670719917130076,0.09099692934292915,86.25,4.8,75.75,-918.94531,53.71094,344.23828,-0.15681312090271013,-0.07474267801910597,0.02464771422958912,60.15,24.0,10.8
-845.70312,124.02344,-539.0625,-0.0575558972759422,-0.05435827955336339,0.06475031898558803,-14.4,27.3,15.0,-404.78516,74.70703,865.23437,-0.06168604441786158,-0.09352835489002174,0.12856810855183548,86.25,4.8,75.75,-905.76172,45.41016,340.82031,-0.12137368684218967,-0.0385038831611721,0.02518073778314819,59.4,23.25,10.05
-837.40234,113.28125,-549.80469,-0.02731248293153406,-0.023182161256689485,0.029577396701847107,-14.55,28.95,13.35,-420.89844,48.82813,889.64844,-0.08087140168748405,-0.019318525891549636,0.03663864978956576,87.3,4.8,75.45,-913.57422,35.64453,361.81641,-0.05822208945142844,-0.13816078718664673,0.02851152412765417,59.4,23.25,10.05
-840.82031,105.46875,-539.0625,-0.12323892021379601,0.02984373394570144,0.010125527655445103,-14.55,28.95,13.35,-418.94531,28.80859,917.48047,-0.030509926121187674,-0.026646290756047828,0.07061253087718658,86.55,5.55,76.95,-905.27344,42.48047,346.67969,-0.011591080628344743,-0.09432771568743514,0.05475795995207009,59.25,23.85,8.85
-834.47266,111.81641,-549.80469,-0.06981317007977318,-0.0007993607974134029,0.08739963122164364,-14.55,28.95,13.35,-421.875,25.87891,912.10937,-0.04689734606693803,0.020251229843815406,0.007594102108352528,85.65,4.95,76.35,-907.22656,47.36328,348.14453,0.01625425132382319,-0.07993869773521828,0.03637213801278623,59.25,23.85,8.85
-841.79687,125.0,-540.52734,-0.03557277721537283,-0.03384071246569365,0.026646290756047828,-14.1,28.8,13.2,-435.05859,24.41406,916.01562,0.027179139776681696,0.04529862447211123,0.0291777163031404,85.65,4.95,76.35,-924.80469,57.12891,363.28125,0.02238280045927608,-0.1228392398150893,0.013855994398657782,60.3,23.85,10.65
