IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-535.64453,-70.3125,-836.91406,0.002131745148385874,0.011058231607710873,0.07127872305267281,-31.05,24.3,8.7,-657.71484,-25.87891,789.55078,-0.06888046612750741,0.012257272803830977,0.192918921671642,94.5,1.5,65.85,-1020.99609,2.92969,-153.80859,-0.34760029742596626,0.05515781488370199,-0.1135130729570576,50.55,21.45,-16.5
-518.55469,-78.125,-835.9375,-0.026646290756047828,0.0058622118915985545,0.07407648584361974,-31.65,23.1,9.15,-714.84375,-98.63281,787.10937,-0.1970490688135614,-0.3086967338660875,0.240882140312773,94.2,0.75,66.9,-997.07031,-12.20703,-135.25391,-0.28564774123132514,-0.08819916655198225,-0.07567538197137175,50.55,21.45,-16.5
-508.78906,-59.57031,-838.37891,-0.04223434990438478,-0.0046631706954784495,0.05102749320885741,-30.0,23.25,7.2,-616.21094,27.83203,822.75391,-0.06928032105913931,-0.009459335479958867,0.2067749160702998,92.7,2.25,65.55,-1000.48828,-22.94922,-119.14063,-0.27019302523784056,-0.14508887165243822,-0.02411486520895525,51.0,21.6,-18.45
-517.57812,-59.08203,-850.58594,-0.055290983505629165,0.017053612121236593,0.03557277721537283,-30.0,23.25,7.2,-641.11328,-40.52734,728.51562,-0.06155287579593442,-0.03530626543859329,0.1791960958949114,92.7,2.25,65.55,-996.58203,-33.20313,-91.79688,-0.22156361442122338,-0.05822208945142844,0.007993957039984428,51.0,21.6,-18.45
-525.87891,-64.94141,-836.91406,-0.08713329397778931,0.12963398112602842,-0.02238280045927608,-30.0,23.25,7.2,-663.57422,-110.35156,720.70312,-0.06701523275590107,-0.12963398112602842,0.13616238519311322,91.95,0.75,66.9,-1001.46484,-41.01563,-90.82031,-0.16160946022011574,-0.04449926367469782,0.012923464979317213,52.35,21.75,-17.1
-511.23047,-44.43359,-824.21875,-0.13509651261892028,0.08366916447843097,-0.015188378749630253,-30.75,23.7,9.75,-653.80859,-79.58984,800.78125,0.014122506175437317,0.008793317837397832,0.094860564708069,93.75,1.05,66.9,-1008.30078,-56.15234,-105.95703,-0.09952373540354745,0.04796321864113097,0.03304135166828025,51.9,21.75,-17.55
-506.83594,-51.26953,-827.63672,-0.1151117945518844,0.03637213801278623,0.05515781488370199,-31.2,22.65,8.85,-623.53516,-88.86719,835.44922,-0.06301842876883405,0.015321547371557422,0.05955429926947571,93.75,1.5,65.55,-1000.97656,-54.19922,-108.39844,-0.04902909121532391,0.012257272803830977,0.03450690464117989,51.6,22.95,-17.55
-507.32422,-76.17188,-834.96094,-0.1470872736459717,0.07287744464749962,-0.034373736019252726,-29.1,24.6,9.15,-618.65234,-105.46875,812.01172,-0.02704597115475453,-0.07487602117395832,0.00186523337160634,93.75,1.5,65.55,-998.53516,-34.17969,-114.74609,0.004263315763846549,-0.006128723668378088,0.007993957039984428,50.85,22.5,-16.05
-524.41406,-72.26563,-832.51953,-0.12643636340344963,0.07487602117395832,0.013722825776730615,-29.1,24.6,9.15,-633.78906,-91.79688,800.78125,0.05649002470174927,0.015188378749630253,0.005728868736746187,94.65,1.65,66.3,-987.30469,-27.83203,-124.51172,0.0093261668580317,-0.06408430134302699,0.015188378749630253,50.85,22.5,-16.05
-519.04297,-92.77344,-819.33594,-0.10645181986933895,0.0575558972759422,0.03490658503988659,-30.9,23.85,7.8,-641.11328,-89.84375,772.94922,0.06954665830299364,-0.09006439992358858,-0.06634921511334003,94.35,0.15,66.0,-981.93359,-2.44141,-106.44531,0.09033073716744291,-0.028644692749581334,0.0738101485997654,50.25,21.15,-16.95
-511.23047,-83.49609,-838.86719,-0.0835359958565038,0.05289272658046376,0.05382543053272952,-29.7,24.75,8.25,-612.79297,-41.99219,793.94531,0.13469683222021359,-0.009459335479958867,-0.08699995082293695,92.7,1.5,67.65,-971.19141,22.46094,-120.60547,0.11404592197769146,-0.05728938549916267,0.07034601910040704,50.25,21.15,-16.95
-523.92578,-87.40234,-840.82031,-0.09712565301130725,0.05995397966818241,-0.0381042027624654,-31.35,24.75,7.65,-641.60156,-74.21875,791.50391,0.1991806394290221,-0.05649002470174927,-0.0928621627145355,92.7,1.05,66.6,-958.98437,37.59766,-112.79297,0.12057432604477626,-0.09166312151841538,0.07261110740364529,51.45,21.6,-17.4
-510.74219,-79.10156,-847.16797,-0.019718206290256335,0.03970292435729221,0.02331550441154185,-31.65,24.15,8.55,-620.11719,-3.41797,777.83203,0.12617002615959527,-0.09432771568743514,-0.09845786282935451,93.6,1.65,66.0,-994.62891,73.73047,-143.06641,0.15961105822658223,-0.06874729750558024,0.08340282723457662,51.75,21.9,-17.7
-514.16016,-76.17188,-854.00391,-0.03783769098568587,0.025980098580561592,0.011591080628344743,-31.65,24.15,8.55,-697.75391,-52.24609,808.10547,0.1224395594163826,-0.11084847878803786,-0.12017464564606957,92.85,1.95,67.8,-972.16797,101.5625,-132.32422,0.11231385722801229,-0.07274427602557246,0.07887282516102534,50.7,23.1,-16.95
-526.85547,-66.89453,-845.21484,-0.09592643728226194,0.021183759263155976,0.03797085960761303,-31.05,24.0,8.25,-624.02344,22.94922,799.80469,0.008260294283838763,0.04609798526952463,-0.08460186843069674,92.85,1.95,67.8,-986.32812,111.81641,-119.62891,0.0843353566539172,-0.04183466950567808,0.060487003221741484,50.85,21.75,-17.1
-522.46094,-69.82422,-867.67578,-0.05342575013402282,-0.02145027103993551,0.11138132780867173,-31.35,23.7,9.75,-646.97266,-54.6875,835.44922,0.08273663505909039,-0.04596481664759746,-0.0632847660126884,94.5,1.05,65.85,-995.60547,144.04297,-143.06641,-0.009192998236104533,-0.04223434990438478,0.01358965715480345,51.75,22.35,-17.1
-516.60156,-65.42969,-848.14453,-0.045698304870817934,-0.02411486520895525,0.00652840406708479,-30.9,23.1,9.15,-601.07422,237.79297,786.13281,0.07900616831587771,-0.031442630073453444,-0.05955429926947571,93.3,0.45,66.75,-1017.57812,121.09375,-129.88281,-0.04676417744501087,-0.1029876903699806,0.0385038831611721,51.9,22.95,-16.65
-527.34375,-82.03125,-850.58594,-0.004929507939332785,-0.034373736019252726,0.02464771422958912,-30.9,23.1,9.15,-721.67969,73.73047,753.41797,0.17200149965234038,0.00652840406708479,-0.10365388254546684,91.95,1.8,66.6,-1009.76562,123.53516,-88.37891,-0.1301670046795875,0.007727445263204894,0.02944405354699474,51.9,22.95,-17.85
-534.66797,-86.91406,-867.67578,-0.05782240905272174,-0.0011990411961201044,-0.04330022247857772,-30.75,23.7,9.0,-617.67578,-20.01953,882.8125,0.06594953471463334,-0.009992359033517936,-0.031975479094087315,91.95,1.8,66.6,-995.11719,76.66016,-104.00391,-0.1374945950111605,0.028777861371508503,-0.0579555776746489,51.9,22.95,-17.85
-509.76562,-93.75,-845.21484,0.004929507939332785,-0.0369049870334201,-0.022116463215421746,-29.55,23.85,8.1,-610.35156,21.48438,826.17187,0.1293674693492489,-0.07087904265396612,-0.02278248085798278,93.45,1.8,66.6,-1016.11328,95.21484,-108.39844,-0.1730673722265333,-0.011457912006417574,0.020251229843815406,50.7,22.65,-18.75
-532.71484,-97.16797,-848.63281,-0.003463954966433146,0.012656953202537678,-0.06754825630946014,-29.85,23.85,7.5,-645.01953,15.13672,782.71484,0.1460214010717788,-0.07900616831587771,-0.006261892290305255,93.75,0.3,66.15,-1015.13672,119.14063,-98.14453,-0.26299842899526954,-0.021716608283789844,0.009192998236104533,50.7,22.65,-18.75
-540.03906,-109.375,-862.79297,-0.0182526533173567,0.0291777163031404,-0.024781057384441488,-31.2,24.6,7.8,-631.83594,63.96484,808.59375,0.030643269276040042,-0.06794793670816685,0.04609798526952463,93.75,0.3,66.15,-994.62891,101.07422,-65.42969,-0.2562036876843304,0.01305663360124438,-0.00839363743869113,51.6,22.5,-16.5
-525.39062,-85.9375,-845.70312,0.03450690464117989,-0.031442630073453444,0.008659974682545464,-31.2,24.6,7.8,-630.85937,23.92578,830.56641,0.016120908168970823,-0.15654678365885577,0.0482297304179105,92.55,1.2,67.05,-995.60547,98.14453,-106.93359,-0.2973721650145223,0.04889592259339674,-0.04676417744501087,52.5,21.6,-17.4
-535.15625,-79.58984,-835.9375,0.011990761027051442,-0.02931088492506757,-0.04396624012113876,-30.75,25.05,9.0,-722.65625,-8.30078,890.13672,-0.058888281626914674,-0.3940979630941976,0.10605213947063225,92.1,1.95,66.3,-991.69922,86.91406,-88.37891,-0.2314226302998889,0.06888046612750741,-0.05782240905272174,51.75,23.1,-18.0
-525.87891,-88.86719,-817.87109,0.011457912006417574,-0.034373736019252726,-0.02518073778314819,-31.2,23.85,7.8,-594.23828,131.83594,835.9375,-0.024381376985734785,-0.25886828185335015,0.1460214010717788,93.75,0.3,67.95,-1007.8125,74.21875,-102.53906,-0.305632459298361,0.026646290756047828,0.0063950609122324234,51.6,23.7,-17.55
-530.27344,-84.96094,-818.35937,0.07514235841781267,-0.08660027042423024,0.021583439661862675,-30.15,22.35,8.85,-645.01953,51.26953,756.83594,0.017186780743163762,-0.22649312236055613,0.12417144963313657,93.75,0.3,67.95,-992.67578,66.40625,-97.16797,-0.27698776654877966,0.007061253087718659,-0.014655355196071187,50.1,23.25,-16.8
-522.94922,-80.07813,-819.82422,-0.00013316862192716734,-0.047830050019203804,-0.007727445263204894,-30.15,22.35,8.85,-586.91406,197.75391,747.55859,0.005329188338039486,-0.1869233666251911,0.13403064004472734,94.2,0.0,67.65,-962.89062,-0.97656,-90.33203,-0.22436137721217028,0.032375159492794015,-0.01625425132382319,50.85,21.45,-16.05
-534.17969,-77.63672,-822.75391,0.01119140022963804,-0.015588059148336955,0.015454890526409788,-30.75,24.3,8.7,-616.69922,-0.97656,799.80469,0.03663864978956576,-0.3428039581085607,0.12297240843701647,93.75,1.05,67.65,-972.65625,21.48438,-82.51953,-0.17746403114523224,0.06541651116107426,-0.026246610357341126,50.85,21.45,-16.05
-518.06641,-71.77734,-828.61328,-0.031975479094087315,-0.11750987694412462,0.007727445263204894,-31.65,23.4,9.15,-565.42969,80.07813,807.12891,-0.043699902877284424,-0.14109189313244602,0.18026179393617914,93.3,0.9,69.6,-996.58203,-1.46484,-92.28516,-0.19798159823290198,0.029710565323774273,-0.05022813241144401,51.75,23.1,-16.2
-495.60547,-66.89453,-821.77734,-0.008659974682545464,-0.08513471745133061,0.04729702646564473,-30.6,22.35,8.55,-608.88672,41.50391,787.59766,-0.058488601228207975,-0.11231385722801229,0.17400007617879906,91.95,0.3,67.95,-986.81641,0.0,-100.58594,-0.18905511177357698,0.04529862447211123,-0.031975479094087315,51.45,21.9,-17.7
-515.625,-65.42969,-826.66016,-0.04236751852631195,-0.04956194023595778,0.011990761027051442,-30.15,24.9,8.55,-613.76953,0.97656,764.64844,-0.03623896939085906,-0.05249304618175705,0.21743346727930396,92.1,1.2,68.1,-989.74609,-8.30078,-119.14063,-0.13309793609246157,0.03877022040502644,0.028777861371508503,51.45,23.85,-16.65
-512.20703,-59.57031,-819.33594,-0.0275788201753884,-0.08380250763328333,0.02851152412765417,-30.15,24.9,8.55,-622.07031,14.16016,831.05469,-0.04023577337792608,-0.04969528339081014,0.24914243459661176,93.3,0.9,67.8,-976.5625,10.74219,-118.16406,-0.13403064004472734,-0.018385996472209065,-0.023048992634762316,50.25,22.35,-16.2
-507.8125,-49.31641,-822.26562,-0.04756353824242427,-0.1049862668964393,0.06874729750558024,-31.2,24.9,9.15,-631.83594,17.08984,830.56641,-0.08979788814680904,-0.07847314476231865,0.19998017475936067,93.3,0.9,67.8,-993.65234,10.74219,-109.86328,-0.06901380928235978,0.00039968039870670147,-0.07007968185655272,51.6,22.95,-16.5
-533.20312,-59.57031,-839.35547,-0.12377176923442987,-0.07487602117395832,0.026779459377974997,-31.2,24.6,9.15,-619.14062,-13.18359,798.82812,-0.08899852734939565,-0.09166312151841538,0.20957267886124673,93.3,0.9,67.8,-963.86719,25.39063,-129.39453,-0.04809656179598333,-0.03424039286440035,-0.052626389336609423,52.5,22.35,-16.95
-543.94531,-57.12891,-841.30859,-0.13802761856471957,-0.04676417744501087,-0.026779459377974997,-30.15,23.85,9.6,-613.76953,-35.15625,799.80469,-0.018785676870915768,-0.16094326804462952,0.13229857529504815,93.3,2.4,68.55,-981.44531,23.4375,-128.41797,-0.009059655081252166,-0.05382543053272952,-0.05062781281015071,52.5,22.35,-16.95
-540.52734,-67.87109,-826.66016,-0.1204409828899239,-0.08193727426167699,0.04436592051984546,-30.15,23.85,9.6,-587.89062,-6.34766,806.64062,-0.019851374912183504,-0.07514235841781267,0.1606769308007752,93.3,1.65,68.1,-965.33203,33.20313,-113.28125,0.025846929958634426,0.025980098580561592,-0.04396624012113876,51.9,23.7,-16.05
-520.50781,-50.29297,-827.63672,-0.13962634015954636,-0.11271371215964421,-0.012656953202537678,-30.0,23.25,9.0,-612.79297,-12.69531,789.55078,0.01638741994575036,-0.07727410356619854,0.11950845347058334,93.75,1.8,68.7,-979.00391,29.29688,-118.16406,-0.005995380513525721,0.02851152412765417,-0.06754825630946014,51.9,23.7,-16.05
-528.32031,-41.99219,-813.96484,-0.18905511177357698,-0.03384071246569365,0.004796339317405617,-30.6,24.15,8.55,-602.05078,-23.4375,770.01953,0.045032112695331694,-0.06115319539722772,0.08873201557261612,93.75,1.8,68.7,-984.86328,40.03906,-136.71875,0.003463954966433146,0.07927250555973205,-0.019718206290256335,50.25,23.1,-16.95
