IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-894.53125,264.64844,188.96484,-0.1051194355183664,-0.2671285761371889,-0.1125803690047918,2.25,38.55,38.1,399.41406,94.23828,922.36328,-0.0062618922903052,0.0143890179522168,-0.1649402465646217,50.1,13.95,95.1,-500.48828,150.39062,803.71094,0.1203078142679967,-0.0139893375535101,-0.0711455544307456,51.0,25.65,37.05
-816.89453,229.98047,215.82031,-0.1075176924435318,-0.3045665867241681,-0.0298437339457014,1.5,37.5,38.85,379.88281,85.44922,897.46094,-0.0043966589186989,0.0275788201753884,-0.1430902951259795,50.1,13.95,95.1,-524.41406,145.99609,828.125,0.1349631694640679,0.0631515973907612,-0.0947273960861418,50.7,25.35,38.7
-789.55078,190.42969,194.33594,0.0499617951675896,-0.2095726788612467,0.0860674214035963,3.6,37.5,38.55,359.86328,76.17188,873.53516,-0.0077274452632048,-0.0442327518979182,-0.1874563901787501,50.1,13.95,93.6,-511.23047,145.01953,822.26562,0.148952507017578,0.0137228257767306,-0.0972588216332344,53.25,26.4,39.15
-819.82422,182.61719,183.59375,0.0266462907560478,-0.0137228257767306,0.0050628510941851,1.8,38.55,38.85,364.74609,71.77734,864.74609,0.0219831200605693,-0.0612863640191548,-0.1613431229762614,49.5,14.1,93.75,-533.69141,143.55469,791.99219,0.1497518678149914,0.0659495347146333,-0.0776737839649052,51.75,24.9,38.4
-862.30469,210.9375,178.22266,0.0666155523571943,0.0398360929792193,0.0780734643636119,3.3,38.25,37.8,346.19141,54.6875,861.32812,0.0667488955120467,-0.1016554805519333,-0.1743997565775057,49.5,14.1,93.75,-530.27344,150.87891,819.33594,0.1642740543891354,0.0059953805135257,-0.1123138572280122,51.0,26.4,38.7
-884.76562,227.05078,157.71484,0.1914533686987423,0.0337075438437664,0.0654165111610742,3.3,38.25,37.8,347.16797,59.57031,848.14453,0.0522267089379027,-0.1059187963157798,-0.1765313271929664,49.5,14.1,93.75,-525.39062,160.15625,830.56641,0.17346705262524,-0.0243813769857347,-0.0158545709251164,51.0,25.65,37.35
-916.99219,253.90625,125.0,0.1486859952407985,-0.0498284520127373,0.1228392398150893,4.35,37.5,38.55,390.13672,17.08984,897.46094,0.0896645449919567,-0.074209828998472,-0.231955653853448,48.9,13.35,94.5,-502.92969,163.57422,850.09766,0.1642740543891354,-0.0215834396618626,-0.0202512298438154,51.0,25.65,37.35
-926.26953,286.13281,120.11719,0.1428239578821251,0.0375711792089063,0.0975253334100139,2.4,36.15,38.7,440.91797,53.22266,911.62109,0.1196416220925105,-0.0840688448771376,-0.2085068062870538,49.5,14.4,93.75,-514.16016,190.42969,874.02344,0.1414915735311527,0.0231821612566894,-0.052493046181757,51.75,25.65,38.4
-960.9375,299.31641,122.07031,0.1608100994227023,-0.0415681577288985,0.104320074720953,3.3,36.75,37.8,444.82422,65.91797,926.75781,0.1077840296873862,-0.0724777642487929,-0.1613431229762614,50.4,12.75,93.3,-512.20703,198.73047,854.00391,0.1509510835440367,-0.0175864611418704,0.0023980823922402,52.5,24.9,38.4
-997.07031,295.89844,119.62891,0.1577458248549758,-0.1565467836588557,0.1803951370910315,3.15,38.1,38.7,437.5,80.07813,927.24609,0.0788728251610253,-0.0378376909856858,-0.1553475679298105,50.4,12.75,93.3,-519.53125,201.66016,847.65625,0.0588882816269146,0.0281118437289474,-0.0047963393174056,52.35,25.5,39.6
-975.09766,268.06641,123.53516,0.0803383781339249,-0.1596110582265822,0.1441561677001724,3.15,38.1,38.7,433.59375,116.69922,904.78516,0.1474869540446784,-0.0129234649793172,-0.0827366350590903,50.1,13.5,94.65,-518.06641,218.26172,852.05078,0.0678147680862396,0.0819372742616769,0.0734104682010586,51.45,27.15,37.35
-943.84766,259.76562,145.99609,0.1468207618691921,-0.2992373983861286,0.089797888146809,2.7,38.4,38.4,418.94531,138.67187,914.55078,0.1332312792473139,-0.0583552580733556,-0.0844685252758443,49.35,13.5,94.65,-528.80859,232.91016,848.63281,0.011191400229638,0.0759418937481512,0.0047963393174056,51.6,27.3,38.55
