IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-960.9375,115.23438,-196.28906,-0.0490290912153239,-0.2633981093939762,0.0619525561946411,-0.3,30.6,29.55,-423.82812,-22.46094,936.52344,0.0811377389313384,-0.0798055291132911,-0.1281684281531288,82.2,5.25,77.55,-1000.48828,4.39453,209.47266,0.2358192892185878,0.0037304667432126,0.0779402957416847,55.65,20.55,1.2
-957.51953,112.79297,-205.56641,-0.0311761182966739,-0.2362189696172945,0.0262466103573411,-0.3,30.6,28.95,-422.36328,-49.80469,947.75391,0.0535589187559499,-0.0738101485997654,-0.1718683310304132,82.65,6.0,76.95,-1004.88281,10.25391,191.40625,0.2636646211707558,0.0162542513238231,-0.0206509102425221,56.55,20.7,1.35
-981.44531,93.75,-197.75391,-0.0458314734927451,-0.217033612347672,0.0154548905264097,-0.3,30.6,28.95,-430.17578,-28.80859,956.05469,0.0275788201753884,-0.0543582795533633,-0.2009127041787012,82.65,6.0,76.95,-1012.69531,18.06641,214.84375,0.2244947203670226,0.0612863640191548,0.0492956029921034,56.25,19.5,2.1
-982.91016,85.44922,-187.98828,-0.0494287716140306,-0.1452220402743654,-0.03064326927604,-0.6,31.05,30.3,-452.14844,-40.52734,959.47266,0.0901975685455157,-0.0782068075184643,-0.1838590920574646,83.25,6.0,75.45,-1011.71875,20.01953,193.35937,0.1782633919426456,0.0277121633302407,0.0235820161883213,56.4,18.6,1.5
-980.46875,99.60938,-189.45312,0.0191853572696224,-0.140026020558253,-0.069680001457846,0.6,31.05,30.3,-452.14844,-50.29297,942.87109,0.040235773377926,-0.0740764858436197,-0.1372282577673061,82.65,4.5,75.75,-1013.67187,45.89844,205.56641,0.1568131209027101,-0.0049295079393327,-0.0490290912153239,54.9,21.6,1.2
-998.53516,115.72266,-193.84766,0.0527595579585365,-0.0977916706538682,0.032375159492794,-1.5,31.2,30.45,-440.91797,-35.15625,949.21875,0.0516936853843436,-0.0374380105869791,-0.1866570293813367,82.95,5.55,76.2,-1010.74219,51.26953,197.26562,0.1798621135374724,-0.0419678381276052,0.0981913510525749,54.9,21.6,1.2
-1010.74219,130.37109,-201.17187,-0.0213169278850831,-0.079272505559732,-0.0706125308771865,0.3,30.3,30.6,-418.45703,-10.74219,946.28906,0.0037304667432126,-0.031309286918601,-0.1646737347878422,82.95,5.55,76.2,-1002.44141,75.68359,198.73047,0.1477534658214579,-0.0512940049856369,-0.006128723668378,56.4,20.1,0.75
-1019.53125,124.02344,-191.89453,-0.0194516945134768,-0.1205743260447762,-0.0880658233971298,0.3,30.3,30.6,-406.25,22.94922,931.15234,-0.0854012292281101,-0.0401026047559989,-0.1847917960097304,82.2,4.5,74.1,-991.69922,92.28516,218.75,0.1275022359776425,-0.0422343499043847,0.0170536121212365,56.4,20.1,0.75
-1033.69141,130.85937,-190.42969,0.0430337107017981,-0.1945176432664688,-0.0030642745677264,0.3,30.6,30.3,-403.32031,6.83594,930.17578,-0.0608866836204481,-0.0327748398915007,-0.13776110678794,81.15,2.55,74.7,-996.58203,83.98438,215.82031,0.0631515973907612,-0.0081271256619115,-0.0381042027624654,56.7,21.6,0.75
-1010.74219,140.13672,-179.6875,-0.039569755735365,-0.1329647674705344,-0.023981696587028,0.15,30.15,29.1,-408.69141,27.34375,942.38281,-0.052493046181757,-0.0161209081689708,-0.172401180051047,82.65,3.75,76.5,-998.04687,110.83984,217.77344,0.0355727772153728,-0.0551578148837019,-0.0065284040670847,56.25,19.5,0.6
-1012.20703,129.88281,-187.98828,-0.0358392889921523,-0.1071178375118999,-0.0443659205198454,-1.2,32.4,29.85,-382.8125,15.13672,937.01172,-0.0778071271197576,-0.0021317451483858,-0.1430902951259795,82.95,4.8,75.75,-993.65234,97.16797,234.375,0.0374380105869791,-0.0734104682010586,-0.0322419908708668,55.65,20.1,2.55
-1024.90234,91.79688,-187.5,-0.0245145456076619,-0.1544150385104699,-0.0727442760255724,-0.45,31.95,30.15,-390.13672,11.23047,930.17578,-0.0985910314512816,0.0181194846954295,-0.1692037368613934,83.1,4.95,76.65,-980.46875,90.82031,241.21094,-0.0158545709251164,-0.068614128883653,0.039569755735365,55.65,21.6,0.75
-1016.60156,93.26172,-170.41016,-0.0091929982361045,-0.1308330223221485,-0.1328315988486072,-0.45,31.95,30.15,-375.48828,-2.92969,952.63672,-0.0776737839649052,-0.0287778613715085,-0.0756753819713717,82.8,4.2,76.35,-977.53906,79.58984,249.51172,0.0682144484849463,-0.0739433172216925,0.0173201238980161,55.65,21.6,0.75
