IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-855.46875,41.50391,-412.10937,-0.0478300500192038,0.0981913510525749,-0.0255804181818548,-8.7,25.05,21.3,-130.37109,43.45703,1083.98438,0.1345634890653612,0.0093261668580317,0.0919296332951949,73.05,6.9,85.65,-835.9375,1.46484,603.51562,-0.1552143993078833,-0.0106585512090041,-0.0038636353651398,56.55,24.75,22.8
-837.89062,63.96484,-417.96875,-0.1128468807815713,0.1533491659362769,-0.0177198042967228,-8.25,24.6,19.65,-135.74219,6.83594,1043.45703,0.1930520902935692,-0.068081105330094,0.0734104682010586,73.35,6.15,85.2,-825.68359,-5.85937,572.75391,-0.0935283548900217,-0.0135896571548034,0.0816707624848974,55.8,25.05,22.5
-833.00781,38.57422,-420.41016,-0.0855343978500373,0.1080505414641657,0.0307764378979672,-7.65,24.75,20.85,-131.83594,51.26953,966.30859,0.0147886983509235,-0.0436999028772844,0.0903307371674429,74.25,7.5,85.5,-831.54297,11.23047,581.05469,-0.1225727280383097,-0.020117886688963,0.0838025076332833,55.8,25.05,22.5
-830.56641,22.46094,-425.78125,-0.132165406673121,0.1481531462201646,0.0151883787496302,-8.7,22.95,20.25,-137.69531,7.32422,988.76953,0.0499617951675896,-0.0462311538914518,0.1111148160318922,74.25,7.5,85.5,-814.45312,11.71875,573.73047,-0.0467641774450108,-0.0620857248165682,0.0639509581881746,57.9,24.6,21.15
-852.05078,1.46484,-444.33594,-0.1317657262744143,0.1694700741052478,-0.0194516945134768,-8.7,22.95,20.25,-148.92578,21.97266,1028.80859,0.0115910806283447,-0.0464976656682313,0.1620091406188224,73.35,6.9,87.0,-825.68359,19.53125,575.19531,-0.089797888146809,-0.0554241521275563,0.0519601971611231,57.9,24.6,21.15
-875.48828,-10.74219,-449.70703,-0.0608866836204481,0.0889985273493956,-0.0034639549664331,-8.4,25.05,21.3,-121.58203,25.87891,1032.71484,-0.004529827540626,-0.0069280844657914,0.1326982556937548,73.8,8.1,87.0,-815.91797,24.41406,583.00781,-0.0799386977352182,-0.0668820641339739,0.0341072242424731,57.0,24.3,22.8
-899.90234,-18.55469,-461.91406,-0.054091942309509,0.0901975685455157,0.0037304667432126,-10.35,25.65,20.4,-143.06641,-21.97266,1007.8125,0.0866002704242302,-0.0779402957416847,0.0718115720733066,73.8,8.1,87.0,-799.80469,5.37109,580.56641,-0.1318988948963414,0.004529827540626,0.0279785005740951,57.45,23.85,21.6
-906.73828,4.88281,-471.67969,-0.091529778363563,0.0695466583029936,0.0495619402359577,-8.55,24.15,19.65,-149.90234,-7.32422,971.67969,0.0393032439585855,-0.0436999028772844,0.1125803690047918,73.35,5.7,84.9,-824.21875,11.23047,556.15234,-0.060753514998521,-0.0118575924051242,-0.0319754790940873,57.0,24.75,22.5
-906.25,16.60156,-497.55859,-0.0394364125805126,-0.022382800459276,0.0440995832759911,-8.7,25.5,21.6,-150.39062,6.83594,982.42187,0.1124472003828646,-0.0361056262360067,0.1421577657066389,73.05,7.35,84.6,-835.9375,5.85937,546.38672,-0.0421010067495324,-0.0301102457224809,0.0185191650941362,56.55,24.3,22.8
-913.57422,46.38672,-492.67578,-0.0161209081689708,-0.0271791397766816,0.0097258472567384,-8.7,25.5,21.6,-166.99219,4.88281,990.72266,-0.0226493122360556,-0.0278453319521679,0.1276355791324949,73.05,7.35,84.9,-837.40234,1.46484,578.61328,-0.0627519169920545,-0.0471638578437175,-0.0159877395470436,57.9,26.1,21.6
