IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-904.29687,-28.80859,-210.44922,-0.054091942309509,-0.4385972267688954,0.0222496318373489,-0.15,24.9,19.65,309.08203,34.66797,960.9375,-0.0039969785199922,-0.5501117231994943,-0.1811944978884449,57.75,9.75,95.1,-721.67969,-209.96094,738.28125,0.5397196837672698,-0.5642342293749316,-0.1534823345582041,56.55,19.5,31.2
-909.66797,-19.04297,-188.47656,-0.0578224090527217,-0.4577825840385179,0.0655498543159266,-0.45,23.1,20.4,282.71484,91.30859,943.35937,0.0267794593779749,-0.5406523877195355,-0.2280918439553829,57.3,9.75,93.3,-684.57031,-175.29297,755.85937,0.4640444763288231,-0.463511452775264,-0.1461547442266311,56.55,19.5,31.2
-935.05859,-20.99609,-192.38281,0.0250473946282958,-0.510808653773834,0.054091942309509,0.0,23.7,20.55,293.94531,149.41406,963.37891,0.070346019100407,-0.5855513317929399,-0.2274256517798967,57.3,9.75,93.3,-709.47266,-118.16406,765.13672,0.558238848861406,-0.4186125087018595,-0.1636080367465744,55.5,20.25,32.55
-976.5625,11.71875,-205.07812,0.0363721380127862,-0.5387871543479291,0.0286446927495813,0.0,23.7,20.55,324.70703,187.01172,977.53906,0.0282450123508746,-0.572228186414916,-0.2410153089347001,57.3,9.75,93.3,-704.58984,-89.35547,750.97656,0.4837626826190794,-0.42993725208635,-0.2006461924019217,55.5,20.25,32.55
-1013.18359,8.30078,-196.77734,0.0342403928644003,-0.6520337155282072,0.005595700114819,0.6,24.0,20.55,324.21875,201.17187,962.40234,-0.0615528757959344,-0.5291944757131178,-0.2312894616779617,56.7,10.35,93.45,-684.57031,-57.61719,724.12109,0.4720382588358823,-0.4373981855727753,-0.2312894616779617,55.8,19.5,32.55
-1053.22266,0.48828,-194.82422,0.0880658233971298,-0.785797843796155,0.1055191159170731,1.05,22.2,19.8,329.10156,210.9375,905.27344,-0.1513507639427435,-0.5565069586446519,-0.194650811888396,56.1,9.6,94.2,-654.78516,-33.69141,696.28906,0.4603140095856105,-0.4468575210527342,-0.2021117453748213,55.8,19.95,33.0
-1040.52734,10.25391,-151.36719,0.1024548413493467,-0.7758054847626371,-0.0009327039522657,0.6,23.7,20.85,360.35156,176.26953,889.16016,-0.1789295841181318,-0.503614057531263,-0.1746660938213601,56.1,9.6,94.2,-635.74219,11.71875,676.75781,0.4573829036398111,-0.3573261446827047,-0.201845408130967,55.8,19.95,33.0
-1014.64844,26.36719,-115.23438,0.0995237354035474,-0.7338376466350318,0.0166539317225298,0.6,23.7,20.85,343.75,177.24609,868.16406,-0.20917299846254,-0.4030244495535226,-0.2231623360160501,56.7,9.15,95.25,-608.39844,5.85937,684.57031,0.4892250395790461,-0.402091920134182,-0.2090398298406128,54.75,20.7,32.55
-1011.71875,40.52734,-85.44922,0.1817273469090787,-0.6440397584882227,0.0955267568835552,1.5,23.1,22.05,329.58984,156.25,851.5625,-0.1552143993078833,-0.3606569310272106,-0.2591347936301297,56.4,11.1,95.55,-614.25781,41.01563,657.22656,0.4794991923223077,-0.3249509851899106,-0.2190321888741307,56.25,20.25,32.55
-1016.60156,23.92578,-54.19922,0.1910535137671104,-0.5242649677737851,0.0010658725741929,1.35,22.95,22.35,303.71094,197.26562,833.98437,-0.1039203943222463,-0.3370750893718144,-0.3012358003796621,56.4,10.35,94.5,-622.07031,38.08594,646.48437,0.4603140095856105,-0.3054992906764339,-0.2295573969282826,56.1,20.1,32.85
