IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-811.03516,96.19141,570.3125,0.0587549384720623,0.1156446435725182,-0.0991240550048407,11.25,31.8,61.8,-110.35156,170.89844,1016.60156,-0.0619525561946411,-0.0714118916745999,-0.1155114749505911,72.3,12.9,87.0,-874.51172,140.13672,461.42578,0.0334410320669869,0.0321086477160144,-0.0642174699649541,60.3,20.1,13.05
-813.96484,105.95703,551.26953,0.0193185258915496,0.190254152969697,-0.0668820641339739,11.25,31.8,60.75,-124.02344,158.69141,993.65234,-0.0925956509377559,-0.0778071271197576,-0.0791393369378048,73.5,12.45,86.85,-887.20703,118.65234,455.56641,-0.0286446927495813,-0.0039969785199922,-0.0704793622552594,60.6,19.5,13.35
-868.16406,125.0,549.80469,0.0213169278850831,0.1440229990782452,-0.0258469299586344,11.1,32.7,59.4,-121.09375,168.45703,985.83984,-0.0872664625997164,-0.1067181571131932,-0.0544916227082157,71.7,11.55,85.8,-888.18359,123.04688,430.66406,-0.0345069046411798,-0.0700796818565527,-0.0627519169920545,60.9,19.2,12.9
-866.21094,136.71875,548.33984,-0.0325085026476463,0.0667488955120467,-0.068081105330094,11.1,32.7,59.4,-128.90625,146.97266,979.49219,-0.1125803690047918,-0.0139893375535101,-0.0766079113907123,72.6,12.6,87.45,-883.78906,97.16797,461.91406,0.0081271256619115,-0.0126569532025376,-0.1161776671260773,60.0,20.1,13.5
-844.23828,114.25781,561.03516,-0.0535589187559499,0.1119141768293056,-0.0760750623700784,11.25,32.1,60.3,-117.1875,146.97266,1020.99609,-0.1044532433428802,-0.0988575432280612,-0.1007227765996675,72.6,12.6,87.45,-901.85547,95.21484,477.53906,-0.0282450123508746,0.0490290912153239,-0.0626187483701273,61.95,20.25,13.95
-841.79687,105.46875,559.57031,-0.0267794593779749,0.0743429976203992,-0.0067947413109391,11.4,31.95,60.45,-100.09766,133.30078,1014.16016,-0.1285681085518354,-0.0486294108166172,-0.1428239578821251,73.2,11.55,87.6,-902.34375,85.9375,469.23828,-0.0302434143444081,0.025713586803782,-0.1136462415789847,61.95,20.25,13.95
-849.12109,114.25781,553.22266,-0.1095160944370653,0.058088746296576,-0.0005328490206338,11.85,30.9,59.1,-80.56641,125.97656,1001.46484,-0.1398928519363259,-0.1163108357480045,-0.0866002704242302,70.8,11.4,85.95,-881.83594,74.70703,498.04687,0.0366386497895657,-0.0219831200605693,-0.0830031468358699,61.05,20.55,13.05
-829.58984,105.95703,571.77734,-0.0782068075184643,0.1035207139235396,-0.0173201238980161,10.5,29.85,59.25,-80.07813,101.5625,989.74609,-0.1432236382808319,-0.1532159973143498,-0.1384272989634262,73.2,12.45,87.15,-868.65234,68.84766,501.95312,0.055823832526263,0.0158545709251164,-0.1227058966602369,61.05,20.55,13.05
-811.52344,89.35547,566.89453,-0.0774072721881257,0.0006661921754862,-0.0262466103573411,10.5,29.85,59.25,-70.3125,116.21094,990.23437,-0.1047197551196597,-0.0997902471803269,-0.1440229990782452,73.2,12.45,87.15,-875.0,66.89453,469.72656,0.080871401687484,0.0062618922903052,-0.1173767083221974,60.75,20.55,13.8
-780.27344,79.58984,577.14844,-0.116577347524784,0.0650168307623675,-0.0442327518979182,10.95,31.05,61.05,-69.82422,86.42578,976.5625,-0.1120475199841579,-0.0935283548900217,-0.1394931715376192,73.2,12.45,87.15,-839.35547,78.61328,495.60547,0.0912634411197086,0.0446324322966249,-0.1145789455312505,61.2,19.95,12.3
