Timestamp (uS),IMU1_X,IMU1_Y,IMU1_Z
6,0.0,0.0,0.0
516,-0.00026273364196500006,-3.448828125000001e-05,-0.0004105063464300001
732,-0.0007757468267850001,-0.00010873388304000003,-0.0012425361303600004
946,-0.001284448977675,-0.00018537450804000002,-0.0020625908178600006
1151,-0.0017926721258850003,-0.00024620800536,-0.0028850405285700004
1366,-0.0022917941937450003,-0.00030464647947000005,-0.0037074902392800002
1565,-0.002790437258925,-0.00036835400268000004,-0.004530418952670001
1764,-0.003298181394645,-0.00042631347411000006,-0.005364843759810001
1963,-0.003812631587505,-0.0004703818383900001,-0.00617340235356
2187,-0.004328518798215,-0.0005340893616000001,-0.00699441504642
2386,-0.0048362629339350005,-0.0005910908276700001,-0.00780680567142
2585,-0.005337780025005,-0.0006346801794600001,-0.008615364265170001
2784,-0.005838339110715,-0.0007017407312400002,-0.009419132822310002
2983,-0.0063355451678550005,-0.0007520361401700002,-0.010231044444630001
3189,-0.006828919193745,-0.0008099956116000001,-0.01104630909552
3387,-0.007326604253565,-0.0008847202258800001,-0.011865405777660001
3586,-0.007824768316065,-0.0009680669080200001,-0.012679233410700002
3806,-0.008339218508925,-0.00103895949105,-0.013495935069630002
4005,-0.008853668701785,-0.00112134816783,-0.014318863783020002
4210,-0.009362849855355,-0.00121235891247,-0.015122632340160003
4409,-0.009863408941064999,-0.00129762160533,-0.015954662124090004
4609,-0.010364926032135,-0.00137953126962,-0.016777590837480004
4808,-0.010871712162494999,-0.0014619199464,-0.017602914564270003
5007,-0.011385683352675,-0.00154766164194,-0.018427759288380002
5212,-0.011881931394644999,-0.00161472219372,-0.01925404103034
5411,-0.012382969483035,-0.00169232082408,-0.02008511280891
5610,-0.012884965576785,-0.00176991945444,-0.02090852052498
5809,-0.013389356693745,-0.00184464406872,-0.02174629836069
6008,-0.013889915779455,-0.00190835159193,-0.02257689113658
6213,-0.014406760995525,-0.00197397512586,-0.02340604689462
6412,-0.014927438242845,-0.00204055666515,-0.02424526173837
6612,-0.015439972424985,-0.00210905422497,-0.02509645167855
6811,-0.015962086680345,-0.00217898879283,-0.02593806154551
7035,-0.016468872810705,-0.00224317531872,-0.02677009132944
7241,-0.017005357185705,-0.0023202949464,-0.02761601223033
7440,-0.017522681404455,-0.00240076760265,-0.02845043703747
7639,-0.018048148688385,-0.00247501320444,-0.029279113792830002
7838,-0.018572657966954998,-0.0025602758973,-0.03013030373301
8036,-0.019088545177665,-0.0026589507044399996,-0.03096712355355
8242,-0.019588625250885,-0.0027509194544399996,-0.03179627931159
8441,-0.020099722415175,-0.0028409721937199994,-0.03262926710088
8641,-0.020622315673215,-0.0029362939722899994,-0.033461775887490004
8839,-0.021148261959825,-0.0030100605713999995,-0.034297637702670004
9038,-0.021678040277685,-0.0031173574463999997,-0.035144037606240006
9244,-0.022208297598225,-0.00320070412854,-0.035969840335710004
9443,-0.022723705796445,-0.0032850088160399997,-0.03679947509643001
9643,-0.023247736072335,-0.0033803305946099997,-0.037615697752680005
9842,-0.023772724353585,-0.0034584082276499996,-0.03843575244018001
10041,-0.024298670640195,-0.0035321748267599998,-0.03925772313840001
10247,-0.024814557850905,-0.00361935354015,-0.040060054677690006
10446,-0.025339067129475,-0.00369791018568,-0.04086813426876001
10645,-0.025859265374115,-0.00378125686782,-0.041670944810730005
10844,-0.026377068595545,-0.0038612505213900003,-0.042484772443770004
11043,-0.026890081780364998,-0.00393980716692,-0.04328902000359
11249,-0.027412675038405,-0.004006388706210001,-0.0440908725402
11448,-0.027936705314295,-0.004082550328530001,-0.04489799412591
11647,-0.028460735590185,-0.004160627961570001,-0.04571230076163
11846,-0.028968958738394997,-0.004231041532110001,-0.04652517038931
12045,-0.029464248775004996,-0.00430480813122,-0.04733324998038
12250,-0.029950437741074996,-0.00437043166515,-0.04813941355092
12449,-0.030453870842864997,-0.00443653420176,-0.0489522831786
12648,-0.030959698967864997,-0.00450072072765,-0.04976323679556
12847,-0.031455468007155,-0.00456347023569,-0.05057562742056
13046,-0.031957943103585,-0.004621908709799999,-0.0513793959777
13252,-0.032452275134835,-0.004684658217839999,-0.05218939157949
13490,-0.032950439197335,-0.004733037616049999,-0.05299603415271
13689,-0.033456746325015004,-0.004773273949079999,-0.05381034078843
13888,-0.033979818585735004,-0.004831712423189999,-0.0546337485045
14094,-0.034500974835735006,-0.004895898949079999,-0.05546721529647
14293,-0.03503458518484501,-0.004951942409789999,-0.05629253902326
14492,-0.035562447491985005,-0.0050070278553299985,-0.05710780367415
14692,-0.03609270481252501,-0.005073609394619999,-0.05791875729111
14890,-0.03660428097949501,-0.005129652855329999,-0.058734021941999996
15097,-0.03711489914110501,-0.005178990258899999,-0.059545933564319996
15296,-0.03763845041431501,-0.005235512722289999,-0.06035257613754
15495,-0.03815673263842501,-0.005276707060679999,-0.06115107564558
15694,-0.03867214083664501,-0.005327960474969999,-0.061967298301829996
15893,-0.03920048214646501,-0.005362448756219999,-0.0627854369688
16099,-0.03973313449021501,-0.005421366233009999,-0.06361028169291
16298,-0.04027057687057501,-0.005478367699079999,-0.0644356054197
16497,-0.04081233028486501,-0.005517167014259999,-0.06525087007059001
16696,-0.04135599971968501,-0.0055760844910499995,-0.06606134467506
16895,-0.04189344210004501,-0.00563308595712,-0.06686942426613
17101,-0.04242369942058501,-0.00567619630623,-0.06768612592506
17300,-0.042962099806305006,-0.00572888673837,-0.06851001264381
17499,-0.04349666816077501,-0.00578397218391,-0.06932719330542
17698,-0.04403075751256501,-0.00585103273569,-0.07015395405006
17897,-0.044571073918815006,-0.00590324416515,-0.07096442865453
18103,-0.04510612128577501,-0.00597461575086,-0.07178160931614
18302,-0.04562871454381501,-0.00601916311782,-0.07260549603489
18501,-0.046155618835785006,-0.00606466849014,-0.07343369378757
18700,-0.046672943054535,-0.00610682083389,-0.07427578265721001
18899,-0.047195057309895004,-0.0061595112660300004,-0.0750934423215
19105,-0.047729146661685005,-0.006197831578530001,-0.07592259807954001
19304,-0.048268026059895004,-0.006251001013350001,-0.07675319085543
19503,-0.048804031432215005,-0.0063075234767400006,-0.07759048967865001
19703,-0.049340994809895004,-0.00636596195085,-0.07841868743133001
19902,-0.04987173113311501,-0.00642200541156,-0.07924065812955002
20108,-0.05041013151883501,-0.00650487309102,-0.08006023381437001
20306,-0.050949489919725005,-0.00657001762227,-0.08087789347866
20505,-0.051501302419725004,-0.006636599161560001,-0.08169028410366001
20706,-0.052034912768835005,-0.006714197791920001,-0.08250411173670001
20905,-0.05255654802151501,-0.006790359414240001,-0.08332368742152
21111,-0.05308776335722501,-0.006869395062450001,-0.08414326310634
21310,-0.05361035661526501,-0.006944119676730001,-0.0849618807858
21509,-0.05413678190455501,-0.007030340384760001,-0.08576900237151
21708,-0.05466033317776501,-0.007119435108870001,-0.08657995598847
21907,-0.05519106950098501,-0.007216193895480001,-0.08738468255097
22113,-0.05570456168848501,-0.007300498582980001,-0.08819132512418999
