Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
1,-4.88281,-2.44141,1019.04297,905.76172,283.69141,-300.29297,83.00781,-18.55469,1014.64844
5474,3.41797,2.92969,1011.71875,917.96875,303.22266,-298.82812,79.10156,-8.78906,1010.25391
10540,-11.23047,1.46484,1008.78906,913.08594,283.69141,-307.12891,69.82422,-12.69531,1018.55469
15576,-10.25391,-0.97656,1021.97266,921.38672,309.57031,-304.6875,81.05469,-14.16016,1005.85937
20572,-12.20703,-1.46484,1017.08984,896.97266,290.03906,-309.08203,72.75391,-17.08984,1011.23047
25597,-9.76562,-2.92969,1026.36719,914.0625,283.69141,-291.99219,71.77734,-12.69531,1007.32422
30593,-4.88281,16.11328,1020.50781,915.03906,295.89844,-300.78125,75.19531,-20.01953,1012.69531
35594,-9.27734,6.34766,1016.60156,919.92187,287.10937,-284.17969,68.84766,-12.69531,1017.08984
40582,-2.92969,3.90625,1023.92578,917.96875,282.22656,-297.36328,54.6875,-20.01953,1004.88281
45614,-11.71875,12.69531,1014.16016,893.06641,280.27344,-300.78125,77.14844,-12.69531,1004.39453
50609,-1.46484,13.18359,1022.46094,908.20312,295.89844,-303.22266,71.28906,-14.16016,1020.50781
55596,-1.46484,7.8125,1020.01953,908.69141,279.29687,-308.10547,81.54297,-2.44141,1008.78906
60585,-2.44141,0.97656,1014.64844,900.87891,296.38672,-286.62109,75.19531,-14.16016,1010.74219
65576,-4.88281,-0.97656,1027.83203,891.60156,281.25,-297.36328,69.33594,-22.46094,1009.76562
70574,-1.95312,8.30078,1016.60156,890.13672,281.25,-295.41016,65.42969,-20.01953,1006.83594
75572,-2.44141,8.78906,1007.32422,888.67187,291.50391,-303.22266,59.57031,-8.30078,1016.11328
80572,-14.16016,-1.95312,1020.01953,905.76172,297.85156,-300.29297,77.63672,-11.71875,1020.01953
85602,-1.46484,-7.32422,1015.625,895.50781,293.45703,-295.41016,68.84766,-15.625,1013.18359
90596,-12.69531,14.16016,1012.69531,890.13672,279.29687,-308.10547,74.70703,-12.69531,1003.90625
95585,0.97656,-2.92969,1030.76172,888.67187,290.03906,-281.25,75.68359,-9.27734,1009.76562
100577,-10.25391,2.44141,1021.97266,882.32422,292.96875,-286.62109,79.10156,-31.25,1009.27734
105577,-3.41797,14.64844,1021.48437,888.18359,300.78125,-294.43359,67.87109,-15.13672,1015.13672
110578,-4.88281,-7.8125,1020.01953,895.01953,288.57422,-294.92187,71.77734,-14.64844,1007.32422
115577,2.44141,3.90625,1020.01953,898.4375,298.82812,-288.08594,64.45313,-10.25391,1004.39453
120578,-9.76562,-11.23047,1019.53125,888.18359,292.48047,-286.13281,70.80078,-20.01953,1014.64844
125578,4.88281,21.97266,1027.34375,895.01953,290.52734,-287.10937,63.47656,-9.76562,1014.16016
130578,8.30078,2.92969,1018.55469,892.08984,302.73437,-286.13281,70.3125,-18.55469,1020.99609
135577,-5.37109,2.44141,1025.87891,896.97266,294.43359,-280.76172,79.10156,-14.64844,1005.37109
140578,-1.95312,4.39453,1022.46094,901.36719,292.96875,-287.10937,70.80078,-15.625,1016.60156
145578,6.83594,-3.90625,1014.64844,907.71484,306.15234,-302.24609,67.87109,-7.8125,1013.18359
150575,-9.27734,3.41797,1010.25391,904.29687,290.52734,-287.10937,50.29297,-10.74219,1022.46094
155577,1.95312,5.85937,1011.23047,901.36719,291.99219,-287.59766,76.17188,-19.04297,1016.60156
160579,1.46484,13.18359,1008.30078,907.71484,311.03516,-304.19922,68.35938,-3.90625,1017.08984
165619,2.92969,5.37109,1019.53125,903.32031,287.59766,-292.48047,79.10156,-18.55469,1002.44141
170623,-27.34375,3.41797,1007.32422,906.73828,301.75781,-291.01562,85.44922,-21.48438,1008.78906
175623,1.95312,0.48828,1024.90234,916.50391,295.89844,-302.24609,72.26563,-24.41406,1020.01953
180624,5.37109,13.67187,1025.87891,910.64453,292.48047,-296.38672,77.14844,-30.27344,1014.64844
185625,-12.20703,-10.74219,1024.41406,911.62109,295.89844,-300.29297,82.03125,-10.25391,1011.23047
190626,-8.78906,0.97656,1023.92578,912.59766,300.29297,-298.33984,65.91797,-33.20313,1014.64844
195624,-4.88281,0.97656,1008.78906,912.10937,297.36328,-299.31641,81.54297,-16.11328,1000.97656
200624,-1.46484,2.92969,1023.4375,919.92187,284.66797,-298.82812,76.17188,-11.71875,1007.8125
205624,0.48828,-0.97656,1017.08984,919.43359,299.31641,-298.33984,74.70703,-14.16016,1023.4375
210625,1.46484,6.34766,1025.39063,897.46094,284.17969,-310.54687,69.82422,-19.53125,1001.95312
215625,-13.18359,-1.46484,1021.97266,904.29687,285.15625,-303.71094,76.66016,-19.04297,1010.74219
220625,-3.90625,1.46484,1012.69531,895.01953,281.73828,-317.38281,65.42969,-25.39063,1011.71875
225625,-1.46484,-4.39453,1017.57812,905.27344,291.50391,-303.71094,64.94141,-15.13672,1011.71875
230623,-7.8125,9.27734,1015.625,904.78516,293.45703,-313.96484,71.77734,-19.53125,1022.46094
235624,4.39453,-5.37109,1010.74219,910.15625,285.64453,-308.59375,77.14844,-24.41406,1014.64844
