IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-992.67578,-27.83203,-155.27344,-0.002264913770313,0.0170536121212365,-0.0405022851547056,1.8,26.7,30.15,26.36719,37.59766,1042.96875,0.1028545217480534,-0.1224395594163826,0.0249142260063686,67.2,5.4,89.1,-890.13672,-9.76562,485.83984,0.1049862668964393,0.1072511806667523,-0.0103920394322246,58.35,22.2,17.85
-990.72266,-15.625,-163.57422,0.0231821612566894,0.0263797789792682,-0.0005328490206338,1.8,26.7,30.15,15.13672,45.89844,1042.48047,0.0716784034513795,-0.1376279381660128,0.0511608363637097,67.95,4.95,89.1,-888.67187,-31.25,480.95703,0.0667488955120467,0.10205516095064,0.0066615726890119,58.35,22.2,17.85
-1000.97656,-8.30078,-180.17578,0.0047963393174056,0.0205175670876697,-0.0582220894514284,1.8,26.7,29.85,-7.32422,32.71484,1031.73828,0.0182526533173567,-0.0899310567687362,0.1185757495183175,67.95,4.95,89.1,-875.48828,-24.41406,473.14453,0.0421010067495324,0.1554809110846628,-0.0365053066347134,58.35,22.2,17.85
-1026.36719,0.48828,-197.75391,-0.0460979852695246,-0.0125237845806105,-0.042900542079871,1.8,25.35,30.45,-13.67187,-1.95312,1003.41797,0.0079939570399844,-0.0798055291132911,0.0739433172216925,67.2,6.9,90.6,-884.76562,-45.41016,433.59375,0.095393588261628,0.1674716721117143,-0.0021317451483858,57.6,21.45,16.8
-1054.19922,17.57813,-200.19531,0.0067947413109391,-0.0302434143444081,0.0393032439585855,1.65,26.55,30.6,-11.71875,8.30078,1003.90625,0.0271791397766816,-0.0740764858436197,0.068081105330094,66.45,4.95,89.55,-903.80859,-61.52344,467.28516,0.0883323351739094,0.1508177403891844,0.0046631706954784,57.15,21.15,15.9
-1047.36328,17.57813,-200.68359,-0.0763415741468579,-0.0482297304179105,0.0029311059457992,2.4,26.55,31.05,-14.16016,-4.88281,1015.625,0.032908183046353,-0.0587549384720623,0.0085268060606182,67.8,6.0,90.45,-912.10937,-50.78125,450.19531,0.0799386977352182,0.0590214502488418,-0.0463644970463041,57.6,21.75,16.5
-1032.71484,12.20703,-198.24219,-0.0711455544307456,-0.1059187963157798,-0.0098591904115907,2.4,26.55,31.05,-12.20703,-1.46484,1011.71875,0.0089264864593249,-0.0407687969314851,0.0094593354799588,67.8,6.0,90.45,-918.94531,-56.64063,432.61719,0.0872664625997164,0.0682144484849463,-0.0579555776746489,56.7,21.6,15.9
-1026.36719,18.55469,-175.29297,-0.0443659205198454,-0.158944866051096,0.0318423104721601,1.35,27.0,31.05,-9.76562,-13.18359,996.09375,-0.0155880591483369,-0.0732771250462063,-0.0119907610270514,66.9,6.15,90.6,-935.54687,-30.76172,451.17187,0.0815375938629702,0.0249142260063686,-0.0627519169920545,56.7,21.6,15.9
-997.07031,8.30078,-175.29297,-0.1023216727274195,-0.125503833984109,0.0233155044115418,0.15,26.4,31.2,-14.16016,-0.48828,996.58203,-0.0359724576140795,-0.0551578148837019,0.0214502710399355,66.9,6.6,90.6,-910.15625,-35.64453,456.05469,0.1185757495183175,0.0,-0.1045865864977326,57.45,21.6,16.65
-992.1875,13.67187,-161.62109,-0.1088499022615791,-0.0838025076332833,-0.0463644970463041,1.65,26.55,30.6,-1.95312,-18.06641,1012.69531,-0.0283781809728018,-0.0516936853843436,0.0170536121212365,67.2,5.7,89.55,-917.48047,-0.97656,460.9375,0.0318423104721601,0.0105252080541518,-0.0143890179522168,57.45,21.6,16.65
-971.19141,20.50781,-153.80859,-0.0470306892217904,-0.1211071750654101,0.011191400229638,2.4,26.55,31.05,-7.32422,-22.46094,1002.44141,-0.0444992636746978,-0.0619525561946411,0.0143890179522168,67.05,6.3,90.75,-927.24609,-5.37109,466.79687,0.050228132411444,-0.0163874199457503,-0.0706125308771865,56.1,22.65,16.65
-970.21484,2.92969,-149.41406,-0.1614762915981885,-0.0294440535469947,-0.0147886983509235,2.4,26.55,31.05,-3.41797,-32.22656,1017.08984,-0.0319754790940873,-0.0440995832759911,-0.0054625314928918,67.35,5.55,90.0,-899.41406,-4.88281,466.79687,0.0181194846954295,-0.0611531953972277,-0.0495619402359577,57.3,21.45,16.5
-975.09766,2.44141,-150.87891,-0.1093829258151382,-0.0472970264656447,-0.082603291904238,1.5,25.65,32.25,20.99609,-24.41406,1001.95312,-0.1502848913685505,-0.0899310567687362,-0.0474303696204971,67.05,6.0,90.45,-901.36719,-15.13672,506.34766,0.0554241521275563,-0.0279785005740951,-0.0543582795533633,59.1,23.7,16.05
-962.89062,1.95312,-142.08984,-0.1259035143828157,-0.1048529237415869,-0.0381042027624654,1.65,25.5,30.0,12.20703,-83.49609,986.81641,-0.0266462907560478,-0.0969923098564548,0.0099923590335179,67.05,6.0,90.45,-895.50781,-20.99609,482.91016,0.0426340303030914,-0.091529778363563,-0.0113245688515652,56.25,21.75,16.05
-960.44922,-21.97266,-141.60156,-0.0854012292281101,-0.0754088701945922,-0.0037304667432126,3.75,27.0,31.65,30.27344,-84.96094,994.62891,0.0211837592631559,-0.0929953313364626,-0.1179097318757565,66.9,6.6,89.55,-881.34766,-24.41406,480.46875,0.1048529237415869,-0.08420218803199,0.0154548905264097,56.7,20.55,16.2
-978.02734,-15.13672,-153.32031,-0.1524164619840112,-0.050228132411444,-0.0608866836204481,1.65,27.75,31.35,14.16016,-76.17188,1003.90625,0.0448989440734045,-0.0487625794385443,-0.1113813278086717,66.9,6.9,89.55,-860.83984,-31.73828,474.12109,0.0923293136939016,-0.0319754790940873,0.0476967068643514,57.15,22.35,15.9
-995.11719,-33.69141,-152.83203,-0.073676805444913,-0.0880658233971298,-0.0787396565390981,1.65,27.75,31.35,35.64453,-23.4375,997.55859,0.1191087730718766,-0.0267794593779749,-0.132165406673121,66.75,6.0,91.2,-853.02734,-24.90234,484.375,0.1468207618691921,-0.0034639549664331,-0.0363721380127862,57.15,22.35,15.9
-998.04687,-13.18359,-145.01953,-0.0720780838500862,-0.1152449631738115,-0.0074609334864253,2.55,26.1,30.45,48.82813,-21.48438,1005.37109,0.0822036115055313,-0.0459648166475974,-0.1702694349026612,66.75,6.0,91.2,-869.14062,-31.25,493.65234,0.1369617459905266,0.0082602942838387,0.0237151848102485,58.5,21.6,16.65
-1012.20703,-24.90234,-149.90234,-0.0584886012282079,-0.0984578628293545,-0.0904640803222952,2.7,27.3,30.6,31.73828,-8.30078,1015.13672,0.0843353566539172,-0.04849624219469,-0.1116478395854512,66.75,5.55,90.0,-869.14062,-26.85547,486.81641,0.1181760691196108,0.0425006871482391,-0.0243813769857347,57.3,22.2,17.55
-1024.90234,-43.94531,-150.87891,0.0086599746825454,-0.1562802718820762,0.0238483534321757,2.1,26.25,32.1,36.13281,2.92969,1015.13672,0.0555574952824086,-0.0431668793237253,-0.1353630243956998,67.2,6.9,89.55,-851.07422,-23.4375,475.09766,0.1901209843477699,-0.0002665117767795,0.0153215473715574,57.0,21.45,16.5
-1018.55469,-25.39063,-148.92578,0.0019984019935335,-0.1843921156110237,-0.0213169278850831,3.0,25.35,31.5,31.73828,-0.97656,1011.71875,0.0251807377831481,-0.0033307863445059,-0.1136462415789847,67.2,6.9,89.55,-864.74609,-18.06641,487.79297,0.1429571265040523,0.0383705400063197,0.0025314255470925,57.3,21.0,16.05
-1038.57422,-31.73828,-163.08594,-0.0154548905264097,-0.2332878636714952,-0.0972588216332344,3.0,25.35,31.5,28.32031,-9.76562,1015.625,0.0230489926347623,-0.0319754790940873,-0.1440229990782452,68.55,6.0,90.45,-883.78906,-27.83203,483.39844,0.1480199775982374,0.0317089673173077,0.0094593354799588,56.25,22.2,16.8
-1035.64453,-35.15625,-151.36719,0.0258469299586344,-0.2426140305295269,-0.0358392889921523,3.3,26.1,31.5,42.48047,-13.18359,1002.92969,0.0498284520127373,-0.040235773377926,-0.1259035143828157,66.45,5.4,88.8,-865.72266,-5.37109,454.58984,0.1838590920574646,0.0446324322966249,0.0403691165327784,58.35,21.75,16.8
-1040.03906,-20.50781,-177.73437,0.0658161915597809,-0.2848483804339117,-0.0277121633302407,1.8,24.9,31.95,40.03906,-16.11328,1001.46484,0.0053291883380394,-0.0113245688515652,-0.1097826062138449,65.4,4.95,90.3,-879.88281,-8.30078,467.28516,0.1482863148420918,0.0426340303030914,0.029044373148288,58.35,21.75,16.8
-1033.20313,-35.15625,-146.48437,0.0190520141147701,-0.2540719425359445,-0.042900542079871,3.0,27.15,31.2,24.90234,-27.83203,984.86328,0.0279785005740951,0.025713586803782,-0.1124472003828646,65.4,4.95,90.3,-899.90234,-15.625,492.1875,0.1212403436873373,0.0476967068643514,-0.0460979852695246,57.6,20.25,16.5
-1016.60156,-22.94922,-146.48437,0.040235773377926,-0.349199019020793,-0.0476967068643514,2.4,25.5,31.05,28.32031,-19.53125,992.67578,0.0634181091675407,0.0030642745677264,-0.1490856756395052,66.3,5.55,89.7,-924.80469,-4.39453,495.60547,0.1336309596460206,0.0714118916745999,-0.0141225061754373,57.6,20.25,16.5
-985.83984,-26.85547,-137.20703,0.0483628990398376,-0.3559939348646574,-0.0311761182966739,2.4,25.5,31.05,12.20703,-14.64844,1018.55469,0.0266462907560478,0.0079939570399844,-0.1354961930176269,67.35,5.55,90.45,-922.36328,4.39453,489.74609,0.1227058966602369,0.0466310088230837,-0.0510274932088574,57.6,20.25,16.5
-969.23828,-37.59766,-102.53906,-0.0258469299586344,-0.3015023121564416,-0.0711455544307456,3.3,26.4,32.25,6.83594,4.39453,1041.01563,0.0197182062902563,0.0035972981212855,-0.1709356270781474,66.9,3.9,89.1,-940.42969,-2.44141,462.40234,0.1987809590303153,-0.0221164632154217,-0.052493046181757,56.55,21.45,16.5
-964.35547,-19.04297,-109.375,0.0471638578437175,-0.2843155314132778,-0.0620857248165682,1.8,25.65,32.55,2.92969,19.53125,1034.17969,0.0584886012282079,0.0063950609122324,-0.0936615235119489,66.75,5.55,89.7,-904.78516,23.92578,454.58984,0.1825268822394173,-0.0215834396618626,-0.0732771250462063,57.6,21.0,16.05
