IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-876.46484,580.56641,-56.15234,0.2362189696172945,-0.0976585020319411,0.2704593624816949,-4.05,39.0,29.4,397.46094,12.69531,901.85547,-0.0694134896810664,0.0487625794385443,-0.0093261668580317,47.7,15.6,93.45,-546.875,123.53516,837.89062,-0.0993905667816202,0.0619525561946411,-0.0935283548900217,51.9,26.25,37.95
-848.14453,610.83984,-26.85547,0.2340872244689086,-0.2159679143064043,0.2809847450687719,-5.1,39.75,29.1,423.82812,29.29688,907.22656,-0.0643506385868813,0.0568897051004559,0.0042633157638465,48.9,13.65,93.15,-556.15234,125.0,807.12891,-0.0965926294577481,0.0927289940926083,-0.0731439564242791,51.75,25.65,37.05
-828.125,620.60547,-45.41016,0.1670719917130076,-0.1550812306859561,0.1923858981180829,-5.25,39.9,28.95,390.13672,53.71094,907.22656,0.0245145456076619,0.0927289940926083,0.0042633157638465,48.15,13.65,94.8,-554.19922,134.76562,824.21875,-0.0608866836204481,0.1060521394706322,-0.0270459711547545,51.9,27.0,38.25
-812.5,611.32812,-33.69141,0.1171101965454179,-0.0847350370526239,0.0349065850398865,-5.25,39.9,29.25,408.20312,70.3125,904.29687,0.068081105330094,0.091529778363563,-0.0495619402359577,47.55,14.25,92.85,-573.73047,135.74219,801.26953,-0.059154618870769,0.1405590441118121,0.0186523337160634,53.55,26.7,38.1
-777.34375,590.33203,-33.20313,0.1670719917130076,-0.077007591789419,0.0023980823922402,-5.4,39.0,29.1,385.74219,86.91406,919.43359,0.0844685252758443,0.069680001457846,-0.0381042027624654,47.55,14.25,92.85,-577.14844,137.69531,825.19531,-0.0534257501340228,0.1205743260447762,0.0001331686219271,51.45,26.1,40.2
-788.57422,599.12109,-45.41016,0.1060521394706322,-0.0177198042967228,-0.0795390173365115,-5.4,39.0,29.1,383.78906,103.51563,932.61719,0.1257703457608885,0.0699463387017003,-0.0410353087082646,49.2,13.65,94.5,-577.63672,144.04297,810.05859,-0.0278453319521679,0.1373614263892333,-0.0133231453780239,51.45,23.85,38.7
-813.96484,603.51562,-30.76172,-0.0105252080541518,-0.0389035635598788,-0.2474103698469326,-4.5,38.1,28.5,358.39844,87.40234,935.05859,0.1385604675853534,0.0658161915597809,-0.0771409349442713,47.7,13.65,94.5,-589.84375,135.74219,795.41016,-0.0318423104721601,0.1428239578821251,0.0536922619108023,51.75,26.1,37.05
-795.41016,543.94531,-41.50391,-0.0835359958565038,-0.0820704428836041,-0.193584939314203,-5.1,38.55,28.05,338.86719,129.39453,916.99219,0.1684043760639801,0.058088746296576,-0.063018428768834,47.7,13.65,94.5,-600.58594,136.23047,786.13281,-0.041834669505678,0.0941945470655079,0.0081271256619115,51.75,26.1,37.05
-804.6875,524.90234,-44.92188,-0.0692803210591393,0.0355727772153728,-0.2302235891037688,-4.5,38.85,27.9,316.89453,156.25,880.85937,0.1067181571131932,0.0452986244721112,-0.0018652333716063,47.7,13.65,94.5,-603.02734,151.36719,780.76172,-0.0660827033365605,0.0431668793237253,0.045165455850184,51.75,24.9,37.65
-803.71094,507.8125,-36.13281,-0.1183094122744632,0.0782068075184643,-0.3233522635950838,-6.15,37.2,28.8,296.38672,153.80859,907.71484,0.1009892883764471,0.1642740543891354,0.0271791397766816,49.2,15.6,94.8,-605.46875,155.76172,778.80859,-0.1135130729570576,0.0659495347146333,0.0071944217096458,51.75,24.9,37.65
-784.66797,449.21875,-35.15625,-0.0939280352887284,0.166805479936228,-0.2384838833876076,-6.15,37.2,28.8,316.40625,160.15625,928.22266,0.1011224569983742,0.0782068075184643,0.0877993116203503,48.0,13.95,94.65,-601.5625,173.82812,781.25,-0.1123138572280122,0.0479632186411309,0.0101255276554451,52.95,25.5,38.25
-819.82422,455.07812,-65.42969,-0.0678147680862396,0.1783965605645728,-0.2519401973875587,-5.55,38.1,29.25,332.51953,163.57422,910.15625,0.0631515973907612,0.0989908863829135,0.1249709849634751,49.2,14.1,95.25,-615.23437,157.71484,778.80859,-0.0743429976203992,-0.0015987215948268,0.0218499514386422,53.25,23.4,38.1
-823.24219,448.24219,-63.96484,-0.0610198522423753,0.2183659966986445,-0.2604670034481769,-4.5,38.1,29.55,349.12109,155.27344,907.71484,0.0119907610270514,0.0401026047559989,0.0905972489442224,49.2,14.1,95.25,-595.70312,159.66797,766.11328,-0.1283017713079811,-0.032908183046353,0.0326416712695735,52.35,25.5,37.5
-812.5,443.35937,-73.24219,-0.0602204914449619,0.1887885999967974,-0.2668622388933346,-5.4,39.0,29.1,340.82031,162.59766,888.18359,0.0542251109314362,0.0233155044115418,0.1240382810112094,48.45,14.85,94.5,-585.44922,171.875,792.96875,-0.131099534098928,-0.0427671989250186,0.0169204434993094,52.65,25.5,37.2
-793.94531,473.63281,-54.19922,-0.059154618870769,0.1883889195980907,-0.2154348907528452,-5.25,38.85,28.95,339.35547,178.71094,892.08984,0.0014655529728996,0.0122572728038309,0.1267028751802291,49.05,14.25,95.1,-594.23828,162.10937,805.66406,-0.1783965605645728,-0.06634921511334,0.0155880591483369,51.45,25.65,37.65
-764.64844,477.53906,-80.07813,-0.1084502218628724,0.2712587232791083,-0.2888453589539039,-5.25,38.85,28.95,348.14453,142.08984,880.37109,-0.0141225061754373,-0.0207840788644492,0.1521501247401568,48.3,13.95,93.6,-583.49609,175.29297,810.54687,-0.1537488463349836,-0.08420218803199,0.0347734164179594,53.4,25.5,38.55
-764.64844,493.16406,-85.44922,-0.0830031468358699,0.2370183304147079,-0.1542816953556175,-5.25,38.85,29.25,363.28125,143.55469,923.33984,-0.0106585512090041,-0.0278453319521679,0.2191653574960579,49.2,15.15,94.5,-571.28906,169.92187,783.69141,-0.1741332448007262,-0.0475635382424242,0.0674150876875329,53.4,25.5,38.55
-805.66406,490.23437,-130.37109,-0.0869999508229369,0.2705927056365472,-0.1542816953556175,-5.25,38.85,28.2,373.53516,127.44141,922.36328,-0.0083936374386911,0.0039969785199922,0.2206309104689576,49.5,14.85,93.75,-578.61328,174.80469,800.78125,-0.2188988457192784,-0.0442327518979182,0.0756753819713717,51.45,26.1,37.65
-850.58594,486.81641,-124.51172,-0.1125803690047918,0.2953735884880635,-0.2695268330623543,-6.15,38.25,29.4,379.88281,139.64844,913.08594,0.0143890179522168,0.0171867807431637,0.2595344740288364,48.3,14.7,93.6,-572.75391,182.61719,832.51953,-0.2187656770973512,-0.0500949637895168,0.0371714988101996,52.35,25.05,37.95
-880.37109,499.51172,-122.55859,-0.150018379591771,0.239283244185021,-0.2327550146508613,-6.15,38.25,29.4,381.83594,142.08984,925.78125,-0.014522186574144,0.0210505906412288,0.2831163156842325,48.3,14.7,93.6,-588.37891,168.45703,816.89453,-0.2134364887593117,-0.0965926294577481,0.013456313999951,52.05,25.65,38.4
-922.36328,508.30078,-135.25391,-0.1472204422678988,0.1749326055981396,-0.2154348907528452,-6.15,38.25,29.4,389.64844,144.04297,931.15234,-0.0394364125805126,0.020117886688963,0.2471440326030782,49.5,15.15,94.2,-583.49609,172.85156,848.14453,-0.1718683310304132,-0.0778071271197576,0.1049862668964393,52.65,26.55,37.5
-886.71875,515.625,-105.95703,-0.214768698577359,0.1810613292665177,-0.2335543754482748,-6.15,38.25,29.4,391.11328,140.13672,950.68359,0.0037304667432126,-0.0025314255470925,0.3050996102777272,48.9,13.65,94.8,-586.91406,165.52734,833.00781,-0.2314226302998889,-0.0991240550048407,0.110981647409965,52.65,26.55,37.5
-906.73828,540.03906,-103.02734,-0.2741898292249076,0.195183835441955,-0.2199647182934713,-5.7,38.55,29.1,415.03906,129.39453,960.9375,0.0075941021083525,0.032908183046353,0.2575358975023777,48.6,13.95,94.65,-582.51953,148.92578,872.55859,-0.2247610576108769,-0.1442895108550248,0.0862005900255235,51.0,26.4,38.4
-875.97656,536.62109,-104.98047,-0.2528729013398244,0.1253706653621819,-0.0889985273493956,-4.95,36.9,29.25,402.34375,130.85937,949.21875,-0.0397029243572922,0.0414349891069713,0.3003032709603215,48.45,15.6,93.75,-571.77734,146.48437,859.86328,-0.2564701994611099,-0.0603538345998143,0.1000565844241813,51.9,26.25,39.0
-869.62891,532.22656,-93.26172,-0.2869801255822976,0.2135696573812389,-0.11990813386929,-4.65,38.55,28.05,416.50391,98.14453,950.19531,-0.0851347174513306,-0.0033307863445059,0.3228192400415248,48.45,15.6,94.8,-569.82422,127.92969,840.82031,-0.2198315496715442,-0.0151883787496302,0.0957932686603347,51.9,26.25,39.0
-870.11719,500.97656,-74.70703,-0.3085635652441603,0.170136266280734,-0.0699463387017003,-4.65,38.55,28.05,433.10547,81.54297,964.84375,-0.0141225061754373,0.0013323843509724,0.2705927056365472,48.45,13.35,95.25,-567.38281,151.36719,892.57812,-0.2332878636714952,-0.0127901218244648,0.0559571756811154,53.25,25.35,38.7
