IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-974.12109,7.32422,-291.01562,-0.0478300500192038,-0.0214502710399355,0.0214502710399355,-1.8,24.6,25.65,-107.42188,-78.125,1027.83203,0.0675482563094601,-0.1252373222073295,-0.0856677410048896,70.65,7.05,87.15,-852.05078,-13.67187,563.96484,0.2811179136906991,-0.1169770279234907,0.0374380105869791,57.15,24.6,21.9
-979.98047,16.11328,-299.31641,-0.0129234649793172,-0.0824701232823108,0.1001899275790336,-3.0,24.15,25.95,-102.05078,-66.89453,1039.55078,0.0810045703094112,-0.1421577657066389,-0.0816707624848974,70.8,6.9,87.75,-833.49609,-23.4375,557.61719,0.3205543262712117,-0.0422343499043847,0.0644839817417337,56.7,25.35,21.9
-987.30469,24.41406,-300.29297,-0.0692803210591393,-0.0628850856139816,0.0562235129249697,-3.0,24.6,26.7,-103.51563,-58.10547,1014.16016,0.0550244717288496,-0.1697365858820273,-0.1236386006125027,70.5,6.6,85.95,-821.77734,-5.37109,558.10547,0.3370750893718144,-0.1140459219776914,0.0478300500192038,57.3,25.5,22.05
-992.67578,34.17969,-291.01562,-0.069680001457846,-0.0810045703094112,0.0187856768709157,-3.3,22.35,24.6,-101.5625,-30.76172,1002.92969,0.131099534098928,-0.1107151356331855,-0.1152449631738115,70.65,5.55,86.1,-810.54687,-7.8125,521.48437,0.388235751202599,-0.0883323351739094,0.0245145456076619,57.45,26.1,22.2
-968.75,64.94141,-295.41016,-0.0350397536618137,-0.1334976164911682,0.107650861065459,-2.1,24.3,25.8,-111.32813,-31.73828,1025.39063,0.0401026047559989,-0.0828698036810175,-0.1652067583414012,70.65,5.55,86.1,-827.63672,-0.97656,531.73828,0.3277489225137827,-0.1151117945518844,0.0286446927495813,57.45,26.1,22.2
-990.72266,76.17188,-281.73828,-0.074209828998472,-0.1336309596460206,0.046897346066938,-2.1,24.3,25.8,-96.19141,-16.60156,1007.8125,0.11990813386929,-0.0566231933236764,-0.1875895588006773,70.8,6.6,87.75,-836.91406,17.08984,554.6875,0.2804517215152128,-0.0823369546603836,-0.0191853572696224,56.1,25.65,22.2
-989.74609,57.61719,-274.90234,-0.1272358987337882,-0.1548147189091766,0.0955267568835552,-2.4,24.75,24.75,-101.07422,-26.85547,985.83984,0.0266462907560478,-0.0355727772153728,-0.1782633919426456,69.9,6.0,86.85,-835.44922,13.18359,544.43359,0.3252174969666902,-0.077007591789419,-0.0059953805135257,56.1,25.65,22.2
-981.93359,53.71094,-267.08984,-0.096459460835821,-0.2059755552728863,0.105385947295146,-3.0,25.35,25.65,-95.70313,-24.41406,1012.20703,0.061419532641082,-0.0700796818565527,-0.177330862523305,70.8,7.35,88.8,-827.63672,-3.90625,564.45312,0.2880459981564905,-0.0414349891069713,0.0089264864593249,55.2,25.05,22.05
-985.35156,41.50391,-248.53516,-0.1061853080925594,-0.1426906147272728,0.0996569040254746,-1.5,24.15,25.2,-87.40234,-17.57813,1019.53125,-0.0069280844657914,-0.039569755735365,-0.1871898784019706,70.65,8.55,87.15,-822.75391,8.30078,523.4375,0.3262833695408831,-0.0265129476011954,-0.1045865864977326,57.9,24.9,22.95
-974.12109,22.46094,-252.44141,-0.1075176924435318,-0.094860564708069,-0.0049295079393327,-1.65,23.7,25.8,-83.98438,-21.97266,1017.57812,-0.0923293136939016,-0.0426340303030914,-0.1971822374354885,72.15,6.0,87.15,-817.87109,18.06641,559.57031,0.3154916497099517,-0.0594211306475485,0.0231821612566894,57.9,24.9,22.95
-988.76953,6.83594,-263.18359,0.0014655529728996,-0.1759984781723326,0.0118575924051242,-1.65,23.7,25.8,-84.47266,-30.27344,1001.46484,-0.0847350370526239,-0.06634921511334,-0.1732005408484604,71.1,6.0,87.15,-818.84766,20.01953,561.03516,0.3262833695408831,-0.004529827540626,-0.0720780838500862,57.15,24.15,23.25
-1000.0,10.25391,-252.44141,0.0050628510941851,-0.1771975193684527,-0.0318423104721601,-2.55,24.6,24.9,-104.98047,-41.01563,1008.30078,-0.0563568560798221,-0.0394364125805126,-0.1357627047944065,71.1,6.0,87.15,-818.84766,23.92578,521.97266,0.373047546985894,0.0211837592631559,-0.0307764378979672,57.45,24.9,23.25
-980.46875,11.23047,-230.95703,0.0317089673173077,-0.113246561180278,-0.0798055291132911,-1.65,24.3,24.3,-93.26172,-32.71484,1010.25391,-0.0242480338308824,-0.0496952833908101,-0.2022450885296737,71.25,5.7,87.75,-827.63672,23.92578,556.64062,0.3761118215536204,0.0538254305327295,-0.0674150876875329,56.7,24.9,22.2
