FilePath,Label
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part1.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part10.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part11.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part12.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part13.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part14.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part15.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part16.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part17.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part18.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part19.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part2.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part20.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part21.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part22.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part23.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part24.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part25.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part26.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part27.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part28.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part29.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part3.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part30.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part31.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part32.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part33.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part34.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part35.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part36.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part37.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part38.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part39.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part4.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part40.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part41.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part42.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part43.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part44.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part45.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part46.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part47.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part48.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part49.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part5.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part50.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part51.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part52.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part53.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part54.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part55.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part56.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part57.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part58.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part59.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part6.png,baseline
E:/master-2/madgewick_filter/train_data/train_reach\baseline\baseline_imu_train_data_part60.png,baseline
