FilePath,Label
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part1.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part10.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part11.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part12.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part13.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part14.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part15.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part16.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part17.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part18.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part19.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part2.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part20.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part21.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part22.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part23.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part24.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part25.csv,imu_baseline_1
E:/master-2/madgewick_filter/train_data/IMU\imu_baseline_1\baseline_imu_train_data_part26.csv,imu_baseline_1
