IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-1024.41406,3.90625,-37.10938,0.1746660938213601,-0.0359724576140795,-0.0635512777894679,4.35,27.15,34.35,-62.01172,-92.28516,988.28125,-0.0293108849250675,-0.0274456515534612,0.1333644478692411,71.55,0.45,87.0,-810.05859,132.32422,565.91797,-0.0303767574992605,0.0399694361340717,-0.0118575924051242,57.6,26.55,22.8
-1016.11328,-1.95312,-36.13281,0.1869233666251911,-0.0984578628293545,-0.0672817445326806,4.2,27.0,35.25,-96.19141,-112.30469,981.44531,-0.011191400229638,0.0179861415405771,0.1528161423827179,71.55,1.95,87.75,-780.27344,99.60938,544.43359,-0.0892648645932499,0.049162259837251,0.0093261668580317,57.9,24.6,24.75
-1024.41406,-2.44141,-27.34375,0.1530826541594974,-0.1582786738756097,-0.0662158719584876,4.2,26.25,34.8,-106.93359,-102.53906,970.70312,0.0282450123508746,0.0683476171068735,0.1827932194832717,71.55,1.95,87.75,-783.69141,94.72656,567.87109,-0.0823369546603836,0.0690138092823597,0.0218499514386422,57.9,24.6,24.75
-1007.32422,0.97656,-24.90234,0.1016554805519333,-0.1071178375118999,-0.0398360929792193,4.2,26.25,35.55,-106.93359,-102.05078,967.77344,0.0391699008037331,0.0784731447623186,0.1706692898342931,69.3,1.5,86.85,-784.66797,95.70313,564.94141,-0.1460214010717788,0.1064518198693389,0.06634921511334,57.9,24.15,24.3
-1010.74219,-12.20703,-10.25391,0.0830031468358699,-0.1167105161467112,-0.0850015488294034,3.45,27.0,35.55,-109.375,-89.84375,962.89062,0.0646171503636608,0.0715452348294523,0.1417580853079322,71.4,1.8,86.85,-791.50391,88.86719,564.94141,-0.2155680593747724,0.1141790905996186,0.0688804661275074,57.9,24.15,22.95
-984.375,-7.32422,8.30078,0.0947273960861418,-0.1793292645168386,-0.078606487917171,3.45,27.0,35.55,-96.67969,-84.96094,976.5625,0.1107151356331855,0.0738101485997654,0.1658729505168874,71.4,1.8,86.85,-798.33984,80.56641,588.37891,-0.2324885028740818,0.0992572236267679,0.043566559722432,57.45,23.85,22.2
-966.79687,2.92969,-13.18359,0.0822036115055313,-0.0682144484849463,-0.032908183046353,3.45,25.8,34.8,-85.9375,-58.10547,948.24219,0.0227824808579827,0.0563568560798221,0.2051760199425478,71.4,1.8,86.85,-812.5,76.66016,575.19531,-0.2380842029889009,0.0595542992694757,0.0417013263508257,55.65,23.4,22.2
-971.67969,-11.23047,11.23047,0.014522186574144,-0.059154618870769,0.0207840788644492,3.75,26.25,33.45,-84.96094,-77.14844,963.37891,0.0094593354799588,0.0672817445326806,0.2150352103541385,70.65,1.5,86.1,-817.38281,94.72656,588.37891,-0.2131699769825322,0.0277121633302407,-0.0478300500192038,57.15,25.35,24.75
-966.79687,-5.85937,5.85937,0.0374380105869791,-0.0675482563094601,0.0271791397766816,4.2,26.25,35.55,-88.37891,-79.10156,970.70312,0.0053291883380394,0.1033873707686873,0.191853049097449,71.7,1.5,86.85,-811.52344,97.65625,594.72656,-0.2435467344817927,0.0843353566539172,0.0062618922903052,58.5,24.9,22.65
-968.75,-3.41797,14.16016,-0.0314426300734534,0.0560903443030425,-0.0271791397766816,5.4,26.7,34.65,-73.73047,-93.26172,990.72266,0.0037304667432126,0.0381042027624654,0.225960098806997,71.25,2.7,87.0,-826.66016,83.49609,599.12109,-0.2324885028740818,0.0760750623700784,-0.0147886983509235,58.5,24.9,22.65
