IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-918.94531,15.625,-379.39453,-0.0544916227082157,0.0658161915597809,0.1279019163763492,-5.55,29.55,23.7,-353.51562,-33.69141,939.94141,-0.1100489434576992,-0.0651499993842947,-0.0029311059457992,81.9,3.75,77.55,-953.61328,82.51953,267.08984,0.0086599746825454,-0.0438330714992115,-0.1416247421530798,55.5,21.45,1.65
-904.29687,36.13281,-383.30078,-0.013456313999951,0.039569755735365,0.1265697065583019,-5.55,29.55,23.7,-350.58594,-32.71484,961.91406,-0.0197182062902563,-0.0285115241276541,-0.0315757986953806,83.25,5.55,77.55,-965.33203,81.05469,282.22656,0.0075941021083525,-0.0450321126953316,-0.203577298347721,57.6,19.95,3.45
-895.50781,36.13281,-389.64844,-0.0644839817417337,0.1328315988486072,0.1863905176045572,-7.2,30.15,24.9,-366.69922,-35.64453,981.93359,-0.0542251109314362,-0.0949939078629213,-0.0153215473715574,81.75,4.65,77.7,-949.21875,83.00781,262.20703,0.0426340303030914,-0.0482297304179105,-0.1421577657066389,57.6,19.95,3.45
-894.53125,10.25391,-393.55469,-0.0107917198309313,0.0576890658978693,0.2354196088198811,-5.4,29.7,24.15,-362.30469,-29.29688,998.04687,-0.0848683802074762,-0.0787396565390981,-0.061419532641082,81.75,3.45,78.15,-948.73047,86.42578,256.83594,-0.0082602942838387,0.0009327039522657,-0.1781302233207184,56.7,19.8,2.85
-902.34375,2.44141,-394.04297,0.0401026047559989,0.0802052095119978,0.2447457756779128,-7.65,30.3,22.65,-346.67969,-37.59766,1003.90625,-0.0691469779042869,-0.0965926294577481,-0.0182526533173567,82.05,3.45,78.15,-951.66016,86.91406,248.53516,-0.0221164632154217,0.0286446927495813,-0.1931852589154963,56.55,19.95,2.1
-911.13281,4.88281,-415.52734,0.0198513749121835,0.13776110678794,0.1672051603349347,-7.95,29.7,23.85,-355.95703,-58.59375,980.95703,-0.0863337586474507,-0.0992572236267679,0.0154548905264097,81.75,4.2,78.45,-949.70703,76.66016,235.35156,-0.0242480338308824,0.0327748398915007,-0.1360290420382608,56.7,19.8,2.55
-939.94141,-1.46484,-415.52734,0.0582220894514284,0.1192419416938038,0.1974487492122681,-7.95,29.7,23.85,-351.5625,-76.17188,946.77734,-0.0759418937481512,-0.0956601000384076,-0.0174532925199432,82.05,3.15,76.65,-943.84766,72.75391,238.76953,-0.0632847660126884,0.0373046674321268,-0.1296339811260284,55.65,18.6,2.25
-942.38281,19.04297,-437.98828,0.1338974714228001,0.0166539317225298,0.2278255067115286,-7.05,29.85,24.75,-373.04687,-72.75391,927.24609,-0.1380276185647195,-0.0439662401211387,-0.0153215473715574,82.05,3.15,76.65,-946.77734,83.00781,247.07031,-0.0640843013430269,0.0642174699649541,-0.0756753819713717,58.5,20.55,1.8
-945.3125,28.80859,-442.38281,0.1285681085518354,0.0648836621404404,0.1874563901787501,-7.35,30.6,23.7,-373.53516,-94.72656,938.47656,-0.0848683802074762,0.0101255276554451,-0.0231821612566894,82.35,4.95,78.45,-945.3125,65.91797,239.74609,-0.0310429496747467,0.1131133925583509,-0.0759418937481512,57.15,19.05,3.6
-971.67969,24.90234,-443.84766,0.1362955538150403,0.0353062654385932,0.1420244225517865,-6.6,29.85,21.6,-372.55859,-73.24219,937.5,-0.1229724084370164,0.0727442760255724,-0.0556906639043358,81.15,4.05,78.0,-946.28906,77.14844,255.85937,-0.0455651362488907,0.1730673722265333,-0.0414349891069713,57.15,19.05,3.6
-972.65625,12.20703,-455.56641,0.201845408130967,-0.0283781809728018,0.1225727280383097,-6.9,28.65,23.55,-408.69141,-76.17188,918.45703,0.0027979373238721,0.4607136899843171,0.0074609334864253,81.0,3.9,77.7,-974.12109,66.40625,254.88281,-0.0321086477160144,0.1771975193684527,-0.0727442760255724,57.3,19.95,2.1
-954.58984,8.78906,-452.63672,0.1771975193684527,-0.0552909835056291,0.113246561180278,-6.9,28.65,23.55,-405.27344,-45.89844,884.27734,-0.0030642745677264,0.1987809590303153,0.0047963393174056,81.0,3.9,77.7,-999.51172,77.14844,256.34766,0.0266462907560478,0.1670719917130076,-0.0214502710399355,57.3,19.95,2.1
