IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-862.30469,12.20703,-553.22266,0.1153783063286639,-0.0656830229378538,-0.0739433172216925,-12.3,24.0,12.15,421.875,172.85156,899.90234,-0.0254472495599277,-0.0496952833908101,-0.1063184767144865,47.1,4.95,98.85,-741.21094,116.69922,708.49609,0.2649970055217283,0.0091929982361045,-0.0667488955120467,55.65,23.85,34.95
-851.5625,11.23047,-552.24609,0.1414915735311527,-0.0426340303030914,0.0393032439585855,-12.3,24.0,12.15,412.59766,148.92578,916.01562,-0.0085268060606182,-0.05475795995207,-0.1167105161467112,47.1,4.95,98.85,-735.83984,99.60938,719.72656,0.2416815011101863,0.0147886983509235,-0.0676814249313873,56.25,23.7,35.85
-852.05078,7.8125,-554.6875,0.0802052095119978,-0.022382800459276,0.0816707624848974,-10.95,25.5,11.1,411.62109,147.94922,918.45703,-0.0090596550812521,-0.0038636353651398,-0.1019218177957876,47.1,6.6,98.4,-740.23437,111.32813,730.95703,0.227558994934749,-0.0135896571548034,-0.058088746296576,56.25,22.5,35.85
-872.07031,18.55469,-568.35937,0.0283781809728018,0.0699463387017003,-0.0165205885676775,-12.45,24.9,12.0,441.89453,154.78516,922.85156,0.0213169278850831,-0.0539585991546566,-0.1192419416938038,45.9,3.9,98.1,-737.79297,95.21484,749.51172,0.2133031456044594,-0.0807380585326316,-0.0046631706954784,56.1,22.65,34.2
-855.95703,8.30078,-554.19922,0.0490290912153239,0.0855343978500373,0.0819372742616769,-12.15,23.4,12.3,428.22266,102.53906,898.4375,-0.002264913770313,-0.0576890658978693,-0.1233720888357231,45.9,3.9,98.1,-734.86328,102.05078,731.93359,0.164540566165915,-0.0658161915597809,0.0041301471419193,56.1,22.65,34.2
-850.58594,15.625,-560.54687,-0.0094593354799588,0.0840688448771376,0.0751423584178126,-11.55,25.05,11.4,422.36328,126.46484,897.46094,-0.0050628510941851,-0.0881991665519822,-0.125503833984109,45.9,3.9,98.1,-734.86328,106.44531,750.97656,0.1789295841181318,-0.0587549384720623,0.0039969785199922,56.25,21.75,35.1
-859.86328,12.69531,-551.26953,-0.0795390173365115,0.0798055291132911,-0.0286446927495813,-11.55,25.05,11.4,412.59766,140.625,904.78516,-0.0131899767560967,-0.014522186574144,-0.1249709849634751,45.9,6.15,98.4,-732.91016,127.44141,723.14453,0.1628085014162358,-0.0900643999235885,0.0039969785199922,56.25,21.75,35.1
-847.65625,-4.39453,-554.19922,-0.0243813769857347,0.0743429976203992,0.0351730968166661,-11.55,25.05,11.4,429.19922,136.71875,939.94141,-0.0444992636746978,-0.0242480338308824,-0.1261700261595952,46.5,7.5,99.3,-709.47266,103.02734,733.88672,0.152283293362084,-0.1252373222073295,0.0121241041819038,56.55,23.7,35.4
-842.77344,0.0,-548.33984,-0.0155880591483369,0.0331745202902074,0.0598208110462552,-12.9,25.35,12.0,432.12891,130.85937,900.39062,0.0422343499043847,-0.0490290912153239,-0.1039203943222463,46.65,5.4,99.15,-681.15234,126.46484,738.28125,0.1212403436873373,-0.0937948666668012,0.0359724576140795,55.8,23.7,35.1
-847.65625,6.34766,-558.10547,-0.0759418937481512,0.1101822866125516,0.0287778613715085,-12.6,24.3,11.1,443.84766,148.92578,890.625,0.0053291883380394,0.006128723668378,-0.1488193383956508,46.65,5.4,99.15,-669.43359,136.71875,715.82031,0.1083170532409452,-0.1235054319905755,0.0087933178373978,55.65,24.15,36.3
