IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-1025.39063,88.86719,-151.85547,0.0057288687367461,0.1220398790176759,-0.069680001457846,2.1,28.8,28.5,366.21094,15.13672,956.05469,-0.0137228257767306,-0.0660827033365605,-0.0724777642487929,51.6,5.55,95.4,-611.32812,-0.97656,848.63281,0.0358392889921523,0.0121241041819038,0.004529827540626,54.45,21.75,40.05
-1016.11328,70.80078,-143.06641,0.0425006871482391,0.0981913510525749,-0.0381042027624654,-0.6,27.75,28.5,362.79297,26.85547,968.26172,-0.0318423104721601,-0.0202512298438154,-0.0552909835056291,51.0,8.4,94.5,-610.35156,8.78906,839.84375,0.0538254305327295,-0.0289112045263608,-0.004529827540626,52.65,22.2,38.25
-978.51562,70.80078,-145.99609,0.0619525561946411,0.1345634890653612,-0.0896645449919567,0.75,28.2,28.35,354.49219,23.4375,951.66016,0.0135896571548034,-0.0455651362488907,-0.0062618922903052,51.0,8.4,94.5,-590.33203,41.50391,828.61328,0.0973919902551615,-0.0117244237831971,0.0305099261211876,52.65,22.2,38.25
-986.32812,46.38672,-119.62891,0.0030642745677264,0.1201746456460695,-0.0963261176809686,1.65,27.0,27.9,350.09766,31.73828,928.22266,0.0119907610270514,-0.0225161436141284,-0.0015987215948268,52.65,5.25,95.4,-583.98437,59.08203,831.54297,0.0714118916745999,-0.0185191650941362,0.0057288687367461,52.65,21.45,40.35
-979.49219,65.42969,-137.20703,0.1216401986189692,0.0815375938629702,-0.0106585512090041,0.15,27.9,28.05,356.93359,7.8125,930.17578,-0.0037304667432126,-0.0349065850398865,-0.0113245688515652,51.3,6.15,95.25,-576.17187,55.17578,829.58984,0.0393032439585855,-0.0479632186411309,0.0399694361340717,52.65,21.45,40.35
-964.84375,77.14844,-126.46484,0.0744763407752516,0.0624854052152749,-0.0327748398915007,0.15,27.9,28.05,375.97656,14.16016,926.75781,0.0233155044115418,-0.0391699008037331,-0.0229158240128351,51.0,6.9,93.75,-561.03516,61.03516,816.89453,-0.0452986244721112,-0.0097258472567384,-0.0287778613715085,52.8,20.85,39.45
-954.10156,81.54297,-114.74609,-0.0065284040670847,0.1564134405040034,-0.0951270764848485,0.3,29.85,27.9,399.90234,8.78906,929.19922,0.0961929490590414,-0.0154548905264097,0.0460979852695246,51.0,6.9,93.75,-573.73047,52.24609,841.30859,-0.1115144964305989,-0.0043966589186989,-0.0531592383572432,52.65,20.7,40.05
-930.66406,79.58984,-111.81641,0.0623522365933478,0.0965926294577481,-0.0309096065198943,2.25,27.15,28.8,385.25391,23.92578,925.78125,0.198514621786461,0.0181194846954295,0.0005328490206338,52.5,5.4,95.25,-586.42578,28.80859,811.52344,-0.1039203943222463,-0.0337075438437664,-0.0050628510941851,52.65,21.45,40.65
-946.28906,66.40625,-124.02344,0.0317089673173077,0.1248376418086228,0.0015987215948268,-1.05,28.05,26.85,381.34766,31.73828,938.47656,0.1581455052536826,-0.0146553551960711,-0.10205516095064,52.65,6.3,95.7,-583.00781,15.625,806.15234,-0.0610198522423753,-0.0214502710399355,0.0488959225933967,51.9,22.2,38.25
-968.75,70.3125,-129.88281,0.0093261668580317,0.1625421641723815,-0.0243813769857347,0.6,28.8,26.4,369.14062,47.85156,937.5,0.1473537854227512,-0.0037304667432126,-0.0243813769857347,52.65,6.3,95.7,-595.21484,15.13672,825.19531,-0.085934078248744,-0.0069280844657914,0.0085268060606182,52.35,22.5,39.3
-977.53906,64.94141,-156.73828,0.0125237845806105,0.1227058966602369,0.032375159492794,0.6,28.8,26.4,351.5625,52.73438,931.64062,0.1509510835440367,-0.0179861415405771,-0.0319754790940873,52.5,6.6,94.2,-573.24219,24.41406,778.32031,-0.0831363154577971,-0.0106585512090041,0.016787100344457,52.5,21.9,39.9
-1004.39453,66.89453,-159.66797,-0.016787100344457,0.103787051167394,0.0305099261211876,0.75,28.65,27.75,333.49609,61.03516,935.54687,0.1462879128485583,-0.0137228257767306,0.0129234649793172,52.5,6.15,95.25,-601.07422,41.50391,816.89453,-0.1137794102009119,-0.0083936374386911,-0.0275788201753884,52.5,21.9,39.9
