IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-828.61328,-53.71094,-393.55469,0.1097826062138449,0.1140459219776914,-0.1001899275790336,-6.0,25.5,21.3,-132.8125,-57.61719,978.02734,0.0523598775598298,0.0301102457224809,-0.055823832526263,72.6,4.2,85.95,-845.70312,56.64063,543.45703,-0.0425006871482391,0.0075941021083525,-0.0162542513238231,57.15,22.65,22.2
-825.68359,-59.08203,-383.30078,0.1513507639427435,0.1521501247401568,0.0071944217096458,-6.6,24.75,20.25,-154.29687,-36.13281,997.07031,0.1093829258151382,0.020117886688963,-0.079272505559732,73.05,3.15,85.65,-836.42578,59.08203,563.96484,-0.1189754299170242,-0.0081271256619115,0.0246477142295891,57.15,22.65,22.2
-839.35547,-63.96484,-387.20703,0.20411032190128,0.1338974714228001,0.0089264864593249,-7.95,24.6,20.7,-161.62109,-47.85156,996.09375,0.0587549384720623,0.013456313999951,0.0091929982361045,73.5,5.25,84.3,-854.00391,58.59375,554.19922,-0.1490856756395052,0.0046631706954784,0.0169204434993094,57.15,22.65,22.2
-858.88672,-73.24219,-401.36719,0.1693369054833206,0.1817273469090787,-0.0632847660126884,-7.2,23.85,21.0,-151.36719,-71.28906,997.55859,0.1080505414641657,-0.0141225061754373,0.0322419908708668,73.35,4.2,85.2,-846.19141,40.52734,544.92187,-0.0767412545455646,-0.0238483534321757,0.0628850856139816,57.0,21.75,22.05
-880.37109,-89.35547,-422.36328,0.2117044240096326,0.1614762915981885,-0.063018428768834,-7.2,24.6,22.8,-143.55469,-84.47266,1017.08984,0.105385947295146,-0.0053291883380394,0.0153215473715574,72.15,3.0,85.8,-840.33203,45.41016,562.5,-0.1092495826602858,-0.0127901218244648,0.0470306892217904,57.0,21.75,22.05
-897.46094,-93.26172,-439.45312,0.2338208872250543,0.1117810082073784,-0.0250473946282958,-7.2,24.6,22.8,-140.625,-89.35547,997.07031,0.1750657742200668,-0.0261132672024887,0.0035972981212855,73.5,3.75,85.8,-834.96094,53.22266,552.24609,-0.1168438593015635,-0.0322419908708668,0.050761155965003,56.4,22.65,21.6
-921.38672,-97.16797,-435.54687,0.2278255067115286,0.1241714496331365,-0.0983246942074273,-6.3,24.0,20.55,-145.99609,-62.5,998.53516,0.2340872244689086,-0.0195850376683291,-0.0330413516682802,73.95,5.25,85.05,-850.58594,48.82813,555.17578,-0.1336309596460206,-0.0251807377831481,0.0472970264656447,56.4,22.35,22.2
-925.78125,-84.96094,-432.61719,0.1922527294961557,0.0751423584178126,-0.0011990411961201,-6.45,25.35,21.75,-144.53125,-27.34375,1018.55469,0.2604670034481769,-0.063684446411395,0.0102588708102974,73.95,5.25,85.05,-853.02734,58.59375,567.38281,-0.2248944007657293,0.0017320647496791,-0.0186523337160634,57.45,23.1,21.15
-944.33594,-43.45703,-444.33594,0.2532725817385311,0.0049295079393327,0.0233155044115418,-6.45,24.15,21.45,-134.27734,-0.97656,1029.78516,0.2498086267720979,-0.0110582316077108,0.0504946441882235,72.6,4.95,85.65,-843.75,36.62109,547.36328,-0.2756553821978072,-0.0255804181818548,0.0800720408900706,56.55,22.5,23.55
-946.77734,-56.64063,-439.94141,0.1682710329091277,0.0712787230526728,0.0570230482553083,-6.6,23.25,20.55,-114.25781,9.27734,1043.94531,0.1572128013014168,-0.0426340303030914,0.0309096065198943,72.3,4.2,86.7,-849.12109,31.25,544.92187,-0.2522067091643382,0.0118575924051242,0.0743429976203992,56.25,24.0,22.05
