IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-1026.85547,-99.60938,-242.1875,-0.2039769787464277,0.2388835637863142,0.0903307371674429,2.25,24.6,20.4,172.36328,90.82031,1011.71875,0.1112481591867445,-0.032908183046353,0.3242847930144244,61.05,8.1,92.4,-778.80859,-49.80469,666.99219,-0.488025998382926,0.2612665387785156,0.0716784034513795,58.05,20.25,30.45
-1009.76562,-90.33203,-242.1875,-0.1618759719968953,0.1947841550432483,0.1717349878755608,2.25,24.6,20.4,183.10547,124.51172,976.5625,0.1239051123892822,0.0460979852695246,0.2681944487113818,62.25,8.85,94.2,-770.50781,-55.17578,696.28906,-0.446724352430807,0.2852480608326184,0.0726111074036452,56.7,19.05,30.0
-992.67578,-73.24219,-235.35156,-0.1493521874162847,0.1798621135374724,0.1393598283827668,0.75,22.65,19.65,182.61719,114.25781,1032.71484,0.0854012292281101,-0.0123904414257581,0.2752557017991005,61.5,10.35,93.75,-764.64844,-61.52344,699.21875,-0.3835727550400458,0.3198883086286507,-0.0049295079393327,56.55,20.25,29.4
-975.09766,-37.10938,-229.98047,-0.1201746456460695,0.2165007633270382,0.1044532433428802,1.5,22.35,21.45,199.21875,128.90625,991.21094,0.105385947295146,0.0652833425391471,0.2863139334068114,61.5,10.35,93.75,-748.53516,-90.33203,683.10547,-0.3928989218980775,0.2486095855759778,0.0210505906412288,56.1,20.1,30.3
-971.19141,-42.96875,-221.67969,-0.1228392398150893,0.1797289449155452,0.0764747427687851,0.45,23.85,20.7,183.59375,114.74609,996.09375,0.0881991665519822,0.0440995832759911,0.2663292153397755,60.9,9.0,94.05,-733.39844,-85.9375,653.32031,-0.4046233456812746,0.246477840427592,-0.0155880591483369,56.7,20.1,31.05
-946.77734,-38.08594,-219.72656,-0.1103154552344788,0.0850015488294034,0.1236386006125027,0.45,23.85,20.7,196.77734,151.85547,972.65625,0.0202512298438154,0.0025314255470925,0.296705972839036,60.45,9.9,94.5,-750.0,-83.98438,651.36719,-0.3761118215536204,0.3205543262712117,0.0298437339457014,58.2,19.05,29.7
-928.71094,-46.875,-227.05078,-0.0644839817417337,0.0869999508229369,0.0984578628293545,1.2,23.4,21.45,202.14844,128.41797,970.21484,0.0021317451483858,0.011191400229638,0.3130933927847864,61.05,9.15,93.75,-747.07031,-90.82031,657.71484,-0.3946309866477567,0.3113613280351072,-0.002264913770313,58.2,19.05,29.7
-889.16016,-61.03516,-227.53906,-0.0712787230526728,0.1405590441118121,-0.0115910806283447,2.25,23.4,21.45,179.6875,109.86328,941.89453,-0.0186523337160634,0.1085833904847996,0.2975053336364494,60.45,9.9,94.5,-754.39453,-92.28516,632.32422,-0.3294808127305367,0.3114946711899595,-0.0321086477160144,56.4,18.6,31.05
-901.36719,-30.27344,-230.95703,-0.0299770771005538,0.1177763887209041,0.0258469299586344,0.45,24.15,21.75,158.69141,98.63281,947.26562,-0.0047963393174056,0.0177198042967228,0.2458116482521058,61.65,8.25,93.3,-755.85937,-75.68359,646.48437,-0.3603905937833563,0.278852999920386,-0.041834669505678,56.4,18.6,31.05
-890.13672,-0.97656,-237.79297,-0.0546247913301429,0.1529494855375703,0.050228132411444,1.65,23.25,20.55,136.71875,90.33203,950.68359,0.0014655529728996,0.0191853572696224,0.242081181508893,60.9,9.3,94.35,-797.36328,-89.35547,646.48437,-0.3655866134994686,0.3015023121564416,-0.054091942309509,56.7,19.8,30.3
