IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-901.36719,282.22656,246.58203,0.0869999508229369,-0.0758085505932989,0.0174532925199432,5.55,35.1,43.2,398.4375,112.79297,938.47656,0.0548913031069224,-0.0038636353651398,0.0570230482553083,49.5,14.1,92.7,-570.80078,147.46094,825.68359,-0.0828698036810175,0.0839356762552105,0.0361056262360067,49.8,27.3,37.95
-891.11328,289.0625,254.39453,0.1485528266188713,-0.1011224569983742,0.0133231453780239,4.05,36.0,43.35,409.17969,125.48828,959.96094,0.1123138572280122,0.0327748398915007,0.0631515973907612,49.5,14.1,92.7,-559.08203,134.27734,857.42187,-0.0626187483701273,0.0411684773301918,0.0343737360192527,49.8,27.3,37.95
-908.20312,308.59375,240.72266,0.0855343978500373,-0.0385038831611721,-0.0347734164179594,4.2,36.6,44.25,401.36719,110.35156,944.33594,0.0810045703094112,0.0141225061754373,0.0900643999235885,48.0,13.2,93.3,-570.3125,100.58594,833.98437,-0.0381042027624654,0.0584886012282079,0.0470306892217904,49.8,27.3,37.95
-942.38281,339.35547,232.91016,0.1322985752950481,-0.0399694361340717,-0.0586217698501351,3.45,35.1,45.3,372.07031,124.02344,929.19922,0.0880658233971298,0.0286446927495813,0.0539585991546566,48.0,12.75,93.3,-575.68359,92.28516,801.75781,0.050228132411444,0.0704793622552594,0.0169204434993094,51.15,27.0,36.15
-949.21875,327.14844,228.02734,0.0369049870334201,-0.0599539796681824,-0.0005328490206338,4.05,34.5,44.85,350.58594,73.24219,942.38281,0.0182526533173567,-0.0389035635598788,-0.0057288687367461,48.6,15.0,93.3,-601.07422,98.14453,802.73437,0.0603538345998143,0.1296339811260284,0.0456983048708179,51.15,27.0,36.15
-966.79687,323.24219,201.66016,0.080871401687484,-0.0820704428836041,-0.0355727772153728,4.05,34.5,44.85,331.05469,64.94141,889.16016,0.08420218803199,-0.0923293136939016,-0.0301102457224809,48.6,15.0,93.3,-616.21094,103.51563,762.20703,0.0704793622552594,0.04849624219469,0.0299770771005538,49.95,26.1,37.5
-950.68359,323.24219,230.46875,0.0526263893366094,-0.0911300979648563,-0.0050628510941851,4.95,35.85,43.65,317.87109,87.89063,884.27734,0.1039203943222463,-0.0186523337160634,-0.0410353087082646,49.2,14.4,93.45,-597.16797,111.81641,801.26953,0.0678147680862396,0.0536922619108023,0.0382373713843925,49.95,26.1,37.35
-953.61328,318.35937,217.28516,0.0595542992694757,-0.0779402957416847,0.0843353566539172,6.3,35.1,43.2,310.54687,104.49219,903.32031,0.1056524590719255,0.037970859607613,-0.0090596550812521,50.1,14.25,94.05,-592.77344,126.95313,770.50781,0.0471638578437175,0.0411684773301918,0.0834028272345766,51.15,25.8,37.2
-959.96094,324.70703,224.60937,0.0462311538914518,-0.0460979852695246,-0.0622190679714206,3.75,34.35,43.2,305.17578,127.44141,915.03906,0.0937948666668012,0.0417013263508257,0.0007993607974134,47.55,13.95,94.05,-610.83984,141.11328,799.80469,0.0353062654385932,0.0363721380127862,0.0758085505932989,50.25,25.35,39.15
-955.56641,331.05469,225.09766,0.0891316959713228,-0.0622190679714206,0.041301645952119,3.75,34.35,43.2,322.75391,149.90234,927.73437,0.0949939078629213,0.0107917198309313,-0.031309286918601,47.7,13.65,94.5,-619.14062,151.36719,762.20703,-0.0193185258915496,-0.0691469779042869,0.0876661429984231,50.55,25.5,37.95
