FilePath,Label
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part1.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part11.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part12.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part13.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part14.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part15.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part18.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part19.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part2.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part20.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part21.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part25.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part27.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part28.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part3.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part5.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline1\baseline1_part6.png,baseline1
E:/master-2/madgewick_filter/train_data_imu_pic\baseline2\baseline2_part4.png,baseline2
E:/master-2/madgewick_filter/train_data_imu_pic\baseline2\baseline2_part6.png,baseline2
E:/master-2/madgewick_filter/train_data_imu_pic\baseline2\baseline2_part7.png,baseline2
E:/master-2/madgewick_filter/train_data_imu_pic\baseline2\baseline2_part8.png,baseline2
E:/master-2/madgewick_filter/train_data_imu_pic\baseline3\baseline3_part11.png,baseline3
