CH1,CH2,CH3
119.0,105.0,78.0
111.0,108.0,84.0
105.0,103.0,77.0
108.0,107.0,78.0
110.0,104.0,79.0
109.0,105.0,79.0
120.0,107.0,79.0
109.0,108.0,83.0
121.0,108.0,77.0
111.0,104.0,83.0
116.0,104.0,75.0
111.0,111.0,84.0
106.0,112.0,83.0
109.0,115.0,87.0
111.0,109.0,83.0
107.0,106.0,83.0
119.0,108.0,79.0
118.0,107.0,79.0
107.0,102.0,88.0
110.0,103.0,78.0
102.0,103.0,79.0
111.0,108.0,83.0
111.0,105.0,78.0
110.0,107.0,86.0
111.0,105.0,84.0
114.0,107.0,76.0
110.0,107.0,83.0
111.0,108.0,81.0
109.0,105.0,83.0
108.0,107.0,83.0
111.0,104.0,82.0
109.0,116.0,81.0
111.0,105.0,78.0
109.0,107.0,79.0
111.0,107.0,83.0
112.0,107.0,80.0
111.0,107.0,77.0
111.0,107.0,78.0
107.0,109.0,77.0
110.0,109.0,78.0
107.0,104.0,77.0
109.0,105.0,82.0
120.0,107.0,80.0
109.0,110.0,83.0
109.0,106.0,79.0
109.0,105.0,76.0
108.0,105.0,78.0
116.0,108.0,79.0
133.0,107.0,76.0
111.0,107.0,81.0
111.0,107.0,73.0
110.0,106.0,79.0
109.0,107.0,77.0
109.0,116.0,83.0
112.0,103.0,77.0
109.0,105.0,76.0
108.0,103.0,76.0
111.0,108.0,73.0
107.0,107.0,76.0
109.0,107.0,87.0
107.0,107.0,77.0
111.0,107.0,83.0
113.0,105.0,76.0
115.0,106.0,75.0
111.0,107.0,75.0
111.0,103.0,77.0
117.0,106.0,75.0
107.0,105.0,77.0
116.0,107.0,75.0
110.0,105.0,79.0
107.0,105.0,84.0
111.0,108.0,77.0
109.0,105.0,77.0
110.0,104.0,78.0
110.0,107.0,79.0
110.0,111.0,78.0
107.0,105.0,77.0
107.0,103.0,79.0
112.0,105.0,79.0
109.0,108.0,76.0
111.0,104.0,77.0
115.0,104.0,79.0
106.0,103.0,77.0
108.0,109.0,77.0
111.0,106.0,75.0
111.0,103.0,85.0
109.0,102.0,77.0
109.0,103.0,83.0
112.0,103.0,77.0
106.0,104.0,79.0
119.0,102.0,76.0
108.0,103.0,84.0
108.0,105.0,76.0
107.0,107.0,77.0
111.0,102.0,79.0
107.0,105.0,77.0
106.0,103.0,78.0
109.0,102.0,76.0
111.0,101.0,77.0
105.0,107.0,76.0
111.0,103.0,83.0
106.0,102.0,77.0
107.0,101.0,79.0
109.0,107.0,78.0
105.0,103.0,83.0
110.0,101.0,76.0
110.0,101.0,78.0
111.0,107.0,77.0
107.0,103.0,77.0
107.0,102.0,77.0
109.0,103.0,83.0
109.0,102.0,85.0
111.0,106.0,82.0
109.0,107.0,87.0
107.0,101.0,77.0
107.0,103.0,77.0
111.0,103.0,76.0
109.0,103.0,77.0
116.0,103.0,78.0
111.0,101.0,77.0
107.0,105.0,79.0
111.0,99.0,79.0
109.0,100.0,78.0
106.0,103.0,79.0
111.0,108.0,79.0
116.0,99.0,78.0
108.0,101.0,85.0
106.0,103.0,76.0
111.0,103.0,79.0
109.0,103.0,83.0
107.0,101.0,78.0
109.0,100.0,77.0
107.0,101.0,77.0
107.0,101.0,76.0
110.0,101.0,85.0
109.0,102.0,78.0
105.0,100.0,76.0
107.0,103.0,85.0
114.0,102.0,78.0
108.0,103.0,77.0
106.0,103.0,83.0
105.0,99.0,76.0
107.0,99.0,76.0
109.0,102.0,78.0
117.0,101.0,83.0
107.0,99.0,74.0
109.0,100.0,77.0
107.0,100.0,76.0
107.0,103.0,77.0
117.0,101.0,75.0
109.0,103.0,77.0
108.0,102.0,83.0
115.0,101.0,79.0
115.0,102.0,79.0
108.0,95.0,77.0
111.0,103.0,79.0
107.0,99.0,77.0
107.0,99.0,86.0
116.0,98.0,83.0
108.0,107.0,79.0
107.0,101.0,85.0
105.0,102.0,75.0
106.0,99.0,77.0
116.0,101.0,77.0
111.0,101.0,75.0
108.0,99.0,82.0
110.0,99.0,84.0
109.0,102.0,75.0
107.0,106.0,78.0
109.0,101.0,77.0
108.0,103.0,84.0
106.0,99.0,84.0
110.0,99.0,79.0
