IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
950.19531,96.67969,317.87109,-0.002131745148385874,-0.0377045223637587,0.05382543053272952,-14.25,-31.65,34.65,29.29688,500.48828,870.60547,0.012257272803830977,0.015321547371557422,0.0069280844657914915,-32.55,64.2,239.85001,74.70703,-768.55469,679.6875,-0.02464771422958912,0.03783769098568587,-0.0283781809728018,34.2,-87.45,5.4
939.94141,94.23828,318.84766,-0.0022649137703130416,0.061819213039788753,-0.06981317007977318,-11.85,-33.45,34.65,36.62109,492.67578,878.41797,0.01638741994575036,0.03077643789796721,0.012390441425758144,-32.55,64.2,239.85001,70.3125,-766.11328,685.54687,-0.030509926121187674,0.034107224242473186,-0.01958503766832917,35.55,-88.2,5.4
949.21875,105.46875,331.54297,-0.05822208945142844,0.02851152412765417,-0.04729702646564473,-11.85,-33.45,34.65,30.27344,483.39844,869.14062,0.020251229843815406,-0.024914226006368657,-0.04316687932372535,-33.3,63.9,237.75,58.10547,-763.18359,685.54687,-0.009059655081252166,0.04276719892501865,-0.0002665117767795341,35.55,-88.2,5.4
943.84766,95.21484,325.68359,-0.0567565364785288,-0.01065855120900417,-0.02331550441154185,-11.85,-33.45,34.65,32.71484,490.23437,879.39453,-0.0190520141147701,0.05489130310692246,0.0190520141147701,-33.3,63.9,237.75,59.08203,-755.85937,687.5,-0.024514545607661954,0.017852972918649995,0.010392039432224637,35.55,-88.2,5.4
946.28906,94.23828,327.63672,-0.016520588567677526,0.012923464979317213,-0.010525208054151804,-11.85,-33.45,34.65,20.99609,478.02734,869.62891,0.0014655529728996386,0.031442630073453444,-0.029577396701847107,-31.5,66.15,238.5,56.64063,-753.90625,687.98828,-0.03677181841149293,0.012656953202537678,-0.015188378749630253,35.55,-88.2,5.4
949.21875,96.67969,330.56641,0.027845331952167932,-0.01638741994575036,0.013323145378023914,-11.25,-32.55,34.8,36.62109,492.1875,886.71875,-0.01358965715480345,0.013989337553510148,0.01771980429672283,-31.5,66.15,238.5,62.98828,-777.34375,673.82812,-0.01771980429672283,0.05169368538434365,-0.005462531492891852,35.55,-88.2,5.4
943.35937,101.07422,331.54297,0.01065855120900417,-0.011724423783197109,0.012656953202537678,-11.25,-32.55,34.8,21.97266,482.42187,877.92969,0.018918845492842937,-0.007860613885132062,0.04476577545147736,-31.5,66.15,238.5,55.66406,-754.39453,675.78125,-0.025846929958634426,0.04716385784371757,-0.04383307149921159,36.3,-87.15,5.7
943.84766,100.09766,331.54297,-0.00186523337160634,-0.020251229843815406,0.032375159492794015,-15.6,-30.15,33.6,15.13672,494.62891,885.25391,0.035839288992152364,0.013456313999951081,0.01358965715480345,-31.5,66.15,238.5,60.54688,-760.74219,689.45312,0.009192998236104533,0.07434299762039927,-0.03024341434440814,36.3,-87.15,5.7
935.05859,101.5625,330.07812,-0.023582016188321384,0.022116463215421746,-0.023981696587028086,-15.6,-30.15,33.6,25.87891,482.91016,876.46484,0.004263315763846549,-0.01065855120900417,0.0058622118915985545,-33.0,64.65,238.8,58.59375,-772.94922,680.66406,0.010525208054151804,0.008526806060618296,0.020784078864449274,36.3,-87.15,5.7
938.96484,97.16797,321.28906,-0.03703833018827246,0.005196019716112318,-0.06728174453268061,-12.3,-32.85,35.25,26.85547,492.1875,886.71875,-0.003996978519992214,0.032375159492794015,0.018785676870915768,-33.0,64.65,238.8,51.26953,-774.41406,688.47656,-0.0093261668580317,0.008793317837397832,0.03930324395858551,36.3,-87.15,5.7
951.17187,95.21484,328.125,-0.05435827955336339,0.04250068714823912,-0.03304135166828025,-12.3,-32.85,35.25,28.80859,488.76953,875.97656,0.026646290756047828,-0.014389017952216851,0.02038439846574257,-32.55,63.15,237.3,60.05859,-767.08984,667.96875,0.012790121824464847,0.03024341434440814,-0.0029311059457992773,35.55,-88.2,6.45
947.26562,106.93359,336.42578,-0.022649312236055614,0.018918845492842937,-0.03330786344505979,-13.35,-31.35,33.75,23.4375,480.46875,881.34766,0.011457912006417574,0.016920443499309427,0.015321547371557422,-32.55,63.15,237.3,50.78125,-762.20703,672.36328,-0.019185357269622467,0.03543943406052046,-0.04689734606693803,35.55,-88.2,6.45
943.35937,103.02734,327.63672,-0.02331550441154185,0.035039753661813756,-0.09019756854551575,-13.35,-31.35,33.75,24.41406,497.55859,876.46484,-0.010791719830931338,-0.013456313999951081,0.024514545607661954,-31.8,64.2,239.55,53.22266,-768.06641,687.01172,0.009859190411590769,0.02224963183734891,-0.01638741994575036,36.0,-88.65,4.65
942.87109,104.00391,332.51953,0.01065855120900417,-0.025980098580561592,-0.013855994398657782,-13.35,-31.35,33.75,19.53125,483.39844,881.34766,0.03184231047216015,0.03637213801278623,0.009192998236104533,-31.8,64.2,239.55,58.59375,-749.02344,684.08203,-0.0482297304179105,0.019851374912183504,-0.009992359033517936,36.0,-88.65,4.65
937.5,111.32813,323.24219,0.01851916509413623,-0.007993957039984428,0.015454890526409788,-13.35,-31.35,33.75,29.29688,498.04687,875.48828,-0.008526806060618296,0.04156815772889855,0.01358965715480345,-31.5,62.4,238.05,52.24609,-763.67187,686.03516,-0.0058622118915985545,0.04316687932372535,-0.0029311059457992773,36.3,-88.65,7.2
962.89062,97.16797,330.07812,0.012790121824464847,-0.04356655972243205,0.0,-14.55,-30.45,36.75,27.83203,483.88672,874.51172,0.03024341434440814,0.034773416417959425,-0.015188378749630253,-31.5,62.4,238.05,60.05859,-772.94922,678.22266,0.00373046674321268,0.008793317837397832,-0.024781057384441488,36.3,-88.65,7.2
937.5,89.84375,328.61328,0.02198312006056938,-0.015721227770264124,-0.006261892290305255,-14.55,-30.45,36.75,24.41406,488.28125,884.27734,0.04303371070179819,0.009059655081252166,0.02851152412765417,-32.7,64.05,238.64999,62.01172,-765.13672,682.12891,-0.0069280844657914915,0.04476577545147736,0.032375159492794015,34.65,-87.3,4.5
944.82422,89.35547,328.125,0.020251229843815406,-0.008926486459324997,-0.07794029574168478,-13.2,-33.0,33.9,32.71484,489.74609,869.62891,-0.011990761027051442,0.02744565155346123,0.02558041818185489,-32.7,64.05,238.64999,60.05859,-764.16016,685.54687,-0.022649312236055614,0.03530626543859329,0.003996978519992214,34.65,-87.3,4.5
939.45312,108.88672,314.94141,-0.01492186697285072,0.03317452029020742,-0.061419532641082054,-13.2,-33.0,33.9,27.83203,503.41797,877.44141,0.01638741994575036,0.016920443499309427,0.05702304825530834,-33.3,62.7,238.05,49.31641,-760.25391,677.73437,0.023715184810248553,0.00013316862192716734,-0.019318525891549636,35.55,-87.15,4.95
950.19531,109.86328,337.40234,-0.00839363743869113,0.032375159492794015,-0.02984373394570144,-16.2,-28.8,34.5,23.4375,487.79297,881.83594,-0.013189976756096747,0.06541651116107426,-0.003996978519992214,-33.3,62.7,238.05,62.01172,-761.23047,684.57031,0.0093261668580317,0.021050590641228807,-0.0015987215948268059,35.55,-87.15,4.95
932.61719,97.65625,328.61328,0.03757117920890633,-0.0369049870334201,0.0022649137703130416,-16.2,-28.8,34.5,37.59766,484.375,877.44141,0.02198312006056938,-0.0015987215948268059,0.007327764864498192,-33.3,62.7,238.05,70.80078,-767.57812,666.99219,0.02731248293153406,-0.015454890526409788,0.05062781281015071,36.0,-87.15,6.45
939.94141,81.54297,319.82422,-0.013989337553510148,-0.023848353432175718,-0.023448673033469015,-11.85,-31.95,33.9,31.73828,487.79297,875.97656,0.025846929958634426,0.0011990411961201044,-0.02944405354699474,-33.3,62.7,238.05,55.17578,-767.57812,686.52344,0.0369049870334201,0.009725847256738402,-0.005329188338039486,36.0,-87.15,6.45
954.58984,94.23828,329.10156,0.021050590641228807,0.001065872574192937,0.014389017952216851,-11.85,-31.95,33.9,16.60156,483.39844,875.48828,0.01771980429672283,-0.0029311059457992773,0.0014655529728996386,-33.9,62.25,237.60001,54.6875,-760.74219,683.10547,0.017320123898016127,0.013989337553510148,0.012390441425758144,36.0,-87.15,6.45
945.80078,90.82031,322.75391,-0.0369049870334201,0.02851152412765417,0.021716608283789844,-11.85,-31.95,33.9,35.64453,493.16406,889.16016,0.017852972918649995,0.023048992634762316,-0.021050590641228807,-33.9,62.25,237.60001,57.61719,-762.69531,679.19922,0.003463954966433146,0.013855994398657782,-0.030110245722480975,36.0,-87.15,6.45
942.87109,99.60938,313.47656,0.0009327039522657697,0.05435827955336339,0.06475031898558803,-11.85,-31.95,33.9,26.36719,493.16406,889.16016,-0.0011990411961201044,0.007327764864498192,0.023048992634762316,-32.25,64.2,238.05,69.82422,-751.46484,687.5,-0.023981696587028086,-0.0063950609122324234,-0.016120908168970823,36.9,-87.3,5.85
938.96484,104.00391,326.17187,-0.02744565155346123,0.0013323843509724712,-0.017586461141870464,-11.85,-31.95,33.9,23.4375,497.07031,882.8125,-0.0069280844657914915,-0.0275788201753884,0.016920443499309427,-32.25,64.2,238.05,52.73438,-756.34766,682.12891,-0.029577396701847107,0.0033307863445059785,0.0033307863445059785,36.9,-87.3,5.85
944.33594,96.67969,323.24219,0.04276719892501865,-0.011457912006417574,-0.029710565323774273,-12.3,-32.85,34.2,20.99609,504.39453,881.34766,-0.014122506175437317,0.009059655081252166,-0.007860613885132062,-34.8,61.95,237.0,64.45313,-770.50781,675.29297,-0.05076115596500308,-0.0031976177225788113,0.015721227770264124,36.9,-87.3,5.85
946.28906,88.86719,341.79687,0.05089432458693025,-0.023448673033469015,-0.017453292519943295,-12.3,-32.85,34.2,35.15625,481.93359,883.30078,0.021316927885083145,0.009859190411590769,0.024381376985734785,-34.8,61.95,237.0,61.03516,-766.11328,686.03516,-0.016120908168970823,0.02744565155346123,-0.03290818304635308,36.9,-87.3,5.85
939.94141,106.44531,320.3125,0.012656953202537678,-0.014788698350923554,0.013722825776730615,-13.95,-30.45,35.7,28.32031,487.79297,879.88281,0.007594102108352528,0.013323145378023914,-0.00746093348642536,-34.8,61.95,237.0,53.22266,-755.85937,686.03516,0.00013316862192716734,0.045698304870817934,0.017186780743163762,36.9,-87.3,5.85
951.66016,103.02734,327.14844,0.0025314255470925756,-0.04063545377663278,0.0291777163031404,-13.95,-30.45,35.7,19.04297,490.72266,883.78906,-0.023715184810248553,0.0029311059457992773,-0.013323145378023914,-34.8,61.95,237.0,51.75781,-758.30078,668.45703,0.0038636353651398474,0.04290054207987102,-0.03637213801278623,37.05,-86.7,3.6
946.77734,98.63281,320.80078,-0.020784078864449274,0.04210100674953242,0.01212410418190381,-12.9,-32.7,34.35,7.32422,500.48828,878.90625,-0.020650910242522108,0.06128636401915488,0.003463954966433146,-33.6,62.7,236.7,62.98828,-756.34766,674.80469,-0.04290054207987102,0.026379778979268294,-0.016653931722529894,37.05,-86.7,3.6
932.12891,96.67969,333.49609,-0.0022649137703130416,0.008659974682545464,-0.03943641258051267,-12.9,-32.7,34.35,14.64844,480.46875,880.85937,0.019185357269622467,0.05302606973531612,0.032375159492794015,-33.6,62.7,236.7,70.3125,-755.85937,679.19922,-0.02038439846574257,-0.004929507939332785,0.0019984019935335075,36.75,-87.9,5.4
943.35937,101.5625,328.61328,-0.0031976177225788113,0.022915824012835147,0.003463954966433146,-13.2,-31.65,34.65,31.25,485.83984,885.74219,-0.0030642745677264445,0.031975479094087315,0.045032112695331694,-31.65,65.55,239.7,69.33594,-753.41797,686.03516,-0.00652840406708479,0.04236751852631195,-0.011724423783197109,36.75,-87.9,5.4
929.6875,104.00391,320.3125,-0.007061253087718659,0.058888281626914674,0.007061253087718659,-13.2,-31.65,34.65,29.78516,478.02734,874.02344,0.028644692749581334,0.031575798695380616,0.015588059148336955,-31.65,65.55,239.7,60.54688,-759.76562,673.33984,-0.013722825776730615,0.03464007326310706,-0.031975479094087315,35.1,-87.3,5.85
935.54687,94.23828,322.26562,-0.0033307863445059785,-0.03597245761407953,0.03384071246569365,-13.2,-31.65,34.65,28.32031,503.90625,883.78906,-0.010125527655445103,0.04902909121532391,0.0182526533173567,-31.65,65.55,239.7,57.61719,-766.11328,685.54687,-0.031708967317307775,0.013722825776730615,0.023182161256689485,35.1,-87.3,5.85
956.54297,93.75,323.73047,0.01252378458061051,-0.03224199087086685,0.0038636353651398474,-13.2,-31.65,34.65,25.39063,503.90625,875.97656,-0.008260294283838763,0.007860613885132062,0.011591080628344743,-31.65,65.55,239.7,55.66406,-768.55469,681.15234,-0.03424039286440035,0.015321547371557422,0.025980098580561592,36.45,-87.0,5.85
946.28906,95.70313,322.26562,0.015321547371557422,-0.05275955795853659,0.03903673218180597,-15.3,-31.2,33.0,28.80859,490.23437,885.74219,0.0190520141147701,0.0283781809728018,0.00373046674321268,-31.65,65.55,239.7,52.73438,-767.08984,689.45312,-0.005329188338039486,0.030643269276040042,-0.024914226006368657,36.45,-87.0,5.85
942.87109,103.02734,328.61328,-0.017986141540577164,0.04516545585018406,-0.05982081104625525,-15.3,-31.2,33.0,30.76172,485.35156,880.85937,0.013855994398657782,-0.01212410418190381,0.005329188338039486,-33.15,63.3,237.60001,70.80078,-764.64844,686.52344,0.014389017952216851,0.00186523337160634,0.0093261668580317,36.45,-87.0,5.85
939.45312,99.60938,319.82422,0.021849951438642212,0.013855994398657782,-0.016920443499309427,-11.4,-33.0,33.9,15.13672,497.07031,882.32422,0.035839288992152364,0.02558041818185489,-0.0033307863445059785,-33.15,63.3,237.60001,62.01172,-779.78516,687.01172,0.013189976756096747,0.007327764864498192,-0.0033307863445059785,36.45,-87.0,5.85
943.84766,106.93359,328.61328,-0.01025887081029747,-0.023715184810248553,-0.030509926121187674,-11.4,-33.0,33.9,18.06641,492.1875,884.76562,0.006661572689011957,-0.009059655081252166,0.0046631706954784495,-33.15,63.75,237.60001,44.92188,-775.87891,682.61719,0.0041301471419193814,-0.003996978519992214,-0.007194421709645826,36.3,-87.45,5.7
948.24219,104.98047,333.98437,0.015454890526409788,-0.02704597115475453,0.031575798695380616,-14.1,-29.85,33.75,35.64453,500.48828,881.83594,0.009192998236104533,0.006794741310939124,-0.002398082392240209,-33.15,63.75,237.60001,52.73438,-758.30078,678.22266,0.004396658918698916,-0.0025314255470925756,0.0373046674321268,36.3,-87.45,5.7
932.61719,94.23828,332.03125,0.04649766566823133,-0.02331550441154185,-0.0022649137703130416,-14.1,-29.85,33.75,21.48438,490.72266,886.71875,0.002131745148385874,0.017320123898016127,-0.00279793732387211,-32.4,65.55,238.95,64.94141,-753.41797,692.87109,-0.01252378458061051,0.005329188338039486,0.07207808385008622,36.3,-87.45,5.7
