IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-842.77344,72.75391,-518.06641,-0.079139337,-0.065816192,0.114845283,-14.55,28.2,15.15,-159.17969,-141.60156,1013.67187,0.054491623,0.010924888,0.089664545,74.85,-0.45,86.7,-977.53906,-28.32031,362.30469,-0.078473145,-0.083802508,-0.061153195,61.8,17.1,9.3
-833.00781,80.56641,-520.99609,-0.114179091,0.003197618,0.058888282,-13.8,28.8,13.2,-165.03906,-111.32813,999.02344,0.099390567,0,0.055024472,74.85,-0.45,86.7,-948.73047,-4.39453,370.60547,-0.109782606,-0.002398082,-0.076474743,61.8,17.1,9.3
-837.40234,96.67969,-520.01953,-0.105252604,-0.021849951,0.073277125,-13.8,29.55,12.9,-141.60156,-94.72656,980.95703,0.110848479,-0.068480786,0.088065823,76.8,-2.25,86.85,-965.82031,-5.37109,380.37109,-0.095127076,-0.048629411,-0.003863635,60.75,14.85,9.3
-844.72656,92.77344,-520.01953,-0.091130098,0.063950958,0.094993908,-15.6,29.4,12.6,-157.71484,-145.50781,997.55859,0.041568158,-0.037171499,0.121107175,75.15,-1.95,89.1,-958.98437,-0.97656,373.53516,-0.157878993,-0.03184231,-0.064883662,60.9,15.45,9
-834.96094,109.86328,-527.34375,-0.09526042,0.075941894,0.114578946,-14.1,27.75,13.95,-155.27344,-106.44531,1005.37109,0.073943317,-0.093794867,0.17106897,76.65,-2.7,87.75,-948.24219,-2.44141,376.95312,-0.150284891,-0.04223435,-0.012656953,61.05,16.35,8.25
-850.58594,99.12109,-520.50781,-0.166938823,0.0900644,0.029977077,-14.1,27.75,13.95,-158.20312,-98.63281,983.39844,0.06421747,-0.079139337,0.148685995,75,-0.3,89.4,-940.91797,1.95312,396.97266,-0.161476292,-0.117376708,-0.070612531,60.75,16.35,10.35
-833.49609,113.28125,-534.17969,-0.156280272,0.090730418,0.033574201,-14.4,28.5,14.55,-140.13672,-96.67969,1005.85937,0.034906585,-0.046097985,0.143090295,77.4,-0.15,88.05,-919.92187,-7.32422,378.41797,-0.145488552,-0.065549854,-0.047163858,59.85,16.2,9.45
-814.94141,113.76953,-553.22266,-0.146554425,0.05862177,0.025580418,-15.3,29.7,13.65,-163.08594,-112.79297,1000.97656,0.053692262,-0.105119436,0.116843859,75.9,-3.15,87.45,-926.26953,-3.41797,391.60156,-0.17106897,-0.021716608,-0.032908183,62.55,15.3,10.35
-817.87109,115.23438,-520.01953,-0.197315406,0.159078035,0.015854571,-14.55,28.65,13.05,-157.22656,-83.49609,986.32812,0.077540615,-0.030243414,0.166672311,75.9,-3.15,87.45,-939.45312,-4.88281,412.59766,-0.157346144,-0.103254202,-0.041434989,62.55,15.3,10.35
-820.80078,126.95313,-544.92187,-0.233687544,0.088598847,-0.022915824,-14.1,29.85,13.5,-148.4375,-98.14453,1019.53125,0.073010788,-0.037171499,0.161076611,74.4,-0.9,87.75,-921.38672,-3.90625,397.94922,-0.201445553,-0.026379779,-0.011058232,62.55,15.3,10.35
-808.59375,114.74609,-536.62109,-0.189321624,0.072611107,0.04822973,-14.1,29.85,13.5,-160.64453,-97.16797,1025.87891,0.054091942,-0.021316928,0.130699854,75.75,-1.5,88.65,-939.94141,-28.80859,391.11328,-0.192918922,-0.045698305,-0.029710565,61.2,16.65,9
-816.40625,108.88672,-535.64453,-0.218365997,0.078473145,0.003064275,-14.55,30.9,12.3,-136.23047,-108.88672,1016.11328,-0.026646291,-0.067681425,0.216234252,76.5,-2.55,87.9,-924.31641,-22.46094,404.29687,-0.186523686,-0.035306265,0.043433391,60.6,15.15,9.45
-819.82422,111.32813,-549.80469,-0.233954056,0.051160836,0.0055957,-14.85,29.25,15.3,-143.55469,-93.26172,999.02344,0.026646291,-0.060220491,0.174932606,76.5,-2.55,87.9,-928.22266,-27.83203,416.01562,-0.195450173,-0.025047395,-0.079405849,60.15,16.95,9
-820.80078,114.74609,-549.31641,-0.207574277,0.046631009,-0.002131745,-16.05,29.7,14.1,-159.66797,-126.95313,1020.01953,0.020117887,-0.028511524,0.179462433,75.15,0.15,86.7,-928.71094,-29.29688,392.57812,-0.16160946,-0.071411892,-0.02717914,60.75,16.8,9.9
-798.33984,115.72266,-549.80469,-0.233687544,0.050761156,0.000799361,-16.05,29.7,14.1,-152.83203,-107.91016,1010.74219,0.023315504,-0.061153195,0.17586531,74.85,-1.65,89.1,-912.59766,-12.69531,415.03906,-0.189321624,-0.096326118,-0.053958599,59.1,15.45,9.45
-805.66406,109.86328,-555.66406,-0.228091844,0.067814768,-0.014122506,-16.2,29.55,14.55,-151.85547,-87.40234,1004.39453,0.017053612,-0.101122457,0.179862114,74.85,-1.65,89.1,-935.05859,11.23047,438.47656,-0.220764254,-0.134563489,-0.058888282,60.3,16.8,9.3
-806.64062,106.93359,-540.03906,-0.227692164,-0.040502285,0.071145554,-15.45,29.85,14.25,-160.64453,-74.21875,1014.16016,0.080338378,-0.143756487,0.19784843,75.9,-1.95,89.1,-912.10937,16.11328,414.0625,-0.266595727,-0.043033711,-0.060087323,60.3,16.8,9.3
