IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-825.68359,106.93359,-522.94922,-0.078073464,0.022649312236055614,-0.003996979,-15.3,29.4,13.65,-413.08594,81.05469,939.94141,-0.026779459,-0.086333759,0.088998527,85.05,3.75,76.5,-946.28906,101.5625,387.20703,-0.139892852,-0.018519165,0.04183467,59.25,23.1,10.35
-830.07812,98.63281,-521.48437,-0.032641671,-0.017986142,0.04956194,-15.3,29.4,13.65,-408.69141,71.77734,940.91797,-0.005862212,-0.123105752,0.063151597,85.05,3.75,76.5,-935.05859,117.67578,371.58203,-0.180927986,0.014921867,0.001732065,59.25,23.1,10.35
-842.28516,98.14453,-524.41406,-0.056356856,-0.060220491,0.029177716,-14.25,27.15,15.45,-402.83203,81.54297,941.40625,0.007194422,-0.115511475,0.08620059,86.25,5.25,76.2,-917.96875,86.91406,353.02734,-0.172667692,0.013056634,0.077407272,59.25,23.1,10.35
-834.47266,92.77344,-517.08984,-0.078606488,-0.049428772,0.015588059148336955,-14.25,27.15,15.45,-432.12891,71.77734,930.66406,0.003730467,-0.138693636,0.079006168,86.25,5.25,76.2,-925.29297,78.125,356.93359,-0.219565038,0.016520588567677526,0.028644692749581334,59.85,24.75,10.05
-843.26172,89.35547,-509.76562,-0.032375159,-0.021849951,-0.041168477,-14.25,27.15,15.45,-416.99219,73.24219,934.57031,0.000133169,-0.158811697,0.098990886,86.25,5.25,76.2,-934.57031,83.00781,343.75,-0.173866733,0.015721227770264124,0.032108648,59.85,24.75,10.05
-832.03125,108.88672,-503.90625,-0.041168477,-0.039303244,-0.016520589,-14.25,27.15,15.45,-400.39062,88.37891,924.80469,-0.01638742,-0.152816142,0.077673784,86.25,5.25,76.2,-940.91797,63.47656,349.12109,-0.218765677,0.021583439661862675,0.002664594,59.85,25.05,10.5
-839.84375,106.93359,-504.88281,-0.06461715,-0.010258871,0.001332384,-14.55,28.95,13.35,-408.69141,92.77344,920.89844,-0.059154619,-0.095127076,0.081670762,88.2,4.65,76.35,-930.66406,67.38281,343.26172,-0.217966316,-0.011591081,0.071411892,59.85,25.05,10.5
-832.03125,106.44531,-523.4375,-0.070745874,0.042634030303091486,-0.028911205,-14.55,28.95,13.35,-408.69141,86.42578,931.64062,-0.065016831,-0.156546784,0.090197569,88.2,4.65,76.35,-921.38672,50.29297,359.375,-0.198914302,-0.0223828,0.059421130647548545,60.15,24,10.8
-836.42578,117.67578,-519.53125,-0.06981317,-0.025580418,-0.049695283,-14.4,28.5,13.95,-398.92578,74.21875,923.33984,-0.053558919,-0.167071992,0.090996929,86.25,4.8,75.75,-918.94531,53.71094,344.23828,-0.156813121,-0.074742678,0.024647714,60.15,24,10.8
-825.68359,118.16406,-527.34375,-0.107650861,-0.005462531,-0.03837054,-14.4,28.5,13.95,-416.01562,74.21875,893.55469,-0.062485405,-0.143090295,0.10405356294417353,86.25,4.8,75.75,-928.71094,63.96484,348.63281,-0.124304793,0.009059655,0.034373736019252726,59.4,23.25,10.05
