IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-1024.90234,-64.45313,-62.5,-0.04836289903983767,0.043699902877284424,0.008659974682545464,2.55,25.35,32.25,43.94531,-5.37109,1024.41406,-0.04636449704630416,0.05369226191080236,0.04303371070179819,66.75,3.3,88.65,-874.51172,14.16016,490.72266,0.03277483989150072,0.02331550441154185,-0.0676814249313873,57.0,21.45,16.05
-1026.36719,-64.45313,-66.40625,-0.0005328490206338688,-0.0022649137703130416,-0.0015987215948268059,2.55,23.85,32.55,39.0625,-11.23047,1008.78906,-0.03370754384376649,0.0458314734927451,0.015188378749630253,67.65,4.65,88.05,-882.32422,23.92578,521.48437,0.0369049870334201,0.0186523337160634,-0.05502447172884963,58.05,20.7,15.0
-1022.46094,-53.71094,-59.08203,-0.0275788201753884,0.03224199087086685,0.028245012350874635,4.05,26.4,32.55,49.80469,-21.97266,1000.48828,-0.08726646259971647,0.03837054000631974,0.03530626543859329,68.25,4.95,89.55,-876.46484,28.32031,536.62109,-0.026379778979268294,0.031575798695380616,-0.05968764242432808,58.05,20.7,15.0
-1021.48437,-48.82813,-53.71094,-0.01811948469542953,0.02038439846574257,-0.006661572689011957,3.45,24.3,33.45,42.48047,-26.85547,1013.18359,0.009992359033517936,0.08020520951199782,0.00279793732387211,69.0,4.65,88.5,-856.93359,17.08984,474.60937,-0.00373046674321268,0.0571562168772355,-0.06288508561398169,55.65,19.8,16.65
-989.74609,-41.99219,-49.80469,-0.02424803383088242,0.017852972918649995,0.005462531492891852,3.45,24.3,33.45,26.36719,-40.52734,1012.20703,0.01252378458061051,0.06901380928235978,0.012257272803830977,69.0,4.65,88.5,-894.53125,14.16016,535.15625,-0.05062781281015071,0.04010260475599891,-0.06128636401915488,56.7,21.15,15.6
-996.58203,-63.96484,-58.59375,0.01638741994575036,-0.029977077100553806,0.04316687932372535,3.75,25.5,33.15,26.85547,-65.91797,995.60547,0.12643636340344963,0.02571358680378206,-0.04383307149921159,67.95,4.65,90.3,-861.81641,-2.44141,545.89844,-0.04156815772889855,-0.014255674797364485,-0.15095108354403677,58.2,19.8,15.15
-976.5625,-78.125,-66.40625,-0.002398082392240209,0.019451694513476805,0.0365053066347134,4.2,25.8,33.75,30.76172,-51.26953,1042.96875,0.10924958266028587,0.09379486666680127,-0.052626389336609423,67.35,5.55,88.65,-870.60547,-15.13672,521.48437,-0.007727445263204894,0.05742272865401504,-0.06208572481656829,55.5,22.2,16.5
-977.05078,-81.54297,-62.01172,-0.0002665117767795341,0.05968764242432808,0.10085611975451993,4.65,25.65,33.3,22.94922,-55.66406,1033.20313,0.1418912539298594,0.09219597053904927,-0.08340282723457662,66.75,4.8,88.65,-890.625,-21.97266,527.34375,0.04729702646564473,-0.023848353432175718,-0.09073041756614963,58.05,19.95,16.05
-985.83984,-76.66016,-69.33594,0.0644839817417337,0.04143498910697138,0.07727410356619854,4.05,24.9,33.0,10.74219,-41.99219,1015.13672,0.16520675834140125,0.07141189167459998,-0.05968764242432808,66.75,4.8,88.65,-878.90625,-20.50781,506.83594,0.05688970510045597,-0.012923464979317213,-0.04316687932372535,57.6,21.0,16.8
-964.84375,-58.10547,-44.43359,0.0567565364785288,0.03677181841149293,0.1605435876459228,4.05,24.9,33.0,-12.20703,9.76562,987.79297,0.18305973126005126,0.011058231607710873,-0.07074587403203896,68.1,5.55,88.95,-887.69531,9.76562,522.46094,0.1637412053685016,0.01585457092511649,-0.08593407824874401,57.6,21.0,16.8
