IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-818.35937,138.18359,467.77344,-0.14015918918018025,0.006261892290305255,-0.05928796202562137,11.55,32.1,52.65,274.41406,110.83984,989.74609,-0.08486838020747627,-0.04223434990438478,-0.04836289903983767,54.3,12.15,93.75,-545.41016,262.69531,847.65625,0.08713329397778931,-0.0369049870334201,-0.09299533133646266,50.85,27.75,37.5
-847.16797,154.29687,467.28516,-0.06994633870170035,-0.0011990411961201044,0.022649312236055614,11.55,32.1,52.65,268.06641,99.12109,1007.8125,-0.0750091897958855,-0.08007204089007065,-0.03877022040502644,55.65,13.35,93.15,-557.61719,258.30078,847.16797,0.08140425070811792,-0.014389017952216851,-0.07740727218812571,50.85,27.75,37.5
-863.28125,153.80859,484.86328,-0.06315159739076123,0.008659974682545464,0.06861412888365308,11.55,32.1,52.65,263.18359,97.65625,997.55859,-0.07394331722169258,-0.02011788668896304,-0.030909606519894377,55.65,13.35,93.15,-558.10547,264.64844,816.40625,0.01025887081029747,-0.02011788668896304,-0.06861412888365308,50.7,27.45,36.6
-874.02344,162.59766,484.375,-0.07087904265396612,-0.0291777163031404,0.009592678634811233,11.55,32.1,52.65,262.69531,111.81641,990.23437,-0.07833997614039148,-0.05688970510045597,-0.0361056262360067,55.5,12.45,92.55,-569.33594,270.99609,814.45312,-0.008659974682545464,0.0,-0.08153759386297028,50.7,27.45,36.6
-871.58203,172.85156,461.91406,-0.11644417890285688,-0.05169368538434365,0.053292581512095656,10.65,31.95,53.55,246.58203,126.95313,988.28125,-0.05342575013402282,-0.015321547371557422,-0.0182526533173567,55.5,12.45,92.55,-566.89453,263.18359,812.01172,-0.011857592405124276,-0.006794741310939124,-0.05369226191080236,50.7,27.9,37.65
-898.4375,171.38672,466.30859,-0.09033073716744291,-0.10924958266028587,0.06155287579593442,10.65,31.95,53.55,247.55859,115.72266,985.35156,-0.05928796202562137,-0.04556513624889076,-0.04156815772889855,55.65,11.4,93.15,-563.47656,285.15625,824.70703,-0.05728938549916267,-0.025447249559927724,-0.08806582339712987,50.7,27.9,37.65
-907.71484,175.78125,447.75391,-0.15188361296337732,-0.06928032105913931,0.00186523337160634,10.65,31.2,52.8,246.58203,133.30078,969.72656,-0.05462479133014293,-0.05875493847206231,-0.031708967317307775,55.65,11.4,93.15,-555.66406,295.89844,815.42969,-0.06661555235719438,-0.05915461887076901,-0.10245484134934674,50.7,27.9,37.65
-912.10937,174.31641,448.24219,-0.1621424837736748,-0.06368444641139509,-0.00186523337160634,10.65,31.2,52.8,250.97656,149.41406,974.60937,-0.06741508768753297,-0.06115319539722772,-0.004796339317405617,55.5,12.45,93.6,-557.61719,275.87891,825.19531,-0.12057432604477626,-0.056356856079822104,-0.03823737138439257,50.7,27.9,37.65
-904.29687,176.26953,455.07812,-0.18465845285487806,-0.08833233517390941,-0.0022649137703130416,11.1,31.65,52.5,259.27734,154.78516,978.02734,-0.05875493847206231,-0.0831363154577971,0.0373046674321268,55.5,12.45,93.6,-560.54687,280.27344,826.66016,-0.11764322009897699,-0.045032112695331694,-0.03823737138439257,50.1,27.0,37.2
-891.60156,195.3125,458.49609,-0.2103722141915853,-0.06101985224237535,0.012390441425758144,11.1,31.65,52.5,271.97266,138.67187,975.09766,-0.06981317007977318,-0.11684385930156357,0.04556513624889076,56.55,13.5,92.85,-551.26953,269.04297,844.72656,-0.11577798672737065,-0.03370754384376649,-0.07021285047847989,50.1,27.0,37.2
