IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-964.35547,12.20703,-103.51563,-0.05982081104625525,-0.29710565323774274,0.009992359033517936,1.8,22.35,29.1,311.03516,-118.16406,937.98828,-0.12390511238928224,0.08020520951199782,0.09419454706550798,53.85,3.9,94.2,-599.12109,-117.1875,826.66016,-0.05649002470174927,0.06355127778946792,-0.00839363743869113,52.65,21.75,41.1
-960.44922,9.27734,-109.86328,-0.08566774100488968,-0.2804517215152128,-0.0029311059457992773,2.25,21.9,28.8,289.55078,-104.00391,953.125,-0.10618530809255941,0.11417909059961863,0.07127872305267281,53.85,3.9,94.2,-594.72656,-122.55859,818.35937,-0.08953137637002952,0.06501683076236757,0.015721227770264124,52.65,21.75,41.1
-965.33203,12.20703,-91.30859,-0.0567565364785288,-0.29310867471775054,-0.04476577545147736,2.25,21.9,28.8,292.96875,-87.40234,953.61328,-0.08207044288360416,0.11750987694412462,0.08180393110682463,53.85,3.9,94.2,-604.49219,-102.05078,827.63672,-0.014655355196071187,0.06381778956624745,0.04156815772889855,52.65,21.75,41.1
-961.91406,-0.48828,-92.77344,-0.05862176985013514,-0.26646255849462785,-0.12297240843701647,2.25,21.9,28.8,269.53125,-80.56641,952.63672,-0.1228392398150893,0.07274427602557246,0.08846550379583658,53.85,3.45,94.8,-613.28125,-91.79688,840.82031,-0.042634030303091486,0.0291777163031404,0.028777861371508503,52.65,21.75,41.1
-951.66016,-0.97656,-85.44922,-0.0754088701945922,-0.24314705408308604,-0.13842729896342626,2.25,21.9,28.8,270.01953,-53.22266,946.28906,-0.13722825776730616,0.034373736019252726,0.059421130647548545,53.85,3.45,94.8,-604.98047,-89.35547,849.60937,0.009059655081252166,0.010791719830931338,-0.001065872574192937,52.05,20.55,40.5
-949.70703,-13.18359,-86.91406,-0.03224199087086685,-0.2717917468326674,-0.13776110678794004,2.55,23.1,30.15,266.11328,-35.15625,955.56641,-0.1460214010717788,0.023048992634762316,0.05182702853919601,53.85,3.9,94.5,-587.89062,-70.80078,840.33203,-0.05822208945142844,-0.023182161256689485,0.027179139776681696,52.05,20.55,40.5
-935.54687,-1.95312,-72.75391,-0.07873965653909817,-0.18172734690907877,-0.14149157353115271,2.55,23.1,30.15,282.22656,-46.38672,932.12891,-0.12643636340344963,-0.0058622118915985545,0.10418690609902591,53.85,3.9,94.5,-595.21484,-61.03516,814.94141,-0.05102749320885741,-0.005995380513525721,0.03224199087086685,53.25,20.55,41.55
-927.73437,-8.30078,-64.45313,-0.05649002470174927,-0.15188361296337732,-0.1442895108550248,2.55,23.1,29.4,267.08984,-39.0625,936.03516,-0.08646710180230308,0.007993957039984428,0.07021285047847989,54.9,4.95,95.25,-571.28906,-68.84766,813.47656,-0.04982845201273731,-0.012790121824464847,0.0006661921754862356,53.25,20.55,41.55
-925.78125,-16.11328,-67.87109,-0.05369226191080236,-0.15468155028724945,-0.17839656056457281,2.55,23.1,29.4,282.71484,-65.91797,929.19922,-0.10232167272741956,-0.005995380513525721,0.07101221127589329,54.9,4.95,95.25,-581.54297,-64.45313,821.28906,-0.1033873707686873,-0.05808874629657607,0.03290818304635308,53.25,20.55,41.55
-945.3125,-13.18359,-62.5,-0.019984718067035872,-0.1200413024912172,-0.1881225823542364,3.0,24.15,29.1,305.66406,-109.86328,939.45312,-0.06128636401915488,-0.012656953202537678,0.04609798526952463,54.9,4.95,95.25,-583.49609,-70.3125,825.19531,-0.10125580015322662,-0.014522186574144018,-0.077007591789419,51.15,19.2,41.7
-929.6875,-16.11328,-60.05859,-0.010525208054151804,-0.1077840296873862,-0.18106132926651775,3.0,24.15,29.1,323.73047,-146.97266,930.17578,-0.01771980429672283,0.014788698350923554,0.03224199087086685,54.9,4.95,95.25,-573.24219,-83.98438,828.61328,-0.0932618431132422,-0.04796321864113097,-0.04156815772889855,51.15,19.2,41.7
-923.82812,-28.32031,-50.78125,-0.042634030303091486,-0.1248376418086228,-0.17786371154393893,2.4,22.5,28.95,316.89453,-159.17969,925.29297,0.015055210127703087,-0.03104294967474674,0.04556513624889076,54.3,3.9,95.25,-581.54297,-109.86328,830.07812,-0.07860648791717102,-0.02198312006056938,-0.012656953202537678,51.15,20.25,41.4
