IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-793.94531,-16.11328,-605.46875,0.06901380928235978,-0.022516143614128445,0.03757117920890633,-15.0,27.45,10.2,432.61719,163.08594,856.93359,-0.011990761027051442,-0.007993957039984428,-0.04330022247857772,45.15,7.35,99.9,-683.10547,108.88672,718.26172,0.16307501319301537,-0.005995380513525721,0.04489894407340452,55.65,22.35,35.25
-786.62109,-12.20703,-609.375,0.04303371070179819,0.013189976756096747,0.016120908168970823,-15.45,27.75,10.8,438.47656,144.04297,910.64453,0.017053612121236593,0.011990761027051442,-0.0482297304179105,45.45,8.25,99.75,-672.85156,111.81641,730.46875,0.08300314683586993,0.007727445263204894,0.030643269276040042,56.55,22.2,36.15
-796.875,-10.74219,-597.16797,-0.03450690464117989,0.07807346436361194,0.00746093348642536,-15.45,28.05,9.3,456.05469,155.27344,905.76172,0.013189976756096747,0.002664594169019743,-0.014788698350923554,46.35,7.35,98.4,-666.99219,122.07031,725.09766,-0.0011990411961201044,-0.002664594169019743,0.047696706864351436,56.4,21.15,36.0
-796.38672,-7.8125,-594.23828,0.035839288992152364,0.07341046820105869,0.04023577337792608,-15.45,28.05,9.3,431.15234,154.29687,887.69531,0.01358965715480345,-0.06275191699205453,0.023582016188321384,46.2,6.3,100.35,-654.29687,114.74609,736.32812,-0.0365053066347134,-0.019451694513476805,0.06341810916754076,55.8,23.25,36.9
-787.10937,-8.78906,-595.21484,0.06475031898558803,0.025980098580561592,0.0652833425391471,-14.55,26.4,11.25,456.54297,148.92578,881.34766,-0.017320123898016127,-0.12963398112602842,0.061419532641082054,46.2,6.3,100.35,-666.01562,121.09375,721.19141,-0.0656830229378538,-0.04716385784371757,0.062219067971420655,55.8,23.25,36.9
-802.73437,-4.88281,-616.21094,-0.0486294108166172,0.09219597053904927,-0.0031976177225788113,-14.55,27.45,11.25,442.87109,134.76562,883.78906,-0.0011990411961201044,-0.0972588216332344,0.09219597053904927,44.85,7.65,99.45,-679.19922,98.63281,739.25781,-0.11564464357251827,0.0063950609122324234,0.03344103206698695,54.75,22.2,35.4
-803.22266,5.37109,-607.42187,0.003463954966433146,0.035173096816666125,0.05382543053272952,-15.3,27.15,10.95,464.35547,143.06641,891.60156,0.010392039432224637,-0.0754088701945922,0.060487003221741484,45.6,6.6,98.85,-676.75781,87.89063,736.32812,-0.1436233186795386,-0.017186780743163762,0.043699902877284424,54.75,22.2,35.4
-792.48047,4.88281,-619.62891,-0.021849951438642212,0.056356856079822104,0.04303371070179819,-15.3,27.15,10.95,467.77344,131.83594,871.09375,0.024914226006368657,-0.05808874629657607,0.07021285047847989,45.9,5.7,98.85,-691.40625,100.58594,759.76562,-0.13762793816601288,-0.09126344111970869,0.035039753661813756,56.55,22.5,37.2
-799.80469,20.50781,-624.51172,-0.08566774100488968,0.08087140168748405,-0.05275955795853659,-15.3,27.15,10.95,450.19531,107.42188,875.97656,0.011324568851565207,0.015588059148336955,0.07607506237007844,44.25,7.5,98.55,-699.21875,81.54297,739.74609,-0.15321599731434982,-0.07274427602557246,0.06861412888365308,55.35,22.65,36.0
-785.64453,7.32422,-629.39453,-0.10272135312612628,0.09472739608614184,-0.07287744464749962,-15.3,26.1,12.6,465.82031,118.16406,898.4375,-0.002664594169019743,0.004529827540626083,0.06981317007977318,46.35,6.6,99.45,-694.82422,106.93359,736.32812,-0.12803525953120162,-0.05369226191080236,0.03357420068891412,54.45,22.2,36.15
