IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-964.84375,-31.25,-316.40625,-0.10192181779578767,0.0575558972759422,-0.04969528339081014,-3.0,24.9,24.9,-127.44141,2.92969,1052.73438,0.1077840296873862,0.08699995082293695,-0.030909606519894377,72.45,6.75,86.1,-817.38281,76.17188,596.67969,0.3181562438789715,-0.002398082392240209,-0.006794741310939124,56.7,25.65,24.0
-952.63672,-41.50391,-328.61328,-0.041301645952119014,0.03557277721537283,-0.05395859915465669,-2.55,24.9,24.6,-136.23047,-23.92578,1045.89844,0.06022049144496195,-0.012790121824464847,-0.039569755735365045,71.4,6.75,86.55,-826.17187,68.35938,597.65625,0.28058506467006517,0.0373046674321268,-0.021050590641228807,56.7,25.65,24.0
-947.26562,-42.48047,-337.40234,-0.03570594583729999,0.02038439846574257,-0.047430369620497105,-2.55,24.9,24.6,-121.58203,-20.50781,1013.18359,0.03570594583729999,-0.077007591789419,-0.008526806060618296,72.15,4.05,86.55,-815.91797,58.59375,555.17578,0.3328115990750427,0.03783769098568587,-0.07114555443074566,57.3,25.8,23.55
-956.54297,-39.0625,-334.96094,-0.022915824012835147,0.020784078864449274,-0.09059724894422246,-3.6,24.15,24.9,-110.35156,-53.22266,990.23437,0.039969436134071744,-0.1017886491738605,0.021316927885083145,72.15,4.05,86.55,-827.63672,45.41016,573.24219,0.27805363912297265,-0.015987739547043658,-0.019318525891549636,56.1,26.1,24.3
-997.07031,-41.01563,-337.89062,-0.0361056262360067,0.10045643935581322,-0.06248540521527499,-2.4,24.75,24.3,-100.58594,-38.08594,988.76953,0.11044862385640596,0.07514235841781267,-0.012790121824464847,71.25,6.6,86.25,-829.58984,37.10938,573.24219,0.24874275419790506,0.003463954966433146,-0.007727445263204894,55.2,26.55,23.55
-983.88672,-38.57422,-327.63672,-0.03783769098568587,-0.01958503766832917,-0.0831363154577971,-4.05,24.9,24.9,-131.34766,-26.85547,994.62891,0.17906275274005903,0.03357420068891412,-0.04023577337792608,71.55,6.15,86.7,-837.89062,9.76562,561.03516,0.3027013533525617,-0.04356655972243205,-0.003463954966433146,56.7,24.9,24.3
-958.98437,-24.41406,-331.54297,-0.029044373148288036,-0.08233695466038368,0.017986141540577164,-1.35,23.25,25.35,-92.28516,-51.26953,999.02344,0.19838127863160868,0.060087322823034785,0.008793317837397832,71.55,5.7,86.25,-828.125,-10.74219,559.08203,0.2696600016842815,-0.04276719892501865,-0.057689065897869374,57.0,26.55,24.6
-961.42578,-9.76562,-343.26172,-0.11870909267316991,-0.0011990411961201044,-0.02411486520895525,-1.35,23.25,25.35,-155.76172,4.88281,1030.76172,0.15388201495691084,0.09512707648484854,0.019984718067035872,71.55,5.7,86.25,-818.35937,-33.20313,549.31641,0.27272427625200796,0.0002665117767795341,-0.05449162270821576,57.6,25.8,22.5
-964.35547,5.85937,-329.58984,-0.08886518419454328,-0.03916990080373314,-0.02744565155346123,-2.7,24.0,24.3,-154.78516,-12.20703,1025.87891,0.10511943551836647,0.009859190411590769,0.011457912006417574,71.25,4.2,86.25,-818.84766,-41.50391,572.26562,0.34440267970338745,-0.014522186574144018,-0.09792501380872065,57.6,25.8,22.5
-965.33203,0.0,-325.19531,-0.08939820774810235,-0.05462479133014293,0.0579555776746489,-2.7,24.3,24.75,-109.86328,22.46094,1083.00781,-0.1524164619840112,-0.061819213039788753,-0.018385996472209065,72.9,6.0,87.15,-844.72656,-39.55078,576.17187,0.3333446226286018,0.0031976177225788113,-0.10725118066675235,56.25,25.8,22.8
