IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-876.95312,76.17188,-402.83203,0.12617002615959527,0.05395859915465669,0.04170132635082572,-7.35,27.75,17.4,-414.55078,-21.97266,978.02734,0.03930324395858551,0.028245012350874635,0.03703833018827246,85.35,-1.65,77.7,-1027.34375,50.29297,53.71094,0.11750987694412462,-0.21716695550252443,0.0373046674321268,54.9,20.55,-9.3
-922.85156,93.75,-421.875,0.13762793816601288,0.04463243229662499,0.07247776424879292,-7.35,27.75,17.4,-391.60156,-0.48828,983.88672,0.05915461887076901,0.011457912006417574,-0.03863705178309927,86.4,1.65,78.15,-1011.23047,57.61719,44.43359,0.048496242194690044,-0.2372848421914875,0.024514545607661954,55.65,19.35,-8.25
-951.17187,90.82031,-453.125,0.14562172067307208,-0.028777861371508503,0.08886518419454328,-7.2,26.4,15.45,-406.25,-9.76562,964.35547,0.03623896939085906,-0.041301645952119014,0.016520588567677526,86.4,1.65,78.15,-996.09375,60.05859,24.90234,0.04316687932372535,-0.14682076186919218,0.0033307863445059785,54.6,20.1,-7.8
-957.51953,85.44922,-433.59375,0.1281684281531288,0.01625425132382319,0.06248540521527499,-7.5,27.45,17.25,-407.22656,0.48828,932.61719,0.008526806060618296,-0.04316687932372535,-0.02224963183734891,85.8,0.3,78.0,-1012.69531,54.6875,53.22266,0.07714093494427138,-0.09832469420742734,0.0664823837352672,55.2,19.95,-6.9
-941.89453,100.58594,-409.17969,0.18106132926651775,0.009992359033517936,0.04236751852631195,-6.9,27.9,17.55,-409.17969,15.13672,913.57422,0.019318525891549636,-0.04143498910697138,-0.025980098580561592,84.9,-0.15,78.15,-1024.41406,43.94531,76.17188,0.07287744464749962,-0.14668759324726502,0.017453292519943295,55.2,19.95,-6.9
-911.13281,121.09375,-373.53516,0.1873230470238978,-0.033973881087620825,0.11391275335576431,-7.05,27.3,17.1,-405.76172,25.87891,908.20312,0.01492186697285072,-0.035039753661813756,-0.03916990080373314,84.9,-0.15,78.15,-986.32812,43.94531,71.28906,0.057689065897869374,-0.21410268093479798,0.011724423783197109,55.5,19.2,-9.45
-898.4375,121.09375,-339.35547,0.16400771714528115,-0.05036147556629638,0.1528161423827179,-7.05,27.3,17.1,-377.44141,29.78516,910.15625,0.00839363743869113,0.010525208054151804,-0.0025314255470925756,85.5,0.0,79.35,-979.00391,34.66797,75.68359,0.08899852734939565,-0.16427405438913548,0.07607506237007844,54.6,21.15,-8.25
-874.51172,143.55469,-356.93359,0.1341638086666545,0.0022649137703130416,0.12177336724089637,-7.05,28.05,16.35,-374.51172,14.64844,920.41016,0.06101985224237535,-0.05342575013402282,-0.05902145024884184,84.9,1.2,77.4,-968.75,21.97266,85.9375,0.12470447318669564,-0.14575488929499925,0.03597245761407953,56.7,18.6,-8.25
-893.06641,166.50391,-373.53516,0.1496186991930643,0.030376757499260505,0.06994633870170035,-6.6,27.3,18.45,-363.28125,17.57813,899.41406,0.04556513624889076,-0.03823737138439257,-0.08020520951199782,85.5,1.8,76.95,-964.84375,-8.30078,68.35938,0.06981317007977318,-0.13509651261892028,-0.031975479094087315,54.45,20.7,-7.35
-898.4375,155.76172,-390.625,0.11830941227446322,-0.03677181841149293,0.13163238311956194,-7.65,27.75,17.7,-368.16406,22.46094,893.06641,0.021183759263155976,-0.02571358680378206,-0.08047172128877735,85.5,1.8,76.95,-963.86719,5.37109,72.26563,0.10765086106545904,-0.04902909121532391,0.0182526533173567,55.8,18.0,-8.7
-902.34375,125.48828,-394.53125,0.05142717360756412,-0.03570594583729999,0.07887282516102534,-7.65,27.75,17.7,-390.13672,6.83594,876.46484,0.0011990411961201044,0.03930324395858551,-0.11124815918674456,85.65,1.65,77.1,-995.11719,15.13672,76.66016,0.15681312090271013,-0.0014655529728996386,0.020650910242522108,54.75,19.5,-9.45
-903.80859,100.58594,-387.20703,0.02051756708766974,-0.023048992634762316,0.005728868736746187,-6.45,25.35,15.45,-388.67187,-7.32422,921.875,0.010392039432224637,0.05435827955336339,-0.09099692934292915,85.95,0.15,77.4,-1008.78906,5.85937,79.58984,0.16573960736203514,-0.09113009796485633,0.02238280045927608,54.75,19.5,-9.45
-910.15625,100.09766,-381.83594,0.031309286918601076,-0.028111843728947466,0.03783769098568587,-7.05,26.25,16.65,-397.94922,-21.48438,953.61328,-0.06994633870170035,0.04223434990438478,-0.13123270272085524,85.35,-0.15,77.4,-994.62891,0.97656,64.45313,0.2595344740288364,-0.16573960736203514,0.05235987755982989,57.9,20.85,-7.8
-882.8125,127.44141,-379.39453,0.05022813241144401,-0.03570594583729999,0.021583439661862675,-6.6,26.25,16.35,-394.04297,-70.80078,961.42578,0.016920443499309427,0.017986141540577164,-0.10938292581513821,87.6,0.3,77.25,-989.74609,26.36719,62.01172,0.3515972759459585,-0.20624189251674072,0.05822208945142844,56.1,20.1,-9.3
-851.07422,138.18359,-374.02344,-0.022649312236055614,0.005462531492891852,-0.04436592051984546,-8.25,26.7,15.45,-405.27344,-68.84766,959.96094,-0.025313906405075356,-0.03570594583729999,-0.14508887165243822,86.85,0.3,77.25,-1001.95312,0.97656,72.26563,0.3126937123860797,-0.24634449727273963,0.053292581512095656,56.55,19.5,-8.4
-842.77344,138.18359,-379.88281,0.03264167126957355,-0.0470306892217904,-0.024514545607661954,-8.25,26.7,15.45,-448.24219,-20.01953,960.44922,0.06195255619464112,-0.09179629014034256,-0.13696174599052663,86.4,0.9,77.4,-1009.27734,25.87891,59.08203,0.3269493871834442,-0.2761884057513663,0.08380250763328333,55.2,19.95,-7.95
-857.42187,128.41797,-443.35937,-0.0035972981212855125,-0.04330022247857772,-0.094860564708069,-6.6,27.3,15.6,-418.94531,-42.96875,917.96875,0.1115144964305989,-0.1065849884912661,-0.16094326804462952,86.4,0.9,77.4,-986.81641,45.41016,58.10547,0.3237519439937906,-0.2254272497863632,0.09699230985645488,54.9,19.35,-8.55
-886.71875,81.05469,-465.33203,-0.01119140022963804,0.0041301471419193814,-0.08127108208619076,-7.05,27.3,17.1,-421.875,-33.69141,903.80859,0.10325420214676014,-0.021716608283789844,-0.24221435013082027,86.55,0.0,78.3,-1011.71875,75.19531,67.87109,0.33347779125052895,-0.1329647674705344,0.09019756854551575,55.5,18.0,-5.85
-924.80469,83.00781,-411.13281,0.020251229843815406,0.02411486520895525,-0.1276355791324949,-7.2,25.65,16.5,-410.15625,-4.88281,963.37891,0.09632611768096865,0.05076115596500308,-0.2395497559618005,85.65,0.9,78.45,-1041.99219,58.10547,93.75,0.23981626773858006,-0.13496316946406792,0.05555749528240869,55.5,18.0,-5.85
-900.87891,84.47266,-430.17578,0.03184231047216015,-0.04529862447211123,-0.09019756854551575,-7.2,25.65,16.5,-423.82812,10.74219,985.83984,0.05808874629657607,0.04449926367469782,-0.22729248315796954,85.8,0.3,78.45,-1031.25,68.35938,72.75391,0.26819444871138187,-0.21117157498899872,0.07194491522815906,57.3,19.2,-6.6
-937.01172,97.16797,-435.54687,0.07034601910040704,-0.07460950939717881,-0.06381778956624745,-8.7,27.0,16.35,-421.875,25.87891,970.70312,0.10551911591707318,-0.03304135166828025,-0.2115712553877054,85.8,0.3,75.75,-1030.27344,77.14844,79.58984,0.24341339132694037,-0.2019785767528942,0.09352835489002174,57.3,19.2,-6.6
