IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
1.46484,-21.97266,1013.18359,-0.02145027103993551,-0.01212410418190381,0.005462531492891852,-289.04999,-124.65,260.10001,51.75781,-4.88281,1102.53906,0.21530172213091808,0.04982845201273731,0.0,20.55,-18.45,63.3,-82.03125,4.39453,1020.50781,0.008793317837397832,0.06301842876883405,0.02931088492506757,45.15,80.7,28.05
-0.97656,-18.06641,1019.04297,0.021849951438642212,-0.0007993607974134029,0.04250068714823912,-289.20001,-122.7,258.89999,48.82813,-13.67187,1083.98438,-0.009059655081252166,0.06674889551204674,0.04330022247857772,21.75,-19.05,63.9,-90.33203,7.8125,1023.92578,0.005462531492891852,-0.005062851094185151,-0.0283781809728018,45.45,80.7,28.35
3.41797,-16.60156,1012.69531,-0.00559570011481902,0.009725847256738402,-0.047830050019203804,-288.0,-122.55,258.75,42.96875,-7.32422,1082.03125,-0.009725847256738402,0.1512174207878911,0.07061253087718658,21.75,-18.6,63.9,-81.05469,4.88281,1018.55469,-0.01492186697285072,0.00559570011481902,-0.01811948469542953,45.15,81.0,29.1
6.34766,-15.625,1011.71875,-0.0385038831611721,0.02091724748637644,0.004396658918698916,-287.85001,-122.25,259.5,50.78125,-10.74219,1099.60938,0.12590351438281575,0.1870567097800435,0.09699230985645488,21.15,-18.0,64.05,-89.35547,17.57813,1011.23047,0.03304135166828025,0.0,-0.004529827540626083,45.3,80.85,29.7
2.92969,-11.23047,1013.67187,-0.014122506175437317,0.00652840406708479,-0.01638741994575036,-288.60001,-123.0,259.5,29.78516,-17.57813,1097.16797,0.18132766651037208,0.2596676426507636,0.10884990226157916,20.85,-18.0,65.1,-77.14844,12.20703,1015.13672,0.02278248085798278,0.01212410418190381,0.004263315763846549,45.9,79.95,28.35
-2.92969,-9.27734,1020.99609,0.06155287579593442,0.007061253087718659,-0.05049464418822355,-288.14999,-123.45,259.95001,-8.30078,6.83594,1074.21875,0.0579555776746489,0.29564010026484305,0.23342120682634765,20.85,-19.95,65.1,-74.21875,9.76562,1005.37109,0.013722825776730615,0.004263315763846549,-0.04063545377663278,44.7,80.25,28.35
-3.41797,-13.67187,1018.06641,0.02744565155346123,-0.03743801058697916,-0.0069280844657914915,-288.29999,-122.55,259.04999,35.15625,-14.64844,1123.53516,0.08606742140359638,0.1398928519363259,0.026646290756047828,19.35,-16.5,63.75,-72.75391,5.37109,1019.53125,0.003463954966433146,-0.04303371070179819,0.013456313999951081,45.3,79.8,27.9
-4.88281,-10.74219,1021.48437,-0.011591080628344743,0.008260294283838763,0.005462531492891852,-288.29999,-122.55,258.29999,31.25,16.11328,1147.46094,0.27072587425847444,-0.13189889489634146,-0.18798923919938404,22.5,-17.1,65.25,-83.49609,5.37109,1017.57812,0.006261892290305255,0.034373736019252726,-0.03277483989150072,45.6,80.4,28.2
-0.48828,-19.04297,1007.8125,-0.006661572689011957,0.03530626543859329,-0.01212410418190381,-289.35001,-122.85,259.35001,14.64844,15.13672,1076.17188,0.44299388568759435,-0.05182702853919601,0.08100457030941122,21.15,-17.25,65.55,-84.96094,4.39453,1011.23047,0.0041301471419193814,0.04063545377663278,-0.008926486459324997,45.45,81.0,28.8
-2.44141,-16.60156,1028.80859,-0.02464771422958912,0.006661572689011957,-0.02278248085798278,-288.0,-123.3,258.0,11.71875,51.26953,1133.30078,0.31469211437961314,-0.07807346436361194,0.02571358680378206,21.15,-16.95,66.9,-88.37891,5.37109,1021.48437,0.004396658918698916,-0.00746093348642536,-0.007194421709645826,46.65,81.6,29.25
