IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-971.67969,49.31641,-282.22656,-0.05489130310692246,-0.07647474276878514,-0.1163108357480045,-1.05,27.3,21.6,131.34766,58.10547,1015.13672,0.05955429926947571,-0.06248540521527499,0.1436233186795386,60.75,6.9,93.75,-786.13281,-133.78906,649.41406,-0.4367319933972891,0.2015788963541875,0.1289677889505422,58.35,18.0,30.15
-987.79297,44.43359,-282.22656,-0.024381376985734785,-0.10471975511965978,-0.008659974682545464,0.3,25.8,20.55,127.44141,62.5,1012.69531,0.06128636401915488,-0.0458314734927451,0.1881225823542364,60.75,6.9,93.75,-795.89844,-141.11328,639.64844,-0.41661410670832605,0.16587295051688747,0.06035383459981431,58.35,18.0,30.15
-978.51562,47.85156,-273.4375,-0.027845331952167932,-0.08167076248489745,-0.10831705324094529,0.0,27.75,21.9,139.64844,62.01172,1018.55469,-0.0006661921754862356,-0.1633415249697949,0.17786371154393893,60.15,9.0,93.3,-814.45312,-153.80859,658.20312,-0.4035574731070817,0.11750987694412462,0.12217304763960307,57.15,18.6,30.0
-980.46875,24.41406,-275.39062,-0.041301645952119014,-0.048762579438544375,-0.15508123068595617,-1.05,26.55,21.3,151.36719,80.07813,997.07031,-0.006794741310939124,-0.07087904265396612,0.13776110678794004,58.95,7.65,94.2,-803.71094,-134.27734,651.85547,-0.4135498321405996,0.10551911591707318,0.01252378458061051,57.15,17.85,31.05
-968.26172,27.34375,-275.87891,-0.02851152412765417,-0.014122506175437317,-0.096459460835821,-1.05,26.55,21.3,150.39062,56.64063,985.35156,-0.035173096816666125,-0.06981317007977318,0.19078717652325616,58.2,7.65,94.8,-811.52344,-153.32031,638.67187,-0.44898926620112006,0.1184425808963904,0.01771980429672283,58.05,19.2,29.85
-969.23828,18.55469,-246.58203,0.02145027103993551,-0.10884990226157916,-0.057689065897869374,-0.15,26.1,20.7,146.97266,51.26953,1010.74219,-0.03450690464117989,-0.02931088492506757,0.20291110617223476,58.2,7.65,94.8,-781.73828,-145.01953,670.89844,-0.40409032212771556,0.12497098496347518,0.005995380513525721,57.0,18.0,29.4
-972.65625,24.90234,-262.20703,0.007727445263204894,-0.037171498810199634,-0.04956194023595778,-0.6,27.3,20.85,180.66406,51.26953,1010.74219,-0.061419532641082054,-0.05728938549916267,0.1458882324498516,58.2,7.65,94.8,-808.59375,-150.39062,677.24609,-0.37677801372910663,0.12803525953120162,0.015188378749630253,57.0,18.0,29.4
-958.49609,37.59766,-257.32422,0.002664594169019743,0.004796339317405617,-0.07607506237007844,1.2,26.7,20.7,153.32031,36.13281,987.30469,-0.05049464418822355,-0.024781057384441488,0.1649402465646217,58.95,7.65,93.75,-798.33984,-145.01953,661.62109,-0.312294031987373,0.06368444641139509,-0.0005328490206338688,56.7,19.05,28.95
-982.91016,27.34375,-251.46484,0.0046631706954784495,0.0046631706954784495,-0.0458314734927451,1.2,26.7,20.7,190.42969,29.78516,975.58594,-0.0275788201753884,-0.06968000145784602,0.17413324480072626,58.2,8.1,94.5,-791.01562,-99.12109,650.39062,-0.28245029804167154,0.05915461887076901,-0.002664594169019743,57.45,18.3,28.65
-979.98047,37.59766,-253.90625,-0.008659974682545464,-0.011857592405124276,-0.019451694513476805,-0.6,27.0,20.85,176.75781,51.75781,1002.44141,-0.03943641258051267,-0.05449162270821576,0.1458882324498516,58.2,8.1,94.5,-781.73828,-125.0,680.66406,-0.2712587232791083,0.1057856276938527,0.02851152412765417,57.45,18.3,28.65
