IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-825.68359,106.93359,-522.94922,-0.07807346436361194,0.022649312236055614,-0.003996978519992214,-15.3,29.4,13.65,-413.08594,81.05469,939.94141,-0.026779459377974997,-0.0863337586474507,0.08899852734939565,85.05,3.75,76.5,-946.28906,101.5625,387.20703,-0.1398928519363259,-0.01851916509413623,0.04183466950567808,59.25,23.1,10.35
-830.07812,98.63281,-521.48437,-0.03264167126957355,-0.017986141540577164,0.04956194023595778,-15.3,29.4,13.65,-408.69141,71.77734,940.91797,-0.0058622118915985545,-0.12310575159186884,0.06315159739076123,85.05,3.75,76.5,-935.05859,117.67578,371.58203,-0.18092798611166538,0.01492186697285072,0.0017320647496791726,59.25,23.1,10.35
-842.28516,98.14453,-524.41406,-0.056356856079822104,-0.06022049144496195,0.0291777163031404,-14.25,27.15,15.45,-402.83203,81.54297,941.40625,0.007194421709645826,-0.11551147495059111,0.08620059002552354,86.25,5.25,76.2,-917.96875,86.91406,353.02734,-0.1726676918278266,0.01305663360124438,0.07740727218812571,59.25,23.1,10.35
-834.47266,92.77344,-517.08984,-0.07860648791717102,-0.04942877161403061,0.015588059148336955,-14.25,27.15,15.45,-432.12891,71.77734,930.66406,0.00373046674321268,-0.1386936362072806,0.07900616831587771,86.25,5.25,76.2,-925.29297,78.125,356.93359,-0.21956503789476464,0.016520588567677526,0.028644692749581334,59.85,24.75,10.05
-843.26172,89.35547,-509.76562,-0.032375159492794015,-0.021849951438642212,-0.04116847733019184,-14.25,27.15,15.45,-416.99219,73.24219,934.57031,0.00013316862192716734,-0.15881169742916884,0.09899088638291359,86.25,5.25,76.2,-934.57031,83.00781,343.75,-0.17386673302394673,0.015721227770264124,0.03210864771601448,59.85,24.75,10.05
-832.03125,108.88672,-503.90625,-0.04116847733019184,-0.03930324395858551,-0.016520588567677526,-14.25,27.15,15.45,-400.39062,88.37891,924.80469,-0.01638741994575036,-0.1528161423827179,0.07767378396490525,86.25,5.25,76.2,-940.91797,63.47656,349.12109,-0.21876567709735123,0.021583439661862675,0.002664594169019743,59.85,25.05,10.5
-839.84375,106.93359,-504.88281,-0.06461715036366086,-0.01025887081029747,0.0013323843509724712,-14.55,28.95,13.35,-408.69141,92.77344,920.89844,-0.05915461887076901,-0.09512707648484854,0.08167076248489745,88.2,4.65,76.35,-930.66406,67.38281,343.26172,-0.21796631629993785,-0.011591080628344743,0.07141189167459998,59.85,25.05,10.5
-832.03125,106.44531,-523.4375,-0.07074587403203896,0.042634030303091486,-0.02891120452636087,-14.55,28.95,13.35,-408.69141,86.42578,931.64062,-0.06501683076236757,-0.15654678365885577,0.09019756854551575,88.2,4.65,76.35,-921.38672,50.29297,359.375,-0.19891430218516776,-0.02238280045927608,0.059421130647548545,60.15,24.0,10.8
-836.42578,117.67578,-519.53125,-0.06981317007977318,-0.02558041818185489,-0.04969528339081014,-14.4,28.5,13.95,-398.92578,74.21875,923.33984,-0.053558918755949994,-0.1670719917130076,0.09099692934292915,86.25,4.8,75.75,-918.94531,53.71094,344.23828,-0.15681312090271013,-0.07474267801910597,0.02464771422958912,60.15,24.0,10.8
-825.68359,118.16406,-527.34375,-0.10765086106545904,-0.005462531492891852,-0.03837054000631974,-14.4,28.5,13.95,-416.01562,74.21875,893.55469,-0.06248540521527499,-0.1430902951259795,0.10405356294417353,86.25,4.8,75.75,-928.71094,63.96484,348.63281,-0.12430479278798894,0.009059655081252166,0.034373736019252726,59.4,23.25,10.05
-845.70312,124.02344,-539.0625,-0.0575558972759422,-0.05435827955336339,0.06475031898558803,-14.4,27.3,15.0,-404.78516,74.70703,865.23437,-0.06168604441786158,-0.09352835489002174,0.12856810855183548,86.25,4.8,75.75,-905.76172,45.41016,340.82031,-0.12137368684218967,-0.0385038831611721,0.02518073778314819,59.4,23.25,10.05
-845.70312,121.58203,-540.52734,-0.0575558972759422,-0.0754088701945922,0.07301078780235198,-14.4,27.3,15.0,-417.96875,69.82422,860.83984,-0.06261874837012736,-0.06741508768753297,0.08660027042423024,86.25,4.8,75.75,-918.45703,43.45703,359.86328,-0.09033073716744291,-0.11817606911961086,0.07727410356619854,59.4,23.25,10.05
-837.40234,113.28125,-549.80469,-0.02731248293153406,-0.023182161256689485,0.029577396701847107,-14.55,28.95,13.35,-420.89844,48.82813,889.64844,-0.08087140168748405,-0.019318525891549636,0.03663864978956576,87.3,4.8,75.45,-913.57422,35.64453,361.81641,-0.05822208945142844,-0.13816078718664673,0.02851152412765417,59.4,23.25,10.05
-838.86719,126.95313,-543.45703,-0.10125580015322662,0.008526806060618296,-0.00652840406708479,-14.55,28.95,13.35,-412.59766,31.73828,905.76172,-0.04929560299210344,-0.053558918755949994,0.03077643789796721,87.3,4.8,75.45,-904.78516,35.64453,352.05078,-0.06288508561398169,-0.08326948407972427,0.04076879693148514,59.25,23.85,8.85
-840.82031,105.46875,-539.0625,-0.12323892021379601,0.02984373394570144,0.010125527655445103,-14.55,28.95,13.35,-418.94531,28.80859,917.48047,-0.030509926121187674,-0.026646290756047828,0.07061253087718658,86.55,5.55,76.95,-905.27344,42.48047,346.67969,-0.011591080628344743,-0.09432771568743514,0.05475795995207009,59.25,23.85,8.85
-834.96094,112.30469,-558.59375,-0.11711019654541792,-0.01065855120900417,-0.03490658503988659,-14.55,28.95,13.35,-417.96875,24.90234,903.80859,-0.06341810916754076,-0.04303371070179819,0.03117611829667391,86.55,5.55,76.95,-904.78516,24.41406,344.23828,0.031309286918601076,-0.06275191699205453,0.027179139776681696,59.25,23.85,8.85
-834.47266,111.81641,-549.80469,-0.06981317007977318,-0.0007993607974134029,0.08739963122164364,-14.55,28.95,13.35,-421.875,25.87891,912.10937,-0.04689734606693803,0.020251229843815406,0.007594102108352528,85.65,4.95,76.35,-907.22656,47.36328,348.14453,0.01625425132382319,-0.07993869773521828,0.03637213801278623,59.25,23.85,8.85
-833.98437,102.05078,-540.52734,-0.039569755735365045,-0.0373046674321268,0.05369226191080236,-14.1,28.8,13.2,-437.98828,31.25,889.16016,-0.003463954966433146,0.05742272865401504,0.02331550441154185,85.65,4.95,76.35,-940.42969,46.875,347.16797,0.02611326720248876,-0.11377941020091194,0.07647474276878514,59.25,23.85,8.85
-841.79687,125.0,-540.52734,-0.03557277721537283,-0.03384071246569365,0.026646290756047828,-14.1,28.8,13.2,-435.05859,24.41406,916.01562,0.027179139776681696,0.04529862447211123,0.0291777163031404,85.65,4.95,76.35,-924.80469,57.12891,363.28125,0.02238280045927608,-0.1228392398150893,0.013855994398657782,60.3,23.85,10.65
-834.96094,120.11719,-553.22266,-0.05489130310692246,0.023715184810248553,0.06888046612750741,-14.1,28.8,12.15,-455.07812,29.78516,913.57422,0.034107224242473186,0.06741508768753297,0.03464007326310706,85.65,4.95,76.35,-933.10547,76.66016,361.32812,0.0462311538914518,-0.09073041756614963,0.011457912006417574,60.3,23.85,10.65
