IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-535.64453,-70.3125,-836.91406,0.002131745148385874,0.011058231607710873,0.07127872305267281,-31.05,24.3,8.7,-657.71484,-25.87891,789.55078,-0.06888046612750741,0.012257272803830977,0.192918921671642,94.5,1.5,65.85,-1020.99609,2.92969,-153.80859,-0.34760029742596626,0.05515781488370199,-0.1135130729570576,50.55,21.45,-16.5
-522.94922,-75.68359,-848.14453,-0.04383307149921159,0.008260294283838763,0.04489894407340452,-31.05,24.3,8.7,-656.25,-8.30078,863.28125,-0.2712587232791083,0.01625425132382319,0.2659295349410688,94.2,0.75,66.9,-1012.69531,-13.67187,-134.27734,-0.3292143009537572,-0.03277483989150072,-0.05315923835724329,50.55,21.45,-16.5
-518.55469,-78.125,-835.9375,-0.026646290756047828,0.0058622118915985545,0.07407648584361974,-31.65,23.1,9.15,-714.84375,-98.63281,787.10937,-0.1970490688135614,-0.3086967338660875,0.240882140312773,94.2,0.75,66.9,-997.07031,-12.20703,-135.25391,-0.28564774123132514,-0.08819916655198225,-0.07567538197137175,50.55,21.45,-16.5
-518.06641,-62.01172,-838.37891,-0.05862176985013514,0.004796339317405617,0.0811377389313384,-31.65,23.1,9.15,-500.97656,-71.28906,665.52734,0.026912627999902163,-0.13842729896342626,0.13722825776730616,92.7,2.25,65.55,-994.62891,-20.01953,-147.94922,-0.25846860145464345,-0.10192181779578767,-0.029044373148288036,51.0,21.6,-18.45
-508.78906,-59.57031,-838.37891,-0.04223434990438478,-0.0046631706954784495,0.05102749320885741,-30.0,23.25,7.2,-616.21094,27.83203,822.75391,-0.06928032105913931,-0.009459335479958867,0.2067749160702998,92.7,2.25,65.55,-1000.48828,-22.94922,-119.14063,-0.27019302523784056,-0.14508887165243822,-0.02411486520895525,51.0,21.6,-18.45
-508.30078,-64.94141,-838.86719,-0.04063545377663278,0.035839288992152364,-0.0041301471419193814,-30.0,23.25,7.2,-653.32031,-61.03516,772.94922,-0.07274427602557246,-0.0482297304179105,0.19558351584066178,92.7,2.25,65.55,-1002.92969,-29.78516,-101.5625,-0.24407958350242662,-0.11164783958545127,-0.031708967317307775,51.0,21.6,-18.45
-517.57812,-59.08203,-850.58594,-0.055290983505629165,0.017053612121236593,0.03557277721537283,-30.0,23.25,7.2,-641.11328,-40.52734,728.51562,-0.06155287579593442,-0.03530626543859329,0.1791960958949114,92.7,2.25,65.55,-996.58203,-33.20313,-91.79688,-0.22156361442122338,-0.05822208945142844,0.007993957039984428,51.0,21.6,-18.45
-524.41406,-44.92188,-824.21875,-0.12217304763960307,0.08873201557261612,-0.0632847660126884,-30.0,23.25,7.2,-631.83594,-81.05469,737.30469,-0.10232167272741956,0.03983609297921937,0.16587295051688747,91.95,0.75,66.9,-1001.95312,-45.41016,-92.28516,-0.21103823183414636,-0.041301645952119014,0.010924888452858507,51.0,21.6,-18.45
-525.87891,-64.94141,-836.91406,-0.08713329397778931,0.12963398112602842,-0.02238280045927608,-30.0,23.25,7.2,-663.57422,-110.35156,720.70312,-0.06701523275590107,-0.12963398112602842,0.13616238519311322,91.95,0.75,66.9,-1001.46484,-41.01563,-90.82031,-0.16160946022011574,-0.04449926367469782,0.012923464979317213,52.35,21.75,-17.1
-517.57812,-58.10547,-828.125,-0.10964926305899256,0.0373046674321268,-0.0005328490206338688,-30.75,23.7,9.75,-617.1875,-98.63281,764.64844,-0.04076879693148514,-0.026379778979268294,0.08193727426167699,93.75,1.05,66.9,-986.81641,-48.33984,-85.44922,-0.15108425216596394,-0.05742272865401504,0.03597245761407953,52.35,21.75,-17.1
-511.23047,-44.43359,-824.21875,-0.13509651261892028,0.08366916447843097,-0.015188378749630253,-30.75,23.7,9.75,-653.80859,-79.58984,800.78125,0.014122506175437317,0.008793317837397832,0.094860564708069,93.75,1.05,66.9,-1008.30078,-56.15234,-105.95703,-0.09952373540354745,0.04796321864113097,0.03304135166828025,51.9,21.75,-17.55
-510.25391,-68.35938,-819.33594,-0.07487602117395832,0.03210864771601448,0.041301645952119014,-31.2,22.65,8.85,-626.46484,-53.71094,822.26562,0.0038636353651398474,-0.04716385784371757,0.05835525807335561,93.75,1.5,65.55,-1022.94922,-65.42969,-104.00391,-0.10365388254546684,0.015588059148336955,0.006128723668378088,51.9,21.75,-17.55
-506.83594,-51.26953,-827.63672,-0.1151117945518844,0.03637213801278623,0.05515781488370199,-31.2,22.65,8.85,-623.53516,-88.86719,835.44922,-0.06301842876883405,0.015321547371557422,0.05955429926947571,93.75,1.5,65.55,-1000.97656,-54.19922,-108.39844,-0.04902909121532391,0.012257272803830977,0.03450690464117989,51.6,22.95,-17.55
-502.92969,-59.08203,-831.05469,-0.09685914123452771,0.06514999938429474,0.07554203881651937,-29.1,24.6,9.15,-630.37109,-115.72266,825.19531,-0.05915461887076901,-0.04809656179598333,0.0291777163031404,93.75,1.5,65.55,-994.62891,-50.29297,-92.28516,-0.004796339317405617,0.03344103206698695,0.05049464418822355,51.6,22.95,-17.55
-507.32422,-76.17188,-834.96094,-0.1470872736459717,0.07287744464749962,-0.034373736019252726,-29.1,24.6,9.15,-618.65234,-105.46875,812.01172,-0.02704597115475453,-0.07487602117395832,0.00186523337160634,93.75,1.5,65.55,-998.53516,-34.17969,-114.74609,0.004263315763846549,-0.006128723668378088,0.007993957039984428,50.85,22.5,-16.05
-507.8125,-84.96094,-829.58984,-0.1700030976588069,0.08739963122164364,-0.008526806060618296,-29.1,24.6,9.15,-632.8125,-100.58594,797.36328,0.02611326720248876,-0.035839288992152364,0.047830050019203804,94.65,1.65,66.3,-1000.48828,-33.20313,-113.76953,0.058488601228207975,-0.021716608283789844,0.04636449704630416,50.85,22.5,-16.05
-524.41406,-72.26563,-832.51953,-0.12643636340344963,0.07487602117395832,0.013722825776730615,-29.1,24.6,9.15,-633.78906,-91.79688,800.78125,0.05649002470174927,0.015188378749630253,0.005728868736746187,94.65,1.65,66.3,-987.30469,-27.83203,-124.51172,0.0093261668580317,-0.06408430134302699,0.015188378749630253,50.85,22.5,-16.05
-524.41406,-83.98438,-838.86719,-0.13469683222021359,0.07860648791717102,0.022116463215421746,-30.9,23.85,7.8,-638.18359,-87.40234,793.45703,0.060087322823034785,0.009992359033517936,0.009459335479958867,94.35,0.15,66.0,-993.16406,-4.88281,-130.85937,0.04956194023595778,-0.0575558972759422,0.06674889551204674,50.85,22.5,-16.05
-519.04297,-92.77344,-819.33594,-0.10645181986933895,0.0575558972759422,0.03490658503988659,-30.9,23.85,7.8,-641.11328,-89.84375,772.94922,0.06954665830299364,-0.09006439992358858,-0.06634921511334003,94.35,0.15,66.0,-981.93359,-2.44141,-106.44531,0.09033073716744291,-0.028644692749581334,0.0738101485997654,50.25,21.15,-16.95
-510.25391,-86.91406,-848.14453,-0.0458314734927451,0.03623896939085906,0.013189976756096747,-29.7,24.75,8.25,-658.20312,-142.57812,812.98828,0.1686707133078344,-0.08566774100488968,-0.05622351292496973,92.7,1.5,67.65,-1003.41797,3.90625,-119.62891,0.07354363682298586,-0.08913169597132281,0.07487602117395832,50.25,21.15,-16.95
-511.23047,-83.49609,-838.86719,-0.0835359958565038,0.05289272658046376,0.05382543053272952,-29.7,24.75,8.25,-612.79297,-41.99219,793.94531,0.13469683222021359,-0.009459335479958867,-0.08699995082293695,92.7,1.5,67.65,-971.19141,22.46094,-120.60547,0.11404592197769146,-0.05728938549916267,0.07034601910040704,50.25,21.15,-16.95
-516.60156,-83.98438,-841.30859,-0.08273663505909039,0.08047172128877735,-0.0668820641339739,-31.35,24.75,7.65,-630.85937,-86.91406,811.03516,0.1159111553492978,-0.03743801058697916,-0.08566774100488968,92.7,1.05,66.6,-981.44531,29.78516,-121.09375,0.15548091108466286,-0.03930324395858551,0.06195255619464112,50.25,21.15,-16.95
-523.92578,-87.40234,-840.82031,-0.09712565301130725,0.05995397966818241,-0.0381042027624654,-31.35,24.75,7.65,-641.60156,-74.21875,791.50391,0.1991806394290221,-0.05649002470174927,-0.0928621627145355,92.7,1.05,66.6,-958.98437,37.59766,-112.79297,0.12057432604477626,-0.09166312151841538,0.07261110740364529,51.45,21.6,-17.4
-505.85937,-68.35938,-842.28516,-0.12270589666023693,0.053558918755949994,0.0038636353651398474,-31.65,24.15,8.55,-637.20703,-7.32422,781.73828,0.1845252842329509,-0.04516545585018406,-0.1103154552344788,93.6,1.65,66.0,-972.16797,65.42969,-139.64844,0.14935218741628475,-0.10272135312612628,0.07087904265396612,51.45,21.6,-17.4
