IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-1041.99219,96.67969,235.83984,0.02091724748637644,-0.13469683222021359,0.04836289903983767,7.95,32.7,43.35,-49.31641,30.27344,970.70312,0.02038439846574257,0.12150685546411683,0.15588059148336955,70.8,7.35,91.95,-890.13672,83.98438,434.08203,-0.28991123152809695,0.14828631484209184,0.003996978519992214,59.25,17.55,13.8
-996.09375,96.19141,235.83984,0.040901965553412314,-0.1617428033749681,0.10005658442418133,7.95,32.7,43.35,-33.20313,40.52734,973.14453,0.05422511093143622,0.0972588216332344,0.1333644478692411,70.8,7.35,91.95,-905.27344,91.30859,455.56641,-0.24647784042759202,0.11364624157898477,0.0361056262360067,60.9,19.2,13.35
-992.1875,82.51953,245.11719,0.06355127778946792,-0.20077953555677408,0.12696938695700868,8.55,33.0,43.35,-37.59766,56.15234,976.07422,0.07900616831587771,0.11391275335576431,0.19771508645612243,70.65,5.55,90.45,-896.48437,66.89453,440.91797,-0.23755135396826701,0.1111148160318922,0.030509926121187674,60.9,19.2,13.35
-985.35156,88.86719,247.55859,0.08580090962681684,-0.14295712650405235,0.08953137637002952,8.55,33.0,43.35,-25.39063,57.61719,987.79297,0.05049464418822355,0.1528161423827179,0.12830177130798115,70.65,5.55,90.45,-866.69922,62.98828,441.89453,-0.2637977897926829,0.08140425070811792,0.04276719892501865,60.75,19.35,14.1
-969.23828,103.51563,234.86328,0.03837054000631974,-0.17093562707814744,0.09605978043711431,7.35,33.3,44.25,-44.43359,70.3125,996.09375,0.027845331952167932,0.16747167211171432,0.1552143993078833,70.35,5.55,91.5,-866.69922,76.66016,424.31641,-0.2582020896778639,0.11977496524736285,0.06874729750558024,60.75,19.35,14.1
-961.91406,89.35547,254.88281,0.07247776424879292,-0.18958813532713606,0.1458882324498516,7.35,33.3,44.25,-35.64453,61.52344,1000.97656,0.04982845201273731,0.18559115680714383,0.16747167211171432,70.35,5.55,91.5,-866.21094,80.07813,413.08594,-0.2777871273461931,0.14402299907824528,0.04636449704630416,60.9,19.95,12.6
-956.05469,104.49219,251.95312,0.023448673033469015,-0.10032309620096086,0.0762082309920056,7.35,33.3,44.25,-60.54688,64.94141,996.09375,0.05169368538434365,0.19038749612454944,0.1799954566923248,69.45,6.6,89.85,-872.55859,65.42969,416.99219,-0.28018520973843325,0.11817606911961086,0.08726646259971647,60.9,19.95,12.6
-936.52344,116.21094,250.48828,0.033973881087620825,-0.09059724894422246,0.11324656118027807,7.35,33.3,44.25,-62.98828,56.15234,993.65234,0.02464771422958912,0.14815314622016465,0.17213484280719277,69.45,6.6,89.85,-866.69922,62.98828,438.47656,-0.26659572711655505,0.13642872243696755,0.017453292519943295,61.35,19.35,13.05
-945.80078,118.16406,243.16406,0.006261892290305255,-0.03317452029020742,0.164540566165915,8.4,33.6,42.6,-66.89453,53.22266,981.93359,0.027179139776681696,0.14029253233503258,0.20464317092191392,69.45,6.6,89.85,-858.88672,81.54297,427.73437,-0.28018520973843325,0.09832469420742734,0.023582016188321384,61.35,19.35,13.05
-925.78125,128.90625,240.72266,0.02038439846574257,-0.00839363743869113,0.07194491522815906,8.4,33.6,42.6,-51.75781,56.64063,944.82422,-0.011457912006417574,0.13896014798406012,0.25793575243400957,69.45,6.6,89.85,-877.92969,92.77344,440.91797,-0.34560189543243275,0.08646710180230308,0.09419454706550798,61.35,19.35,13.05
-929.6875,125.97656,247.07031,0.08007204089007065,-0.04250068714823912,0.1329647674705344,7.5,33.0,43.8,-52.73438,57.61719,938.47656,-0.01678710034445706,0.15201678158530452,0.19411796286776212,71.25,6.9,90.9,-854.49219,85.44922,446.77734,-0.30576562792028816,0.11644417890285688,0.04969528339081014,61.35,19.35,13.05
-931.15234,137.20703,243.65234,0.06914697790428695,-0.014122506175437317,0.13203223805119385,7.5,33.0,43.8,-56.64063,55.66406,958.00781,-0.001065872574192937,0.14122506175437316,0.2768545979268525,71.25,6.9,90.9,-867.67578,88.37891,440.91797,-0.35705980743885035,0.15801233663175543,-0.03264167126957355,59.85,18.45,13.95
-922.36328,141.60156,237.79297,0.07887282516102534,0.002664594169019743,0.12750223597764257,7.05,32.1,44.7,-64.45313,49.31641,965.82031,-0.03077643789796721,0.22609344196184944,0.250474644414659,71.7,7.05,90.0,-883.30078,66.89453,430.17578,-0.335742705020842,0.1815941782871516,0.0002665117767795341,59.85,18.45,13.95
