IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-865.72266,151.85547,498.53516,-0.1177763887209041,0.0486294108166172,0.0177198042967228,12.0,31.35,54.0,226.5625,69.82422,962.89062,0.0265129476011954,-0.0126569532025376,0.192918921671642,53.55,11.85,92.7,-548.33984,192.38281,813.47656,-0.3421377659330744,0.0337075438437664,0.0155880591483369,52.65,27.3,38.25
-860.83984,163.57422,497.55859,-0.0366386497895657,0.0483628990398376,0.1096492630589925,9.15,31.35,53.7,245.60547,81.05469,982.42187,-0.0543582795533633,-0.0097258472567384,0.2463444972727396,53.55,11.85,92.7,-562.01172,200.68359,841.79687,-0.1785299037194251,0.0951270764848485,0.1080505414641657,51.0,26.7,37.65
-897.94922,159.66797,507.32422,-0.0415681577288985,0.0586217698501351,0.041301645952119,9.15,31.35,53.7,245.60547,90.82031,984.375,-0.077007591789419,0.0121241041819038,0.2693934899075019,54.45,12.0,93.6,-559.08203,191.89453,832.03125,-0.3397396835408342,-0.0157212277702641,0.0363721380127862,51.6,27.3,39.0
-896.48437,146.97266,502.44141,-0.0919296332951949,0.0426340303030914,-0.002264913770313,11.85,31.95,54.9,269.53125,75.19531,977.53906,-0.0546247913301429,0.0190520141147701,0.2412818207114797,54.45,10.8,94.35,-556.15234,187.5,787.10937,-0.3733138842297483,0.0478300500192038,0.1566799522807829,52.05,27.15,38.1
-881.34766,180.17578,482.42187,-0.051827028539196,0.0219831200605693,0.0858009096268168,11.25,32.1,54.45,256.83594,83.49609,978.51562,-0.0611531953972277,0.0572893854991626,0.2436799031037199,53.85,12.6,93.75,-567.38281,190.91797,835.44922,-0.3330781108518222,0.0182526533173567,0.0399694361340717,52.65,27.3,40.35
-872.07031,180.17578,486.32812,-0.0378376909856858,0.075275701572665,0.0916631215184153,10.65,33.0,54.6,263.18359,67.87109,995.60547,-0.0253139064050753,-0.0006661921754862,0.2198315496715442,53.85,12.6,93.75,-564.45312,180.17578,845.21484,-0.3618559722233307,-0.0146553551960711,0.0955267568835552,50.7,27.15,39.15
-885.74219,184.08203,479.00391,-0.1097826062138449,0.1092495826602858,0.0275788201753884,10.95,32.1,52.35,269.53125,59.08203,974.60937,-0.0113245688515652,0.0193185258915496,0.240882140312773,53.85,12.6,93.75,-547.85156,156.73828,834.96094,-0.4151485537354263,-0.0351730968166661,0.0850015488294034,50.55,26.25,39.0
-863.28125,166.50391,502.44141,-0.0718115720733066,0.0430337107017981,0.1105819670112583,10.95,32.1,52.35,275.87891,63.96484,977.53906,-0.0071944217096458,0.0425006871482391,0.2271593145360423,54.45,12.45,93.3,-541.50391,175.29297,854.00391,-0.3410718933588814,0.0322419908708668,0.022382800459276,50.55,26.25,39.0
-864.74609,173.33984,496.09375,-0.0802052095119978,0.0321086477160144,0.0309096065198943,11.1,31.65,53.85,292.96875,67.87109,993.65234,-0.0270459711547545,0.0021317451483858,0.2518070287656315,54.6,11.85,93.45,-532.22656,173.82812,852.05078,-0.339073491365348,-0.0155880591483369,0.0583552580733556,51.15,27.0,39.3
-884.76562,166.50391,491.21094,-0.1384272989634262,0.1275022359776425,0.0873996312216436,11.55,31.8,53.4,311.52344,55.17578,1016.11328,-0.0943277156874351,0.1147121141531777,0.2615328760223699,54.6,11.85,93.45,-529.29687,140.13672,860.83984,-0.3265497067847375,0.031309286918601,0.1151117945518844,51.0,28.2,39.45
-902.83203,159.66797,495.60547,-0.103787051167394,0.0672817445326806,0.0458314734927451,11.25,33.6,52.95,270.50781,52.73438,990.23437,-0.0802052095119978,0.039569755735365,0.2764547429952206,52.65,11.55,92.25,-537.10937,137.69531,872.07031,-0.3489326817769387,-0.018385996472209,0.0726111074036452,51.75,27.15,38.4
-890.13672,165.52734,514.16016,-0.1041869060990259,0.0648836621404404,0.0354394340605204,10.35,32.4,54.9,283.20312,30.76172,984.86328,-0.071944915228159,0.0383705400063197,0.2671285761371889,54.6,13.35,93.15,-526.85547,109.86328,864.25781,-0.3428039581085607,0.0270459711547545,0.0586217698501351,50.25,27.45,40.5
-877.44141,182.12891,510.25391,-0.1140459219776914,0.0676814249313873,0.004529827540626,10.35,32.4,54.9,295.89844,8.78906,960.9375,-0.0788728251610253,-0.0099923590335179,0.2527397327178972,54.0,13.5,92.85,-517.08984,103.02734,909.17969,-0.3256171773653969,-0.0002665117767795,0.0933951862680945,51.9,26.55,39.6
-887.20703,200.19531,517.57812,-0.1023216727274195,0.050228132411444,0.0879326547752027,11.1,32.4,53.55,262.20703,18.55469,956.05469,-0.0274456515534612,0.0571562168772355,0.1909203451451833,54.0,13.5,92.85,-516.60156,90.82031,842.28516,-0.3009692886028826,0.0492956029921034,0.0297105653237742,50.7,26.7,40.2
-894.04297,184.57031,504.88281,-0.0631515973907612,0.0584886012282079,0.1514839325646706,9.15,32.55,54.45,297.36328,15.13672,972.65625,-0.0550244717288496,0.0500949637895168,0.1775971997671594,54.9,12.9,93.15,-542.48047,114.74609,892.08984,-0.2362189696172945,0.0511608363637097,0.0222496318373489,50.7,26.7,40.2
-888.18359,178.71094,520.50781,-0.1205743260447762,0.0019984019935335,0.0221164632154217,10.95,32.55,53.7,307.61719,0.48828,994.62891,-0.0381042027624654,0.0542251109314362,0.1745329251994329,55.2,12.45,94.35,-513.18359,108.88672,910.64453,-0.2483430737991983,0.0053291883380394,0.0390367321818059,50.1,25.05,39.6
-886.71875,178.22266,516.11328,-0.0944608843093623,0.0366386497895657,0.0355727772153728,10.05,31.95,54.3,304.19922,1.46484,1021.48437,-0.0358392889921523,0.1063184767144865,0.1743997565775057,55.2,12.45,94.35,-533.69141,101.5625,850.58594,-0.2145023613335047,0.0570230482553083,0.0147886983509235,50.1,25.05,39.6
-874.02344,175.78125,518.55469,-0.0674150876875329,0.0034639549664331,0.055823832526263,10.05,31.95,54.3,314.45312,-8.78906,1024.90234,-0.0269126279999021,0.1229724084370164,0.1285681085518354,53.1,11.4,94.8,-529.29687,91.79688,876.95312,-0.1361623851931132,0.0638177895662474,0.0409019655534123,50.1,25.05,39.6
-875.0,195.80078,512.20703,-0.082603291904238,-0.0019984019935335,0.103787051167394,9.6,33.0,53.55,311.03516,-20.01953,989.25781,0.0319754790940873,0.1693369054833206,0.1161776671260773,54.6,12.15,94.2,-531.25,114.74609,898.92578,-0.1025880099712739,0.0871332939777893,0.0217166082837898,50.1,27.0,40.05
-859.375,174.31641,520.01953,-0.1173767083221974,0.0097258472567384,0.0325085026476463,10.65,32.7,54.3,250.48828,10.74219,965.82031,0.1566799522807829,0.1890551117735769,0.0582220894514284,55.35,11.1,92.4,-505.85937,119.62891,858.39844,-0.141091893132446,0.074209828998472,0.0243813769857347,51.15,26.25,39.0
-866.21094,180.17578,524.90234,-0.022382800459276,-0.0550244717288496,0.0278453319521679,11.1,32.4,53.85,301.26953,31.73828,1025.87891,0.0539585991546566,0.1493521874162847,0.1024548413493467,55.35,11.1,92.4,-511.23047,123.04688,901.36719,-0.0838025076332833,0.1457548892949992,0.0035972981212855,52.5,25.65,42.0
-868.65234,168.94531,525.87891,-0.0267794593779749,-0.0563568560798221,0.015055210127703,10.5,32.1,55.05,285.64453,44.92188,969.72656,0.0919296332951949,0.1925190667400101,0.0751423584178126,54.3,12.9,94.5,-520.01953,128.90625,865.23437,-0.1289677889505422,0.1743997565775057,-0.0106585512090041,51.6,26.25,39.6
-878.90625,156.25,543.94531,-0.0487625794385443,0.0126569532025376,-0.063684446411395,10.5,32.1,55.05,304.6875,60.05859,964.84375,-0.0006661921754862,0.1901209843477699,0.1151117945518844,55.2,13.5,95.7,-487.30469,149.90234,869.62891,-0.1480199775982374,0.1905206647464766,0.0355727772153728,51.6,26.25,39.6
